date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,,,,,,88.062,2.9,,163.842553191489
2017,,,,,,,,88.15,3.0,,163.831914893617
2016,8.8,4.3,,,,,,88.248,3.1,,164.46170212766
2015,,,,,,,,88.345,3.3,,165.98085106383
2014,,,,,,,,88.441,3.4,,168.53829787234
2013,,,,,,,,88.537,3.6,,171.859574468085
2012,9.5,3.9,,,,,,88.631,3.8,,175.376595744681
2011,,,,,,,,88.726,4.0,,178.185106382979
2010,9.8,2.8,,,,,,88.819,4.2,1.27,179.678723404255
2009,9.9,3.2,,,,,,88.912,4.4,1.19,179.708510638298
2008,10.4,2.8,,,,,,89.004,4.6,1.25,178.429787234043
2007,10.1,2.8,,,,,,89.308,4.8,1.18,175.923404255319
2006,10.6,3.3,,,,,,89.807,5.0,1.24,172.325531914894
2005,10.7,3.6,,,,,,90.285,5.3,,167.802127659574
2004,10.9,3.8,,,,,,90.751,5.5,,162.221276595745
2003,10.3,,,,,,,91.207,5.7,,155.706382978723
2002,11.2,,,,,,,91.641,5.9,,149.040425531915
2001,11.8,,,,,,,92.056,6.2,,143.278723404255
2000,11.3,,,,,,,92.395,6.4,,139.127659574468
1999,12.6,,,,,,,92.666,6.7,,136.957446808511
1998,11.9,,,,,,,92.927,7.0,,136.472340425532
1997,11.2,,,,,,,93.18,7.3,,136.865957446809
1996,10.9,,,,,,,93.425,7.7,,136.936170212766
1995,11.0,,,,,,,93.661,8.1,,135.851063829787
1994,10.9,,,,,,,93.89,8.6,,133.355319148936
1993,11.4,,,,,,,94.111,9.1,,129.725531914894
1992,12.1,,,,,,,94.324,9.6,,125.293617021277
1991,11.9,,,,,,,94.53,10.2,,120.576595744681
1990,11.9,,,,,,,94.712,10.8,,115.976595744681
1989,12.5,,,,,,,94.872,11.5,,111.591489361702
1988,11.6,,,,,,,95.027,12.2,,107.306382978723
1987,11.0,,,,,,,95.178,12.9,,103.095744680851
1986,11.9,,,,,,,95.325,13.7,,98.9723404255319
1985,,,,,,,,95.159,14.6,,94.8936170212766
1984,,,,,,,,94.649,,,90.863829787234
1983,,,,,,,,94.089,,,86.9510638297872
1982,,,,,,,,93.474,,,83.2212765957447
1981,,,,,,,,92.8,,,79.7872340425532
1980,,,,,,,,92.064,,,76.7382978723404
1979,,,,,,,,91.257,,,74.0808510638298
1978,,,,,,,,90.378,,,71.7808510638298
1977,,,,,,,,89.42,,,69.7255319148936
1976,,,,,,,,88.382,,,67.6106382978723
1975,,,,,,,,87.252,,,65.3297872340426
1974,,,,,,,,86.032,,,62.8085106382979
1973,,,,,,,,84.716,,,60.068085106383
1972,,,,,,,,83.301,,,57.2170212765957
1971,,,,,,,,81.78,,,54.3808510638298
1970,,,,,,,,80.155,,,51.6510638297872
1969,,,,,,,,78.424,,,49.0595744680851
1968,,,,,,,,76.588,,,46.5744680851064
1967,,,,,,,,74.641,,,44.1659574468085
1966,,,,,,,,72.593,,,41.8021276595745
1965,,,,,,,,70.445,,,39.4659574468085
1964,,,,,,,,68.205,,,37.168085106383
1963,,,,,,,,65.872,,,34.9191489361702
1962,,,,,,,,63.462,,,32.7021276595745
1961,,,,,,,,60.983,,,30.5851063829787
1960,,,,,,,,58.45,,,
