date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.4695370662576,,96.1757404434103,4.34798471638409,91.8277557270262,65.514,77.2,,24.7130520574316
2017,41.281,8.432,49.4665233513396,1.03,96.8202278267608,4.40719429304328,92.4130335337176,64.839,80.4,5.6,23.9165380604797
2016,41.882,8.716,49.4629935107526,1.03,97.2945881228216,4.46086782715692,92.8337202956647,64.149,84.0,5.686,23.1350637683484
2015,42.52,9.052,49.4586718442368,1.03,97.5692386262848,4.49640300513132,93.0728356211535,63.446,88.1,5.774,22.3665524985963
2014,43.182,9.454,49.4528997776056,1.03,97.9422055741664,4.5586959070841,93.3835096670823,62.731,92.9,5.864,21.6104748536135
2013,43.847,9.921,49.4461362804875,1.03,98.1304781263351,4.60214018672371,93.5283379396114,62.002,98.4,5.953,20.8677147669848
2012,44.493,10.451,49.440772186471,1.03,98.1454472706984,4.62868342373987,93.5167638469585,61.268,104.9,6.039,20.1395131146226
2011,45.102,11.039,49.4405354767376,1.028,97.9882992271964,4.6476362215512,93.3406630056452,60.528,112.5,6.12,19.427818240154
2010,45.656,11.68,49.4483424498808,1.026,97.6377143213992,4.66574437832991,92.9719699430693,59.783,120.5,6.194,18.7344557632149
2009,46.143,12.367,49.4664385151198,1.024,97.7668193687844,4.73538191692105,93.0314374518633,59.034,129.0,6.26,18.0591008261811
2008,46.563,13.085,49.4944236711936,1.022,97.8407852704613,4.81158985753418,93.0291954129271,58.282,138.3,6.32,17.4024496671212
2007,46.92,13.815,49.5295943241351,1.02,97.8666455915452,4.88835233564718,92.978293255898,57.524,147.7,6.372,16.7685593968076
2006,47.215,14.539,49.5668838140924,,97.8260528079362,4.95298981922242,92.8730629887138,56.764,157.3,6.419,16.1625900376995
2005,47.453,15.24,49.6020707224455,,97.6689960093114,4.99382284451043,92.675173164801,56.0,166.8,6.461,15.5880340097858
2004,47.639,15.903,49.6331352290936,,98.0734397164693,5.0602525918403,93.013187124629,54.827,176.2,6.499,15.0462380685008
2003,47.786,16.522,49.6606430038788,,98.4779451717664,5.10351171050258,93.3744334612638,53.645,184.8,6.533,14.5355570706666
2002,47.911,17.09,49.6858000648195,1.02,98.8230351414386,5.12348376786275,93.6995513735758,52.461,192.6,6.567,14.0526325499318
2001,48.027,17.597,49.7113229491779,,99.0394029999408,5.12473443016065,93.9146685697801,51.274,199.7,6.601,13.5924865645304
2000,48.15,18.036,49.7394433842943,,99.0711857780217,5.10991702874641,93.9612687492753,50.087,205.7,6.639,13.1510972968637
1999,48.293,18.404,49.7707109215617,,99.6786263829404,5.13291694158833,94.5457094413521,48.897,210.9,6.683,12.7270947300874
1998,48.46,18.706,49.8043113101904,,100.175170857074,5.14634279845903,95.0288280586153,47.71,215.3,6.732,12.3202061442207
1997,48.652,18.952,49.8397479432571,1.02,100.510053432243,5.14706338388026,95.3629900483627,46.525,218.8,6.789,11.9287478944413
1996,48.87,19.146,49.8762145397988,,100.629485377627,5.12936612049874,95.5001192571284,45.346,221.3,6.851,11.5510700248656
1995,49.113,19.292,49.9129772563401,,100.487402187458,5.08817864953566,95.3992235379228,44.169,222.9,6.918,11.1856950348921
