date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.2115037078582,,44.6778458949393,12.7313980045679,31.9464478903714,24.599,6.4,,218.831818181818
2017,15.53,6.316,48.1907257008122,1.03,44.5235354698007,12.3932271157691,32.1303083540316,24.713,6.7,1.999,216.877272727273
2016,15.717,6.27,48.1570038087177,1.03,44.4417279158963,12.0761578778479,32.3655700380484,24.846,7.0,2.003,214.834090909091
2015,15.883,6.227,48.1217471225059,1.03,44.3652410047522,11.775597111646,32.5896438931062,25.0,7.3,2.003,212.65
2014,16.026,6.188,48.0780449860634,1.03,44.6213458744121,11.5135228036186,33.1078230707936,25.175,7.6,2.001,210.368181818182
2013,16.152,6.151,48.0286307507376,1.03,45.0194910151174,11.2889424143505,33.730548600767,25.35,8.0,1.998,207.990909090909
2012,16.272,6.116,47.9752674018605,1.03,45.5158538548205,11.0864316755191,34.4294221793015,25.526,8.5,1.993,205.475
2011,16.396,6.085,47.9137254901961,1.03,46.0124004122564,10.9149802869436,35.0974201253129,25.703,9.0,1.989,202.847727272727
2010,16.547,6.055,47.8450528229013,1.03,46.408316008316,10.7725571725572,35.6357588357588,26.238,9.6,1.988,200.063636363636
2009,16.749,6.026,47.7779186793171,1.03,47.2067607928319,10.6350122183003,36.5717485745316,26.818,10.2,1.993,197.15
2008,17.014,5.999,47.6977305197086,1.03,48.0273877621772,10.5477552435431,37.4796325186341,27.405,10.8,2.005,194.084090909091
2007,17.341,5.976,47.6228444941627,1.03,48.8423998724603,10.498999167449,38.3434007050112,28.002,11.3,2.023,190.968181818182
2006,17.72,5.96,47.5294686574382,,49.6227951153324,10.4893713251922,39.1334237901402,28.606,11.9,2.048,187.963636363636
2005,18.137,5.955,47.4208833566571,,50.3488114572568,10.4957182932231,39.8530931640337,29.218,12.5,2.077,185.147727272727
2004,18.566,5.967,47.3060599649022,,51.0927214594696,10.3479405679895,40.7447808914802,29.837,13.1,2.109,182.581818181818
2003,18.977,5.999,47.1876536672088,,51.8371723438068,10.2379995021732,41.5991728416336,30.464,13.7,2.14,180.227272727273
2002,19.339,6.051,47.0688906485479,1.03,52.6307581340039,10.1740842544398,42.4566738795641,31.098,14.4,2.166,177.943181818182
