date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.7626515543443,,55.9544729116194,17.3386897637727,38.6157831478467,91.87,9.9,,16.2585100979651
2017,17.205,7.616,48.7510100508811,1.04,56.0463554436976,17.1490383896585,38.8973170540391,91.749,10.4,2.275,16.0941907925267
2016,17.383,7.626,48.7390256685487,1.04,56.1022705830781,16.9526709001933,39.1495996828848,91.627,10.9,2.288,15.9281350828921
2015,17.548,7.638,48.72651723201,1.04,56.103604348639,16.7480675051988,39.3555368434402,91.503,11.5,2.301,15.7606327351655
2014,17.698,7.651,48.7134144894209,1.04,56.2122404103433,16.5841170304419,39.6281233799014,91.377,12.0,2.312,15.5916453818299
2013,17.831,7.665,48.6998090863231,1.04,56.292266803898,16.4221640499902,39.8701027539078,91.249,12.6,2.322,15.421160233713
2012,17.949,7.68,48.6857920505591,1.04,56.3791879629017,16.2650232438894,40.1141647190122,91.121,13.3,2.33,15.2495426957383
2011,18.055,7.694,48.6715491345615,1.04,56.5417481310706,16.1191166083128,40.4226315227578,90.99,13.9,2.338,15.0771515955406
2010,18.154,7.708,48.6572578163438,1.04,56.815969153871,15.9874273343408,40.8285418195302,90.849,14.4,2.346,14.904301546759
2009,18.252,7.722,48.643346828946,1.04,57.1799784824247,15.9061356927343,41.2738427896904,90.691,14.9,2.355,14.7926100508278
2008,18.355,7.735,48.6299193573558,1.04,57.6695464060377,15.8519062439566,41.8176401620811,90.53,15.3,2.366,14.6454877973026
2007,18.469,7.749,48.6166255710728,1.04,58.2283808186396,15.815439871549,42.4129409470905,90.366,15.7,2.38,14.5008367772747
