date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,47.0434228477363,,46.8153268581115,16.5223104684522,30.2930163896593,63.149,12.4,,103.680224798033
2017,14.298,9.862,47.044525091611,1.113,46.0942674249178,16.2115621888474,29.8827052360704,63.103,13.0,1.75,103.435511064278
2016,14.568,9.849,47.0349066310372,1.118,45.4311576705425,15.966467303144,29.4646903673985,63.082,13.7,1.744,103.131225851774
2015,14.795,9.823,47.0109473095569,1.123,44.838175789912,15.7546226824703,29.0835531074417,63.085,14.4,1.738,102.759149982438
2014,14.979,9.796,46.9680878642139,1.128,44.3148939417439,15.6427689759966,28.6721249657473,63.112,15.1,1.732,102.297260273973
2013,15.125,9.774,46.9099352462544,1.133,43.839385085219,15.5532654441046,28.2861196411144,63.164,15.9,1.728,101.77674745346
2012,15.232,9.761,46.8496196050327,1.138,43.5139006857171,15.5156362500068,27.9982644357102,63.24,16.7,1.725,101.307657183
2011,15.297,9.753,46.8058804061552,1.141,43.4816830705323,15.5890926431007,27.8925904274316,63.34,17.6,1.724,101.03751317176
2010,15.304,9.739,46.7919385927292,1.143,43.7908192969174,15.8081402467211,27.9826790501963,63.44,18.5,1.722,101.064945556726
2009,15.233,9.699,46.8154083627472,1.146,44.5110323753444,16.1605522467297,28.3504801286147,63.54,19.5,1.719,101.443343870741
2008,15.08,9.621,46.8699948239365,1.148,45.7750758049767,16.6967981421764,29.0782776628002,63.64,20.5,1.712,102.1291886196
2007,14.855,9.502,46.9375284515697,1.151,47.3623329395454,17.2884110281382,30.0739219114073,63.739,21.6,1.702,103.007305936073
2006,14.572,9.346,46.9937305230266,,48.8821909480164,17.7243519415082,31.1578390065083,63.839,22.7,1.69,103.909624165789
2005,14.244,9.168,47.0227038079847,,50.0633219139124,17.8575347540663,32.2057871598461,63.938,23.9,1.675,104.716157358623
2004,13.884,8.986,47.020693401406,,51.4125673561181,17.7866069369674,33.6259604191507,64.038,25.2,1.659,105.399367755532
2003,13.524,8.824,46.9963597661715,,52.4603091609089,17.3744510572689,35.08585810364,64.137,26.5,1.645,106.003933965578
2002,13.208,8.697,46.9632258132563,1.173,53.3587012233402,16.7410888041271,36.6176124192131,64.236,27.8,1.635,106.567544783983
2001,12.98,8.612,46.9400325041646,,54.4144228048606,16.1059479695027,38.3084748353579,64.385,29.3,1.634,107.154443273621
2000,12.91,8.575,46.9416669354316,,55.8284298371503,15.6074082685358,40.2210215686145,64.666,30.8,1.648,107.818440463646
1999,13.062,8.583,46.9664165333989,,56.9179282917098,15.1285280248141,41.7894002668957,64.947,32.3,1.685,108.500948366702
1998,13.457,8.622,47.0117165070443,,58.0990301028688,14.7765005281517,43.3225295747171,65.226,33.9,1.747,109.19167544784
1997,14.092,8.674,47.0875154520422,1.151,59.201272354491,14.4666807248965,44.7345916295944,65.504,35.6,1.832,110.048788198103
1996,14.947,8.728,47.2054751369305,,59.9967780674263,14.0506055516221,45.9461725158041,65.781,37.3,1.938,111.282788900597
1995,15.991,8.769,47.3686255361168,,60.3560246374312,13.4401892365247,46.9158354009065,66.057,39.1,2.056,113.008359676853
1994,17.172,8.785,47.5786194933465,,59.6515606258548,12.5063509744157,47.1452096514391,66.332,41.0,2.179,115.337794169301
1993,18.41,8.769,47.8217638371139,,58.7149551124348,11.4778893995689,47.2370657128659,66.606,42.9,2.297,118.12813487882
1992,19.627,8.716,48.0690829029691,1.077,57.6191603300518,10.4377540616675,47.1814062683843,66.878,44.9,2.4,120.927889005971
1991,20.764,8.619,48.2895794278809,,56.4995437068151,9.50777484297621,46.9917688638389,67.15,46.9,2.484,123.121109940288
1990,21.768,8.473,48.4661536322228,1.069,55.4628398937561,8.75585209335229,46.7069878004038,67.421,49.0,2.544,124.277168949772
1989,22.609,8.273,48.597882692728,,55.0471699354027,8.42592097336931,46.6212489620334,67.69,51.1,2.578,124.217562346329
1988,23.292,8.028,48.6925291332957,,54.6989807854441,8.25272460019334,46.4462561852507,67.706,80.8,2.592,123.100070249385
1987,23.826,7.751,48.7553835560048,1.058,54.5217094696583,8.21466492625638,46.3070445434019,67.501,55.3,2.591,121.248577449947
1986,24.207,7.457,48.7936375234946,,54.4941688910669,8.26342849257397,46.2307403984929,67.296,57.5,2.578,119.152230417984
1985,24.431,7.166,48.8127916161436,,54.5485627559062,8.36231171004389,46.1862510458623,67.09,59.9,2.559,117.173867228662
1984,24.502,6.899,48.810366956589,,54.6753821456649,8.48290407166967,46.1924780739953,66.883,62.2,2.538,115.405655075518
1983,24.446,6.671,48.7855216093908,,54.8590410449296,8.68136744387989,46.1776736010497,66.675,64.7,2.517,113.754654021777
1982,24.297,6.489,48.7483154313999,1.05,55.1743841129492,8.92431912674084,46.2500649862084,66.467,67.4,2.503,112.177344573235
1981,24.082,6.36,48.7124280835146,,55.7904988509069,9.15943988392279,46.6310589669841,66.259,70.1,2.499,110.575904460836
1980,23.823,6.274,48.6879141249368,,56.8127653697559,9.34526486513285,47.4675005046231,66.05,72.9,2.51,108.877906568318
1979,23.538,6.219,48.6802529396312,,58.2693150178663,9.51871030431885,48.7506047135475,65.839,76.0,2.538,107.099016508606
1978,23.243,6.174,48.6880212609582,,60.1527357088778,9.61776534396524,50.5349703649126,65.419,79.1,2.582,105.28335089568
1977,22.961,6.129,48.7072468690299,1.052,62.38680867046,9.65353346668939,52.7332752037706,64.821,82.4,2.641,103.420547945205
1976,22.721,6.082,48.7305607764165,,64.7009302113495,9.66348236474317,55.0374478466063,64.219,85.9,2.712,101.495574288725
1975,22.53,6.036,48.7518144899377,,66.8553889215795,9.67319360582612,57.1821953157534,63.611,,2.792,99.499789251844
1974,22.382,6.0,48.7704371338441,,69.6523462347703,9.75999412829672,59.8923521064736,63.0,,2.875,97.4270460133474
1973,22.283,5.988,48.7879223527157,,72.40096013239,9.85826163162768,62.5426985007623,62.225,,2.956,95.2857744994731
1972,22.262,6.012,48.8009359799946,1.057,75.156174312539,9.95887558460045,65.1972987279385,61.445,,3.035,93.0975061468212
1971,22.366,6.081,48.8051625448851,,78.1317869639353,10.0410754371364,68.0907115267989,60.657,,3.114,90.8924481910783
1970,22.694,6.203,48.7970418210685,,81.4713081824467,10.0847897361155,71.3865184463312,59.864,,3.199,88.6922374429224
1969,23.355,6.385,48.7743093817222,,83.9716632032472,10.1342741086114,73.8373890946358,59.042,,3.302,86.5095890410959
1968,24.389,6.623,48.7368926952259,,86.2663690926397,10.1672418781917,76.099127214448,58.195,,3.429,84.3394099051633
1967,25.786,6.91,48.6867997672642,1.064,88.1476625591197,10.1920787619446,77.9555837971751,57.341,,3.582,82.1611169652266
1966,27.496,7.242,48.6283181563752,,89.3630474681807,10.2310261227247,79.1320213454559,56.483,,3.758,79.9449947312961
1965,29.447,7.609,48.5643390632547,,89.7753233267252,10.301228083726,79.4740952429992,55.622,,3.95,77.6719002458728
1964,31.54,8.005,48.4961333405439,,89.5104888926585,10.4829732193974,79.0275156732611,54.758,,4.15,75.3425008781173
1963,33.629,8.419,48.4223983242074,,88.5970900402688,10.7181761734792,77.8789138667896,53.889,,4.345,72.9742887249737
1962,35.561,8.837,48.3444338062148,1.064,87.045748592172,10.9912970633406,76.0544515288314,53.019,,4.521,70.5839831401475
1961,37.217,9.249,48.2641753944635,,84.7867923774063,11.2732305033188,73.5135618740875,52.147,,4.67,68.1943097997893
1960,38.509,9.646,48.1826927745783,,81.8278044691437,11.5426035594812,70.2852009096625,51.275,,4.786,
