date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.1705733517497,,49.9239537862711,28.4879030173951,21.4360507688759,58.297,3.5,,107.206926667578
2017,10.0,9.5,49.0956928999891,1.055,49.6725857002038,28.3727926117504,21.2997930884534,58.094,3.6,1.53,106.607445296677
2016,10.0,9.2,49.0219045726764,1.055,49.4317119622618,28.2562585573312,21.1754534049306,57.905,3.6,1.53,105.869493435483
2015,9.8,9.6,48.9551678846532,1.055,49.1656923872968,28.1035328457277,21.0621595415692,57.715,3.7,1.49,104.730792682674
2014,9.6,9.2,48.8978497899934,1.055,48.8842940580987,27.781233869435,21.1030601886637,57.526,3.8,1.46,103.563324191706
2013,9.4,9.4,48.8488510833851,1.055,48.6484193417367,27.4597926556682,21.1886266860685,57.336,3.9,1.44,102.7471301857
2012,9.4,9.4,48.8071129574241,1.055,48.4584344997342,27.1300241918825,21.3284103078517,57.147,4.1,1.44,102.114865434913
2011,9.3,9.1,48.7700539693554,1.055,48.3132363176456,26.7751421248366,21.538094192809,57.115,4.2,1.43,101.6417363772
2010,9.4,9.2,48.7356576053708,1.055,48.1811872667783,26.373860988558,21.8073262782203,57.399,4.3,1.44,101.287430158942
2009,9.2,9.3,48.7035180464794,1.055,48.0158430961523,25.9105158852302,22.1053272109221,57.683,4.4,1.39,101.035665641397
2008,9.3,9.0,48.6743011619578,1.055,47.8787129187929,25.3959664802166,22.4827464385763,57.966,4.5,1.42,100.771345840527
2007,9.2,9.0,48.6484467683643,1.055,47.7523634092226,24.8562593720172,22.8961040372054,58.249,4.6,1.38,100.45638301005
2006,9.4,9.0,48.6268224195854,,47.6052248341712,24.3400676417948,23.2651571923764,58.532,4.8,1.41,100.128856866069
2005,9.5,9.1,48.6094768185153,,47.4253952508972,23.8789667536999,23.5464284971973,58.813,4.9,1.41,99.6346451925406
2004,9.7,9.1,48.5967060209497,,47.3987139174221,23.5439762068771,23.854737710545,59.094,5.1,1.42,98.9581738919835
2003,9.5,9.5,48.5868695078374,,47.3329338625505,23.2702797184402,24.0626541441103,59.375,5.2,1.38,98.3461249697263
2002,9.7,9.4,48.576398292536,1.055,47.2744249579878,23.0489499581426,24.2254749998451,59.655,5.3,1.39,97.8682126422863
2001,9.4,9.3,48.560224407876,,47.3255578364559,22.8650021671199,24.460555669336,59.934,5.4,1.33,97.3879026398644
2000,9.8,9.6,48.5347632179145,,47.5297280624623,22.7046805297879,24.8250475326744,60.213,5.5,1.36,97.0158149673044
1999,9.8,9.8,48.4990279608442,,47.8438283631068,22.6746250964682,25.1692032666386,60.491,5.6,1.34,96.7828045531606
1998,10.2,9.8,48.4538842793494,,48.3286232130644,22.6992838311408,25.6293393819236,60.768,5.8,1.37,96.5946839428433
1997,10.5,10.0,48.3995327699069,1.055,48.836047721427,22.739032085132,26.097015636295,61.045,6.0,1.39,96.4887503027367
1996,11.2,10.2,48.336636794992,,49.1194776127373,22.7336710419398,26.3858065707975,61.32,6.4,1.45,96.3794744490191
1995,11.2,10.2,48.2658505580584,,49.0473808951869,22.6400828545438,26.4072980406431,61.596,6.8,1.42,96.2494308549285
1994,11.6,10.2,48.1862514100852,,48.855726133545,22.6455973422445,26.2101287913005,61.87,7.4,1.47,96.1021797045289
1993,12.0,10.4,48.0982791755136,,48.3571117323908,22.5666033501814,25.7905083822094,62.144,8.0,1.5,95.7330225236135
1992,12.2,10.6,48.006305247213,1.055,47.7068976463037,22.4119485581889,25.2949490881148,62.417,8.5,1.51,94.9468273189634
1991,12.2,10.8,47.9164763638057,,47.1297718005086,22.1876711676425,24.9421006328661,62.689,9.1,1.51,93.9076168563817
1990,11.8,10.8,47.8339332419639,1.055,46.7389877180607,21.8956152694877,24.843372448573,62.96,9.5,1.46,92.9746912085251
1989,11.6,10.9,47.761197330823,,46.627980594743,21.6799672088875,24.9480133858556,63.231,10.0,1.45,92.2689149915234
1988,11.6,11.0,47.697789330417,,46.6364242849187,21.3796665798677,25.2567577050509,63.5,10.5,1.45,91.8541656575442
1987,11.4,11.2,47.6418219296377,1.055,46.7879870284651,21.0677951452476,25.7201918832174,63.769,11.2,1.43,91.7242189392105
1986,11.5,11.5,47.5899805846123,,47.1114645510024,20.8697963976339,26.2416681533686,64.037,11.9,1.45,91.6661903608622
1985,11.6,11.8,47.539604726224,,47.6135245867252,20.8670131217269,26.7465114649984,64.305,12.6,1.47,91.6079559215306
1984,11.8,11.7,47.4902777544084,,48.7736273560952,21.2121021330213,27.5615252230739,64.57,13.3,1.52,91.5649551949625
1983,11.9,12.3,47.4428719864266,,50.3233919658526,21.8043275840545,28.5190643817981,64.836,14.0,1.56,91.5707193024946
1982,12.5,12.1,47.3979098355642,1.055,52.1357771828241,22.5353462130155,29.6004309698086,65.1,14.8,1.66,91.7188181157665
1981,12.4,12.2,47.3560302094336,,53.9523162788692,23.1985678570477,30.7537484218215,65.364,15.5,1.67,91.6530636958101
1980,12.0,12.2,47.3178882354874,,55.5610664254431,23.6381357233154,31.9229307021276,65.391,16.3,1.65,91.4196294502301
1979,11.4,12.2,47.283306923984,,57.2177829979446,24.0328495654836,33.184933432461,65.381,17.1,1.6,91.4195325744732
1978,11.3,12.5,47.2515791656845,,58.5802460851425,24.1888660271148,34.3913800580277,65.371,18.1,1.6,91.5755025429886
