date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.6127033334729,,48.9522984985764,7.68354159657816,41.2687569019982,36.632,30.2,,1239.57931166936
2017,18.501,5.533,50.6427371350325,1.049,50.0916973486189,7.72893417928699,42.3627631693319,35.858,31.9,2.062,1226.63127448721
2016,18.824,5.539,50.671194848931,1.049,51.2600198099111,7.76813020322796,43.4918896066831,35.083,33.9,2.09,1213.57332718752
2015,19.156,5.549,50.6969405973406,1.049,52.3958676972212,7.77730362216042,44.6185640750608,34.308,36.1,2.12,1200.40159791042
2014,19.501,5.565,50.7180599775229,1.049,53.5786673377526,7.79294314136617,45.7857241963865,33.535,38.4,2.152,1187.06435430591
2013,19.862,5.589,50.7357188428206,1.049,54.7188127373883,7.77133178557139,46.9474809518169,32.762,40.8,2.188,1173.57821310594
2012,20.245,5.625,50.7556180002782,1.049,55.8269893872859,7.71517537111478,48.1118140161711,31.993,43.4,2.228,1160.0814857494
2011,20.657,5.673,50.7858929256486,1.049,56.950387836494,7.63705022161229,49.3133376148817,31.225,46.2,2.273,1146.76022124914
2010,21.107,5.734,50.8321002181982,1.049,58.1246800817294,7.54543273394102,50.5792473477883,30.462,49.1,2.324,1133.71306752708
2009,21.605,5.807,50.8976503958769,1.049,59.1662287066948,7.48227929585177,51.6839494108431,29.709,52.2,2.382,1121.03247292003
2008,22.153,5.892,50.9796183012432,1.049,60.1865425543576,7.39449903327493,52.7920435210827,28.968,55.4,2.449,1108.5823692095
2007,22.747,5.987,51.0694262060046,1.049,61.1808867449429,7.28419090260912,53.8966958423338,28.237,58.8,2.523,1095.95433663671
2006,23.384,6.092,51.1544994869968,,62.1369078603097,7.15680559432591,54.9801022659837,27.517,62.4,2.604,1082.59327802105
2005,24.053,6.205,51.2254722273997,,63.0481832457204,7.01737786989589,56.0308053758246,26.809,66.1,2.691,1068.10712913882
2004,24.742,6.322,51.2787102436257,,64.2627947010529,6.92149906924518,57.3412956318077,26.114,70.0,2.782,1052.36561419682
2003,25.439,6.444,51.3164759720409,,65.472812344756,6.82750701188688,58.6453053328691,25.429,74.0,2.876,1035.50436352462
2002,26.132,6.574,51.3424005996102,1.049,66.6737071221353,6.7318303848092,59.9418767373261,24.756,78.2,2.973,1017.73132058078
2001,26.818,6.717,51.36300261078,,67.8417084007581,6.62808475114158,61.2136236496165,24.096,82.6,3.07,999.375447491742
2000,27.493,6.883,51.3834377078946,,68.9506654572493,6.51153639708621,62.4391290601631,23.59,87.3,3.169,980.701037105324
1999,28.158,7.082,51.4045677336518,,70.3695382607923,6.40052064444584,63.9690176163465,23.202,92.2,3.269,961.739655834678
1998,28.821,7.321,51.4249273276393,,71.779149393758,6.29151342121229,65.4876359725457,22.818,97.3,3.371,942.481485749405
1997,29.493,7.603,51.4449061664329,1.049,73.1688667243259,6.18158503590513,66.9872816884208,22.438,102.6,3.478,923.104893600676
1996,30.181,7.927,51.4645189707598,,74.5327999762167,6.0665470437598,68.4662529324569,22.064,108.2,3.591,903.81756165015
1995,30.897,8.289,51.4837505375644,,75.8558007820236,5.94219051200195,69.9136102700217,21.693,113.9,3.713,884.765537374203
1994,31.653,8.68,51.5028958728654,,77.3663727181565,5.91716385939098,71.4492088587655,21.328,119.7,3.846,866.080379503726
1993,32.454,9.09,51.5222652852556,,78.8436105552612,5.88725608490185,72.9563544703594,20.966,125.7,3.99,847.742482906968
1992,33.299,9.508,51.5417631333793,1.049,80.2487076429023,5.84934565937591,74.3993619835264,20.61,131.7,4.146,829.559068909887
1991,34.183,9.929,51.5611469318519,,81.5189975640499,5.80087600142246,75.7181215626275,20.257,137.7,4.315,811.240124452639
1990,35.099,10.352,51.5800422395787,1.049,82.6045046723265,5.7390674107935,76.865437261533,19.811,143.7,4.495,792.593961742337
1989,36.041,10.779,51.5993664701746,,83.9912135607333,5.75217884482593,78.2390347159073,19.33,149.6,4.686,773.569155719444
1988,36.992,11.214,51.6188869430425,,85.1695811136376,5.75523133885073,79.4143497747868,18.859,155.6,4.887,754.29323192748
1987,37.933,11.657,51.6354975902403,1.049,86.1571675485399,5.74602808730574,80.4111394612342,18.395,161.6,5.092,734.970907275102
1986,38.846,12.107,51.6446508066798,,87.017498898216,5.72480928500843,81.2926896132076,17.941,167.5,5.298,715.891549512176
1985,39.713,12.547,51.643021509146,,87.7715678372969,5.69120439979234,82.0803634375045,17.496,173.3,5.501,697.274202965353
1984,40.514,12.962,51.6280581428389,,88.8275612977453,5.78140899649451,83.0461523012508,17.06,178.9,5.698,679.238849197204
1983,41.247,13.346,51.6010960444724,,89.8365440982654,5.85480022971011,83.9817438685553,16.631,184.2,5.884,661.76918644849
1982,41.91,13.705,51.5676844715442,1.049,90.7287259291757,5.90558478779143,84.8231411413842,16.212,189.3,6.058,644.788561112391
1981,42.505,14.054,51.5365796363436,,91.3503390926068,5.92775826604412,85.4225808265626,15.801,194.1,6.217,628.159445340708
1980,43.039,14.444,51.5148789611908,,91.564689408488,5.91682017517168,85.6478692333164,14.851,198.7,6.359,611.811408158562
1979,43.525,14.937,51.5056216354543,,92.2721300433306,5.96802881563075,86.3041012276998,13.701,203.2,6.483,595.598409771837
1978,43.981,15.561,51.5079628924748,,92.7430595603902,5.99605649655598,86.7470030638342,12.629,207.3,6.59,579.626887915802
1977,44.421,16.308,51.5206532302334,1.049,92.9494114528983,5.99369181283833,86.95571964006,11.63,211.1,6.681,564.366474610125
1976,44.852,17.14,51.5404176491764,,92.8500806377229,5.9542832113744,86.8957974263485,10.701,214.4,6.758,550.452339248675
1975,45.279,17.962,51.5642910266004,,92.3305945203941,5.87349133840778,86.4571031819863,9.836,217.0,6.821,538.267657678421
1974,45.704,18.652,51.5923110544783,,92.1894523849324,5.77521168180913,86.4142407031233,9.034,219.0,6.869,528.095820849658
1973,46.117,19.12,51.6248676160477,,92.0753746742494,5.66872785117397,86.4066468230754,8.553,220.5,6.904,519.609203349466
1972,46.511,19.321,51.659267970834,1.049,91.8651616149908,5.55218353202386,86.3129780829669,8.221,221.5,6.928,511.83609894753
1971,46.879,19.262,51.6923543873123,,91.4011391311411,5.4228611149024,85.9782780162387,7.901,222.4,6.942,503.431151571023
1970,47.217,19.001,51.7219962496859,,90.6680288875688,5.27845658606576,85.3895723015031,7.593,223.1,6.947,493.450733655988
1969,47.517,18.638,51.7467160254988,,90.344143684251,5.25221225030713,85.0919314339439,7.296,224.1,6.945,481.522355381424
1968,47.775,18.301,51.7669014307849,,89.4350050878521,5.2059223512578,84.2290827365943,7.009,225.5,6.935,467.991503418606
1967,47.989,18.091,51.7847148053884,1.049,88.1400887856596,5.13757889132816,83.0025098943314,6.733,227.6,6.92,453.516547591611
1966,48.157,18.052,51.8038013843501,,86.7316063696909,5.04962458905354,81.6819817806373,6.467,230.2,6.901,439.100053775832
1965,48.28,18.2,51.8268663309062,,85.3306618913012,4.944579267288,80.3860826240132,6.211,233.6,6.878,425.482922332335
1964,48.364,18.512,51.8551964497006,,84.5128295838438,4.95140882411469,79.5614207597291,5.964,237.7,6.853,412.8579242529
1963,48.412,18.92,51.8878105225377,,83.8212172870236,4.95354484707842,78.8676724399452,5.727,242.6,6.825,401.029476837981
1962,48.426,19.368,51.9224781610237,1.049,83.1531291401674,4.94506866633235,78.2080604738351,5.498,248.0,6.794,389.891349773373
1961,48.403,19.839,51.9556373120717,,82.2679420749213,4.91979158551053,77.3481504894107,5.278,253.9,6.761,379.218276100484
1960,48.34,20.324,51.9845510133034,,80.98500222172,4.87411208475436,76.1108901369656,5.135,260.2,6.725,
