date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.3271699692995,,49.5788803540119,23.6374926943308,25.9413876596811,31.147,12.2,,666.606976744186
2017,10.683,8.936,48.2910536668192,1.036,49.3675311798779,23.0188383864739,26.348692793404,31.159,12.6,1.615,665.658139534884
2016,10.732,8.865,48.2515622922484,1.036,49.2399517495992,22.4484467444034,26.7915050051958,31.193,12.9,1.613,664.641860465116
2015,10.806,8.789,48.2071447847557,1.036,49.1827792824352,21.9086260444008,27.2741532380345,31.249,13.3,1.614,663.544186046512
2014,10.916,8.708,48.1590450276486,1.036,49.1245981633315,21.38085215552,27.7437460078116,31.328,13.6,1.62,662.383720930233
2013,11.067,8.625,48.1082963411117,1.036,49.0817942505952,20.8895740909711,28.1922201596241,31.429,13.9,1.63,661.153488372093
2012,11.259,8.54,48.0581463387123,1.036,49.0600338366802,20.44912413438,28.6109097023003,31.553,14.2,1.645,659.767441860465
2011,11.489,8.454,48.0152798538449,1.036,49.0998277106593,20.0761866625921,29.0236410480671,31.7,14.4,1.665,658.109302325581
2010,11.748,8.368,47.9869280582424,1.036,49.240128011849,19.775714776905,29.4644132349441,31.87,14.6,1.687,656.118604651163
2009,12.026,8.279,47.972480229948,1.036,48.9766283321851,19.3645662197255,29.6120621124596,32.063,14.9,1.711,653.73023255814
2008,12.308,8.19,47.9717516949697,1.036,48.8923991724241,19.0757317079657,29.8166674644584,32.256,15.1,1.735,651.037209302326
2007,12.581,8.099,47.9797345542355,1.036,48.9721084871874,18.876214707989,30.0958937791984,32.451,15.3,1.757,648.139534883721
2006,12.837,8.009,47.9931525362645,,49.1354799873157,18.7292066409756,30.4062733463401,32.646,15.5,1.775,645.295348837209
2005,13.069,7.921,48.0044875506659,,49.2838967255361,18.5862700500813,30.6976266754548,32.841,15.7,1.788,642.611627906977
2004,13.274,7.835,48.0124090481432,,49.5848548078595,18.5179751347592,31.0668796731003,33.037,15.7,1.795,640.195348837209
2003,13.457,7.753,48.0208215622733,,49.8836243634854,18.4523679437026,31.4312564197828,33.234,15.7,1.797,637.974418604651
2002,13.624,7.677,48.0285125976966,1.036,50.1963800159301,18.3811694910599,31.8152105248702,33.431,15.5,1.793,635.872093023256
2001,13.78,7.609,48.0377549597422,,50.6265511770981,18.317846897093,32.3087042800051,33.629,15.4,1.785,633.720930232558
2000,13.934,7.553,48.0466721421968,,51.244986631016,18.2631461675579,32.9818404634581,33.827,15.2,1.775,631.43023255814
1999,14.095,7.51,48.0582721709711,,51.0199181385168,17.8637838320779,33.1561343064389,34.152,15.0,1.762,628.955813953488
1998,14.27,7.482,48.0711681406729,,50.9417889787432,17.5148651905154,33.4269237882278,34.503,14.9,1.75,626.362790697674
1997,14.462,7.468,48.08544911497,1.036,50.9764404537394,17.2049427196217,33.7714977341177,34.856,14.9,1.74,623.690697674419
1996,14.672,7.471,48.0982748355158,,51.0295839248045,16.9201273618785,34.1094565629259,35.21,15.0,1.732,621.044186046512
1995,14.896,7.488,48.1118986294674,,51.0181252413292,16.6312717196266,34.3868535217026,35.566,15.2,1.727,618.5
1994,15.126,7.521,48.1269795728841,,51.133387725294,16.4265622949604,34.7068254303336,35.924,15.6,1.725,616.03023255814
1993,15.355,7.567,48.1401756174465,,51.1695454154851,16.2040617570393,34.9654836584458,36.283,16.1,1.725,613.660465116279
1992,15.574,7.624,48.1433299098482,1.036,51.2194841352017,15.9752421711419,35.2442419640597,36.643,16.7,1.728,611.362790697674
1991,15.784,7.69,48.137924188277,,51.5224270895406,15.7825616578632,35.7398654316774,37.006,17.4,1.733,609.081395348837
1990,15.988,7.763,48.1115841997754,1.036,52.2318225043318,15.6563034181801,36.5755190861517,37.37,18.1,1.74,606.827906976744
1989,16.194,7.843,48.0645173699132,,53.2855710832007,15.8098944513238,37.4756766318769,37.654,18.9,1.75,604.551162790698
1988,16.407,7.93,48.0001544580453,,54.7470944997162,16.0216306653521,38.7254638343641,37.923,19.7,1.765,602.272093023256
1987,16.63,8.02,47.9237399810862,1.036,56.4756752823026,16.2692396327338,40.2064356495688,38.194,20.4,1.782,600.044186046512
1986,16.859,8.111,47.8381437244523,,58.0971062437741,16.5016664002066,41.5954398435674,38.464,21.1,1.805,597.923255813953
1985,17.079,8.199,47.7518926090689,,59.3496996604858,16.6803467273564,42.6693529331294,38.736,21.8,1.83,595.960465116279
1984,17.268,8.277,47.6623625696203,,61.1409290151682,17.0098703919775,44.1310586231907,39.007,22.6,1.858,594.179069767442
1983,17.418,8.344,47.5648668909027,,62.6282161755038,17.2797426421309,45.3484735333729,39.28,23.4,1.889,592.53023255814
1982,17.529,8.4,47.4826628043357,1.036,63.9259861417567,17.4924837739842,46.4335023677725,39.554,24.4,1.922,590.888372093023
1981,17.615,8.444,47.4318583791296,,65.4817824874075,17.6576270522059,47.8241554352016,39.828,25.6,1.96,589.06511627907
1980,17.698,8.479,47.4289585875715,,67.6557528413809,17.7776449253702,49.8781079160107,40.102,27.0,2.004,586.962790697674
1979,17.813,8.507,47.4801768073619,,67.296313305778,17.5615502885326,49.7347630172454,39.91,28.6,2.057,584.537209302326
1978,17.988,8.535,47.5791366906475,,67.6098796197673,17.401207151805,50.2086724679622,39.646,30.4,2.121,581.867441860465
1977,18.245,8.564,47.6883152359489,1.036,68.6782173857068,17.3057507402714,51.3724666454354,39.381,32.3,2.198,578.923255813953
1976,18.591,8.599,47.7696458575675,,69.9767261442979,17.2151012309741,52.7616249133238,39.118,34.3,2.288,575.774418604651
1975,19.018,8.637,47.7819124302277,,70.8216516308119,17.0097154753643,53.8119361554476,38.855,36.4,2.393,572.451162790698
1974,19.504,8.675,47.7152422100775,,73.0449298325034,16.4943130375736,56.5506167949298,38.592,38.6,2.513,568.939534883721
1973,20.024,8.712,47.5797692902631,,75.1469952442715,15.9706009511457,59.1763942931258,38.331,40.8,2.648,565.276744186046
1972,20.562,8.749,47.3901036340224,1.036,77.2808350399683,15.5527662167023,61.728068823266,38.07,43.1,2.794,561.662790697674
1971,21.123,8.788,47.1804675688171,,79.8551234896212,15.2959331200887,64.5591903695325,37.809,45.4,2.949,558.358139534884
1970,21.736,8.833,46.9737750894745,,83.1210044612059,15.1673335479618,67.9536709132441,37.55,47.9,3.113,555.572093023256
1969,22.445,8.888,46.7778604236793,,84.1828244127095,14.8674484306668,69.3153759820427,37.433,50.3,3.284,553.383720930233
1968,23.273,8.959,46.5943913573118,,85.0409484439591,14.5121285391155,70.5288199048436,37.36,52.8,3.46,551.723255813954
1967,24.22,9.053,46.4068857986741,1.036,85.6760658412967,14.11523796074,71.5608278805567,37.287,55.4,3.637,550.369767441861
1966,25.263,9.175,46.1992341708883,,86.0308254798752,13.7375106376273,72.2933148422479,37.214,58.1,3.807,549.041860465116
1965,26.35,9.336,45.9584138648769,,86.078110549904,13.4160125836871,72.6620979662169,37.141,61.2,3.963,547.472093023256
1964,27.414,9.543,45.6741180282026,,85.474268455633,13.1587061883791,72.3155622672539,37.068,64.7,4.094,545.548837209302
1963,28.395,9.797,45.3653609094645,,84.8323984778601,12.9777454292292,71.854653048631,36.995,68.7,4.196,543.325581395349
1962,29.25,10.098,45.0694901192058,1.036,84.0785902498081,12.8274923443348,71.2510979054733,36.922,73.1,4.269,541.006976744186
1961,29.968,10.443,44.8536583260688,,83.0229215045101,12.6478997835806,70.3750217209295,36.849,78.0,4.313,538.879069767442
1960,30.56,10.826,44.7613481394896,,81.5395255985035,12.3952717041043,69.1442538943993,36.777,83.7,4.333,
