date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.8074769429166,,53.8845637799577,7.28867892694449,46.5958848530132,45.724,13.0,,16.7939938623411
2017,21.081,4.681,49.8425919765817,1.03,55.0854732602002,7.15854030986636,47.9269329503339,45.601,13.8,2.346,16.4738711091626
2016,21.4,4.65,49.8785284433454,1.03,56.3335455124125,7.0515595162317,49.2819859961808,45.495,14.5,2.391,16.1508110477861
2015,21.733,4.624,49.9091226456393,1.03,57.5287401471705,6.9578652420981,50.5708749050724,45.406,15.3,2.439,15.8234546251644
2014,22.067,4.603,49.9332137217503,1.03,59.0914616302366,6.88382144384666,52.2076401863899,45.335,16.1,2.489,15.4917141604559
2013,22.395,4.588,49.9553089755197,1.03,60.6691391073188,6.82802595133196,53.8411131559868,45.282,16.9,2.539,15.1562911003946
2012,22.717,4.58,49.9752959310771,1.03,62.2675205714889,6.79171187433389,55.475808697155,45.246,17.7,2.588,14.8180622533976
2011,23.044,4.582,49.999091558764,1.03,63.9519816505563,6.76834323786261,57.1836384126937,45.228,18.3,2.638,14.477729066199
2010,23.402,4.597,50.0296156171988,1.03,65.8142775603811,6.76340674540939,59.0508708149717,45.228,18.9,2.69,14.1369574747918
2009,23.827,4.631,50.070076750727,1.03,67.2122522943824,6.5491531908788,60.6630991035036,45.245,19.4,2.749,13.7946076282332
2008,24.339,4.685,50.1212429356435,1.03,68.7073520759676,6.37938713455437,62.3279649414132,45.262,19.9,2.816,13.4512494519947
2007,24.944,4.76,50.1740622209737,1.03,70.2837065214915,6.24701031867156,64.03669620282,45.279,20.2,2.893,13.1093818500658
2006,25.635,4.856,50.2258545057631,,71.9039133308157,6.13375660876133,65.7701567220544,45.296,20.6,2.98,12.7719859710653
2005,26.386,4.976,50.2688531984017,,73.5471995792795,6.03318065908799,67.5140189201915,45.313,20.9,3.077,12.4419114423498
2004,27.158,5.123,50.2994401770603,,75.1921383269234,6.26627552604401,68.9258628008794,45.33,21.3,3.18,12.1220517316966
2003,27.913,5.293,50.3210505218463,,76.7022574340543,6.47782572766504,70.2244317063893,45.347,21.7,3.286,11.8117053923718
2002,28.62,5.476,50.3321429796446,1.03,78.0693062587379,6.67815889131704,71.3911473674209,45.364,22.2,3.392,11.5027619465147
2001,29.271,5.66,50.3414775667665,,79.3591077857786,6.86881188118812,72.4902959045905,45.381,22.9,3.497,11.182069267865
2000,29.868,5.826,50.3481460515143,,80.6656390851115,7.05963138555493,73.6060076995566,45.398,23.6,3.601,10.8423936869794
1999,30.431,5.953,50.3529598835044,,81.7910742946685,7.28265747776941,74.508416816899,45.582,24.5,3.703,10.4773345024112
1998,30.99,6.029,50.3552691011431,,83.230673733467,7.55224498241258,75.6784287510545,45.793,25.4,3.805,10.0939938623411
1997,31.567,6.05,50.3558614464628,1.03,85.1127819548872,7.87468671679198,77.2380952380952,46.003,26.5,3.908,9.71416045594038
1996,32.168,6.017,50.3613217261069,,87.2750699003427,8.22939583315073,79.045674067192,46.214,27.6,4.01,9.36711968434897
1995,32.791,5.936,50.3672171703018,,89.3289057211336,8.56980807581829,80.7590976453153,46.425,28.9,4.109,9.07334502411223
