date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,,,,,,100.0,,,1184.59257167194
2017,9.3,7.8,,,,,,100.0,,1.61,1182.85183096194
2016,9.6,8.0,,,,,,100.0,,1.61,1195.46294185033
2015,9.4,7.4,,,,,,100.0,,1.62,1208.12960829329
2014,10.5,7.6,,,,,,100.0,,1.63,1206.27775647415
2013,10.4,6.8,,,,,,100.0,,1.63,1203.72220096372
2012,10.0,6.5,,,,,,100.0,,1.59,1199.96294177086
2011,10.4,6.6,,,,,,100.0,,1.59,1195.62960851405
2010,11.8,7.3,,,,,,100.0,,1.76,1205.99997870127
2009,12.5,7.2,,,,,,100.0,,1.76,1215.48146001531
2008,12.8,6.8,,,,,,100.0,,1.77,1208.7592379118
2007,13.4,7.0,,,,,,100.0,,1.76,1201.62960840809
2006,12.5,7.1,,,,,,100.0,,1.76,1194.8703492682
2005,13.1,7.1,,,,,,100.0,,1.76,1188.03701605555
2004,13.2,6.8,,,,,,100.0,,1.78,1180.37034952428
2003,13.2,7.2,,,,,,100.0,,1.8,1172.68516447482
2002,13.2,6.7,,,,,,100.0,,1.77,1165.03701646174
2001,13.3,7.2,,,,,,100.0,,1.75,1157.48146103962
2000,13.5,8.0,,,,,,100.0,,1.74,1145.05553533315
1999,,,,,,,,100.0,,,1134.90738736422
1998,,,,,,,,100.0,,,1128.57405414274
1997,,,,,,,,100.0,,,1120.31479502934
1996,13.9,6.9,,,,,,100.0,,,1113.49998033488
1995,13.3,7.9,,,,,,100.0,,1.8,1106.40738786755
1994,14.5,8.1,,,,,,100.0,,,1098.51849911798
1993,13.7,8.2,,,,,,100.0,,,1090.92590665948
1992,15.5,7.9,,,,,,100.0,,,1085.09257342917
1991,15.4,7.7,,,,,,100.0,,,1092.98146217873
1990,14.6,7.3,,,,,,100.0,,,1098.62961022713
1989,15.2,7.7,,,,,,100.0,,,1089.64812890427
1988,,,,,,,,100.0,,,1080.49998091768
1987,,,,,,,,100.0,,,1071.27775885833
1986,,,,,,,,100.0,,,1062.62961086292
1985,,,,,,,,100.0,,,1053.66664805824
1984,15.1,7.1,,,,,,100.0,,,1044.8703519173
1983,,,,,,,,100.0,,,1035.7407224489
1982,,,,,,,,100.0,,,1026.8333151988
1981,,,,,,,,100.0,,,1019.44442644041
1980,14.9,7.3,,,,,,100.0,,,1012.40738952765
1979,14.5,6.6,,,,,,100.0,,,996.296278701071
1978,13.0,6.0,,,,,,100.0,,,992.592575062777
1977,14.3,6.6,,,,,,100.0,,,988.888871424483
1976,15.2,6.8,,,,,,100.0,,,985.185167786189
1975,,7.1,,,,,,100.0,,,981.481464147896
1974,,6.3,,,,,,100.0,,,988.888871424483
1973,,6.8,,,,,,100.0,,,996.296278701071
1972,,7.3,,,,,,100.0,,,1003.70368597766
1971,,8.2,,,,,,100.0,,,1011.11109325425
1970,20.3,7.6,,,,,,100.0,,,1018.51850053083
1969,,,,,,,,100.0,,,999.999982339365
1968,,,,,,,,100.0,,,981.481464147896
1967,,,,,,,,100.0,,,962.962945956426
1966,20.3,7.2,,,,,,100.0,,,944.444427764956
1965,,,,,,,,100.0,,,927.777761392633
1964,,,,,,,,100.0,,,905.55553956287
1963,,,,,,,,100.0,,,883.333317733106
1962,26.0,7.4,,,,,,100.0,,,862.962947722489
1961,,,,,,,,100.0,,,842.592577711873
1960,28.3,9.9,,,,,,100.0,,,
