date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.2166008698915,,61.9839670266234,11.6498016923282,50.3341653342952,69.425,26.8,,10.4801458506416
2017,22.076,6.795,50.2328316113863,1.05,62.8147403592503,11.4717303346597,51.3430100245905,69.08,28.0,2.777,10.3321831440967
2016,22.433,6.834,50.2484267784596,1.05,63.623463871929,11.2910409740448,52.3324228978841,68.738,29.3,2.829,10.1835253392412
2015,22.821,6.89,50.2629135658542,1.05,64.3685000434748,11.1049633110415,53.2635367324333,68.393,30.8,2.886,10.0339056586357
2014,23.233,6.966,50.276098193278,1.05,65.2107446299457,10.9427775945792,54.2679670353664,68.047,32.4,2.947,9.88324286901135
2013,23.661,7.062,50.2879095080568,1.05,66.0089637234064,10.7816157692498,55.2273479541566,67.699,34.4,3.01,9.73172343764424
2012,24.1,7.175,50.2984820205909,1.05,66.7754538979556,10.6205114821205,56.1549424158351,67.315,36.5,3.076,9.57968799039971
2011,24.548,7.304,50.3079472328811,1.05,67.5525956414145,10.4598866156159,57.0927090257986,66.874,38.7,3.143,9.427632234838
2010,25.008,7.448,50.3165765330225,1.05,68.3691088304647,10.2994190366897,58.069689793775,66.43,41.1,3.213,9.27590695098311
2009,25.486,7.604,50.3245390139801,1.05,69.1823970416301,10.159640863255,59.0227561783751,65.984,43.7,3.287,9.12469399058433
2008,25.985,7.769,50.3316735341215,1.05,70.0047968457985,10.0249705290398,59.9798263167587,65.535,46.4,3.364,8.97392596695283
2007,26.508,7.941,50.3372622179482,1.05,70.8126290462488,9.89584803914035,60.9167810071085,65.082,49.4,3.447,8.82344595218314
2006,27.049,8.12,50.3402551597055,,71.5633582896411,9.7740273622806,61.7893309273605,64.628,52.5,3.533,8.67298624573064
2005,27.604,8.306,50.3398123609705,,72.2232761967228,9.6604318012275,62.5628443954953,64.17,55.8,3.621,8.52239084279516
