date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.9045184797928,,89.9517925391388,4.57210649206693,85.3796860470719,29.358,76.4,,72.1912828947368
2017,38.419,8.341,49.8709441180216,1.046,90.8038725664118,4.59575736325734,86.2081152031544,28.743,79.6,5.271,70.1508918128655
2016,38.92,8.571,49.8355710366908,1.046,91.5612541284844,4.61611528946417,86.9451388390202,28.134,83.0,5.353,68.151966374269
2015,39.437,8.823,49.7982619696646,1.046,92.2404614970802,4.62890802051372,87.6115534765665,27.53,86.8,5.436,66.1938011695906
2014,39.979,9.105,49.758993346366,1.046,93.0148682548031,4.67729692519907,88.337571329604,26.934,91.0,5.521,64.2763779239766
2013,40.543,9.426,49.7177819373528,1.046,93.7096354936371,4.7225699490707,88.9870655445663,26.346,95.8,5.606,62.4004934210526
2012,41.127,9.789,49.6747560172279,1.046,94.2981474941527,4.76209236218297,89.5360551319698,25.767,101.4,5.693,60.5674195906433
2011,41.721,10.195,49.6299974225706,1.046,94.7165322297479,4.79237547734994,89.9241567523979,25.196,107.6,5.781,58.7789144736842
2010,42.314,10.645,49.5835589791128,1.046,94.8985985605555,4.80992561484001,90.0886729457155,24.633,114.4,5.867,57.0366118421053
2009,42.89,11.141,49.5356149203975,1.046,95.4575550291235,4.87548617186444,90.5820688572591,24.079,121.5,5.953,55.3402704678363
2008,43.438,11.672,49.4863654697416,1.046,95.8848346295667,4.93100297579837,90.9538316537683,23.534,129.0,6.036,53.6905153508772
2007,43.946,12.225,49.4363714808607,1.046,96.1754785142606,4.97579124933671,91.1996872649239,22.996,136.9,6.116,52.0907200292398
2006,44.407,12.785,49.3863805160294,,96.3275057169774,5.01119261230801,91.3163131046694,22.339,144.9,6.192,50.5452339181287
2005,44.817,13.336,49.3371708326706,,96.3161927038799,5.03714113455613,91.2790515693237,21.537,152.5,6.265,49.0567616959064
2004,45.176,13.863,49.2889723370632,,96.8861168561002,5.13681098911991,91.7493058669803,20.757,159.6,6.335,47.6263486842105
2003,45.495,14.354,49.2421900484756,,97.3928544298358,5.2336332557101,92.1592211741257,19.996,165.8,6.403,46.2522697368421
2002,45.778,14.801,49.1975699858221,1.046,97.8035663887603,5.32546330518655,92.4781030835737,19.258,170.8,6.468,44.9309210526316
2001,46.031,15.197,49.1561409103319,,98.0738004222625,5.40837281680135,92.6654276054612,18.54,175.1,6.531,43.6571162280702
2000,46.253,15.539,49.1185912139016,,98.1560537932871,5.47876571787545,92.6772880754117,17.844,178.9,6.592,42.4266885964912
1999,46.442,15.828,49.0857858795451,,98.8938823746757,5.62794875971403,93.2659336149617,17.166,182.5,6.65,41.237942251462
1998,46.601,16.074,49.0578665408787,,99.5825564568647,5.77310118411531,93.8094552727494,16.51,186.0,6.704,40.090365497076
