date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.8020187331594,,55.6907148735824,7.11300795325963,48.5777069203227,23.388,28.0,,92.0564128710628
2017,22.889,6.017,48.7924572874721,1.049,55.4805349891597,6.85799144816045,48.6225435409992,22.98,29.2,2.53,90.6946181735781
2016,23.291,6.051,48.7831379481159,1.049,55.3928119495108,6.61607640145873,48.7767355480521,22.582,30.5,2.559,89.3173181509177
2015,23.674,6.099,48.7741049716086,1.049,55.5726749850255,6.40831964179899,49.1643553432265,22.188,32.0,2.593,87.9301835486064
2014,24.048,6.159,48.7662841600246,1.049,55.8298056670233,6.25775731220087,49.5720483548224,21.799,33.7,2.633,86.531288239293
2013,24.422,6.228,48.7595174603513,1.049,56.3530362316692,6.14685061102345,50.2061856206457,21.415,35.6,2.682,85.1253795603898
2012,24.797,6.308,48.750951763728,1.049,57.125942248316,6.06667165598853,51.0592705923275,21.037,38.0,2.739,83.7324609109449
2011,25.166,6.401,48.7366743594041,1.052,58.0216216321949,5.99958292459835,52.0220387075966,20.663,41.0,2.804,82.3783310673012
2010,25.502,6.512,48.7140171622751,1.055,58.881372700517,5.93160919846467,52.9497635020524,20.294,44.3,2.875,81.0798323136189
2009,25.767,6.644,48.6805753389569,1.058,60.206639861746,5.87099831638483,54.3356415453612,19.93,47.9,2.947,79.8414004078858
2008,25.947,6.802,48.6380384094164,1.061,61.8896823594106,5.82272284817309,56.0669595112375,19.571,51.8,3.018,78.6530364831181
2007,26.05,6.991,48.5931713361881,1.064,63.8202460591721,5.77993682604337,58.0403092331287,19.413,55.9,3.086,77.4980852028099
2006,26.101,7.214,48.5558706025989,,65.8388980223795,5.73582663886957,60.1030713835099,19.293,60.3,3.155,76.3523056877408
2005,26.147,7.479,48.5333587476565,,67.9344262212118,5.6877049544332,62.2467212667786,19.174,65.3,3.227,75.1946181735781
2004,26.241,7.792,48.5291863337281,,69.9171485321147,5.66097947101044,64.2561690611043,19.055,71.2,3.309,74.0225980058917
2003,26.44,8.153,48.5409691579242,,71.8585120818772,5.63035355002435,66.2281585318528,18.937,78.4,3.406,72.8311975980059
2002,26.793,8.553,48.5627350948379,1.034,74.068555402254,5.60180083168496,68.4667545705691,18.82,87.2,3.521,71.5937400861092
2001,27.326,8.983,48.5849844072075,,76.9680612042562,5.58120790816508,71.3868532960911,18.703,97.1,3.654,70.2776342624065
2000,28.058,9.426,48.6001881822006,,80.7378031517793,5.56683791936888,75.1709652324104,18.586,106.8,3.805,68.8604067527759
1999,28.989,9.863,48.6057754433951,,85.362479937772,5.69410162699757,79.6683783107744,18.47,113.8,3.971,67.3377407659189
1998,30.085,10.28,48.6027252250117,,90.2210337207769,5.81931170549302,84.4017220152839,18.355,117.9,4.146,65.7178110129164
1997,31.309,10.669,48.5912229433149,1.037,94.5577017718654,5.9258770732003,88.6318246986651,18.06,119.7,4.325,64.0074779061863
1996,32.643,11.026,48.5726608745817,,97.3135298494887,5.99201325997184,91.3215165895168,17.683,120.1,4.504,62.2191083163381
1995,34.079,11.346,48.5481194184201,,98.0524720739595,6.00520921809317,92.0472628558663,17.311,119.5,4.685,60.3678789938817
1994,35.62,11.625,48.51668958638,,98.2292715531294,5.94912654732448,92.280145005805,16.946,118.5,4.867,58.4517278495355
1993,37.251,11.88,48.4765353619651,,96.4300236486726,5.85499683607396,90.5750268125987,16.587,117.4,5.052,56.4850045320644
1992,38.94,12.139,48.4265576768833,1.036,93.4051577313217,5.73433614179993,87.6708215895218,16.234,116.6,5.237,54.5201053704963
1991,40.647,12.43,48.3659583318352,,90.7227232578967,5.60912893705839,85.1135943208383,15.887,116.1,5.421,52.6246261046907
1990,42.358,12.678,48.2940577657397,1.036,89.3409705974613,5.49229491517772,83.8486756822836,15.546,115.9,5.601,50.8474790392024
1989,44.077,12.775,48.2170567430926,,87.2098638639613,5.42291088411959,81.7869529798417,15.211,116.0,5.777,49.2371062769091
1988,45.769,12.753,48.1375628874138,,86.5552336188599,5.36254588187631,81.1926877369836,14.883,116.1,5.944,47.7901200997054
1987,47.36,12.757,48.0459697768332,1.035,86.6876078970938,5.30391996788222,81.3836879292115,14.559,116.5,6.097,46.442794017675
1986,48.756,13.009,47.9270569650464,,85.8120254597483,5.23334601497056,80.5786794447777,14.242,117.5,6.226,45.0994164967143
1985,49.766,14.164,47.7716349699685,,82.6259967356427,5.14170601136489,77.4842907242778,13.931,119.3,6.313,43.7054158169046
1984,50.185,17.007,47.557078263186,,81.6319149766371,5.10591339634973,76.5260015802874,13.626,122.6,6.338,42.1926863811466
1983,49.943,21.785,47.2924003947557,,79.5945219890665,5.05727865341624,74.5372433356503,13.325,128.7,6.296,40.618609789259
1982,49.063,28.323,47.0477266477095,1.049,77.2989117582024,4.99392631276069,72.3049854454417,13.031,139.6,6.193,39.2012293224564
1981,47.64,36.102,46.9366944356829,,76.3911435527184,4.91510036491582,71.4760431878025,12.742,156.9,6.042,38.2384262406526
1980,45.883,43.92,47.0436865145578,,77.8665045422128,4.8200758682923,73.0464286739205,9.898,179.6,5.87,37.9207115341038
1979,44.067,50.262,47.406273166122,,78.511480622618,4.91080880482085,73.6006718177971,5.999,205.5,5.714,38.3548379786993
1978,42.466,53.981,47.9569348136273,,80.8225932044275,4.96054126714981,75.8620519372777,5.578,232.9,5.603,39.4134658962157
1977,41.288,54.444,48.5646554036233,1.04,83.833008255321,4.97375745476051,78.8592508005605,5.186,259.6,5.557,40.7661568094267
1976,40.626,51.642,49.0912445050007,,86.3101369620364,4.95382179788274,81.3563151641537,4.82,284.1,5.585,41.9481305234534
1975,40.491,46.18,49.4674898135507,,87.7106942338521,4.9028148445292,82.8078793893229,4.477,309.1,5.681,42.6265975526852
1974,40.795,39.186,49.685822953243,,89.6821825797792,4.94727886317633,84.7349037166028,29.055,,5.831,42.6769544527532
1973,41.333,32.166,49.7810177235697,,90.6793563747046,4.97360548577911,85.7057508889255,25.263,,6.004,42.2005325175617
1972,41.928,26.319,49.7891706429125,1.041,91.1705022796382,4.98062012967038,86.1898821499679,21.818,,6.175,41.3670462270564
1971,42.508,22.164,49.7657304850105,,91.765159328735,4.96776896796235,86.7973903607727,18.717,,6.332,40.4466745977793
1970,43.026,19.885,49.7545656618323,,92.6974345754354,4.9343943488886,87.7630402265468,15.97,,6.465,39.6361658735554
1969,43.474,19.246,49.7646070711911,,93.855260144009,4.98543258913365,88.8698275548754,14.579,,6.574,38.9792828008158
1968,43.89,19.485,49.7820577605933,,95.2420775446414,5.01900214341067,90.2230754012308,13.291,,6.666,38.4080387491502
1967,44.302,19.965,49.8053309015712,1.043,96.5644815323537,5.03065201234312,91.5338295200105,12.098,,6.745,37.8765012463177
1966,44.702,20.472,49.8276090905529,,97.3261179581395,5.01379477533559,92.3123231828039,11.0,,6.813,37.3047530024926
1965,45.082,20.859,49.8437884392157,,97.2635585969611,4.96401506197279,92.2995435349883,10.83,,6.868,36.6371912531158
1964,45.435,21.086,49.8563597587469,,97.45318732834,4.99788402326857,92.4553033050715,10.662,,6.909,35.8681679129844
1963,45.762,21.254,49.8700430462195,,96.7678765650367,5.00522182742958,91.7626547376072,10.497,,6.937,35.0305007931113
1962,46.067,21.435,49.8845139550338,1.041,95.4881081165218,4.98588746812358,90.5022206483982,10.333,,6.955,34.1515465669613
1961,46.353,21.61,49.8983818743776,,94.206765101044,4.9434555115789,89.2633095894651,10.293,,6.964,33.2708248357127
1960,46.626,21.77,49.9107363170378,,93.3028050402761,4.880259323842,88.4225457164341,10.285,,6.967,
