date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.6084700456847,,49.4818756303058,25.7587286436203,23.7231469866855,81.411,5.0,,4.07530821431988
2017,10.3,7.5,49.5974378371218,1.053,48.6160788402922,25.0306523498454,23.5854264904469,81.35,5.1,1.4961,4.01827985013488
2016,10.6,7.4,49.5894339715573,1.053,47.8263144313975,24.3248353899332,23.5014790414644,81.3,5.2,1.5433,3.97090749336615
2015,10.7,7.4,49.5858734424177,1.053,47.156455788445,23.6239580873197,23.5324977011253,81.259,5.3,1.563,3.92619659515413
2014,10.8,7.3,49.5876945760216,1.054,46.3805411151733,22.869566984602,23.5109741305713,81.218,5.4,1.5818,3.89700291746531
2013,10.8,7.2,49.5941910445317,1.054,45.7069754663487,22.1501515195879,23.5568239467608,81.178,5.4,1.587,3.85802116014608
2012,11.0,7.1,49.6029082615499,1.054,45.1391853894768,21.4862568946317,23.6529284948451,81.137,5.5,1.6142,3.8174722411918
2011,11.0,7.1,49.6102626248308,1.054,44.6476337433392,20.9033442563951,23.7442894869441,81.096,5.6,1.61,3.77624569610634
2010,11.1,7.0,49.6135156455953,1.054,44.1799447904124,20.4067248747659,23.7732199156465,80.937,5.6,1.6269,3.73946792822573
2009,11.3,7.1,49.6115891104787,1.053,43.9767531768617,19.966596980713,24.0101561961488,80.758,5.7,1.668,3.69812041774848
2008,11.3,7.2,49.6051789871856,1.053,43.9339025932817,19.6209781435714,24.3129244497103,80.578,5.8,1.6808,3.65613695921597
2007,11.2,7.1,49.5955442314709,1.053,44.0347757280595,19.3534429469416,24.681332781118,80.396,5.9,1.6589,3.61675799553748
2006,10.9,7.0,49.5849094111152,,44.2369943174355,19.1383458805105,25.098648436925,80.213,6.0,1.5862,3.58180438576523
2005,10.6,7.1,49.5749559457402,,44.495093004083,18.9542192519727,25.5408737521103,80.122,6.1,1.5434,3.54579837708432
2004,10.5,7.1,49.5663558851365,,44.8342898896357,18.7932376923646,26.0410521972711,80.045,6.1,1.5258,3.5124671331532
2003,10.6,7.1,49.5587214271727,,45.2070740800463,18.6776173616186,26.5294567184277,79.967,6.1,1.5251,3.4798474956315
2002,10.5,7.1,49.5516266783329,1.054,45.5906569288304,18.588291365168,27.0023655636624,79.888,6.1,1.5014,3.44862203923458
2001,10.7,7.1,49.5442724356342,,46.0067216678359,18.5030792543519,27.503642413484,79.81,6.2,1.5104,3.41132324042092
2000,10.7,7.1,49.5361915059311,,46.4743272436913,18.4044659263043,28.069861317387,79.478,6.2,1.488,3.37446486560195
1999,11.2,7.2,49.5269781438245,,46.8598797181511,18.2866292779162,28.5732504402349,79.103,6.3,1.50866666666667,3.34318497477872
1998,11.4,7.2,49.5173019002882,,47.249617155646,18.1562003010994,29.0934168545466,78.724,6.4,1.52933333333333,3.31612028798561
1997,11.6,7.2,49.509080948403,1.054,47.5879839306184,18.0093679496338,29.5786159809846,78.34,6.5,1.55,3.28871337910224
1996,12.0,7.2,49.5048683168001,,47.7839138513438,17.8467657245848,29.937148126759,77.951,6.7,1.592,3.25619238335912
1995,12.6,7.2,49.5064574650942,,47.7799777157308,17.6668421562534,30.1131355594773,77.675,6.9,1.639,3.22233230072876
1994,13.1,7.1,49.5150989576357,,47.806155741009,17.473213677302,30.332942063707,77.414,7.2,1.6695,3.18916051117775
1993,13.6,7.1,49.5301030924657,,47.6987840662569,17.2699118753374,30.4288721909195,77.152,7.4,1.7,3.15442155999169
1992,14.7,6.9,49.5491349509166,1.056,47.4794740025865,17.0498319604284,30.4296420421581,76.887,7.7,1.71,3.11994642332829
1991,14.9,7.0,49.56863528039,,47.2088286380912,16.806163892106,30.4026647459852,76.62,8.0,1.7,3.08323408672779
1990,15.0,7.3,49.5860311430936,1.054,46.9397979095608,16.5344262785705,30.4053716309903,76.582,8.3,1.83,3.04515396145163
1989,14.9,7.3,49.6003034934752,,46.702985677399,16.2150777588001,30.4879079185988,76.562,8.5,1.77,2.99958772795103
1988,14.5,7.3,49.6123926901035,,46.4834964220501,15.885927036514,30.5975693855361,76.542,8.8,1.68,2.94624924809012
1987,14.4,7.2,49.623824769244,1.052,46.2970608102558,15.5592676329562,30.7377931772996,76.522,9.1,1.68,2.90829404707313
1986,14.5,7.2,49.6370770052997,,46.1546723303146,15.2544430547144,30.9002292756002,76.502,9.4,1.675,2.87020941308692
1985,14.9,7.0,49.6541030585314,,46.0639884207424,14.9816197146718,31.0823687060706,76.354,9.8,1.67,2.84181971537943
1984,15.0,7.0,49.6748383938525,,46.0740269257793,14.7007485201671,31.3732784056122,76.195,10.1,1.65,2.81597018093124
1983,15.0,7.0,49.6987100775657,,46.1860447425308,14.4683517969222,31.7176929456085,76.035,10.6,1.68,2.78951153075105
1982,15.1,7.1,49.7265230025134,1.056,46.4279786578557,14.2731667850417,32.1548118728139,75.874,11.2,1.69,2.76207339080289
1981,15.3,7.0,49.7593476675742,,46.8499192766392,14.0914404837757,32.7584787928635,75.712,11.8,1.7,2.72940976586599
1980,15.4,7.1,49.7975888406732,,47.4567515069772,13.9020355635678,33.5547159434094,75.663,12.5,1.74,2.69595205811617
1979,15.4,7.0,49.84242667759,,48.3020074521294,13.7221465848533,34.5798608672761,75.623,13.3,1.754,2.6614084110536
1978,15.2,7.1,49.8929407411585,,49.3977103185293,13.540973796987,35.8567365215423,75.583,14.2,1.768,2.63519839973784
1977,15.5,7.1,49.9450990394204,1.056,50.6681872870161,13.3591671142628,37.3090201727533,75.543,15.1,1.782,2.60909626755785
1976,15.6,7.2,49.9931983382965,,51.9410777395233,13.1848549077176,38.7562228318058,75.503,16.0,1.796,2.57874110217067
1975,15.8,7.3,50.0331450272528,,53.0894963975477,13.0227392396087,40.066757157939,75.611,17.0,1.824,2.54503211631152
1974,15.4,7.4,50.063119078712,,54.7472452571445,12.9701069682967,41.7771382888479,75.731,17.9,1.837,2.50815900570847
1973,15.6,7.4,50.0843954309271,,56.3637558123408,12.9480929334936,43.4156628788471,75.851,18.9,1.89,2.47338783374077
1972,15.9,7.4,50.0997204944701,1.06,57.9710927016782,12.9497199800553,45.0213727216229,75.971,19.9,1.98,2.44333189274549
1971,16.8,7.3,50.1134418473296,,59.7111967334083,12.9616842765421,46.7495124568662,76.09,21.0,2.141,2.41513255057728
1970,17.4,7.3,50.1292251273794,,61.6883358143135,12.9711663397111,48.7171694746024,75.654,22.0,2.258,2.34496910433925
