date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.2729681609955,,45.5258883363112,16.7788462845916,28.7470420517196,87.564,7.2,,25.1894460666519
2017,12.711,6.076,49.253046828621,1.04,45.3828389358575,16.2710935882733,29.1117453475842,87.49,7.4,1.678,24.8414839222839
2016,13.031,5.993,49.2351175282299,1.04,45.3018499204829,15.806474522199,29.4953753982839,87.422,7.7,1.713,24.4899577081939
2015,13.369,5.917,49.2215747742991,1.04,45.271634186872,15.3935592306389,29.878074956233,87.36,7.9,1.75,24.1675573408594
2014,13.7,5.848,49.2135776575769,1.04,45.1601813071934,14.939272323957,30.2209089832364,87.303,8.1,1.787,23.884591723835
2013,14.002,5.785,49.2104976060397,1.04,45.1721191320526,14.5510546878518,30.6210644442008,87.246,8.3,1.821,23.6324815360804
2012,14.258,5.728,49.2108812237725,1.04,45.3087423511922,14.2187197018525,31.0900226493398,87.189,8.4,1.849,23.402282979991
2011,14.463,5.677,49.2123576848553,1.04,45.5512574902593,13.9250305589993,31.6262269312599,87.132,8.5,1.87,23.1779873303205
2010,14.613,5.631,49.213103261175,1.04,45.8657564263722,13.6560237536059,32.2097326727662,87.074,8.7,1.884,22.9479501660676
2009,14.712,5.588,49.2125633594896,1.04,46.3866619865524,13.3979250357012,32.9887369508513,87.017,8.8,1.892,22.7107714130507
2008,14.78,5.549,49.2112671251426,1.04,47.0450068878979,13.1710970023541,33.8739098855438,86.959,8.9,1.895,22.4714703573841
2007,14.841,5.511,49.209383479366,1.04,47.8105650669544,12.9685564228656,34.8420086440888,86.9,8.9,1.898,22.2319877359016
2006,14.914,5.476,49.2074998041824,,48.6325031472331,12.7828102001251,35.8496929471079,86.842,9.0,1.901,21.9956952930533
2005,15.021,5.442,49.2060571055051,,49.4740469676003,12.6066255192611,36.8674214483392,86.783,9.1,1.909,21.7646588443462
2004,15.184,5.411,49.2049314853626,,50.3752157158207,12.4326209363055,37.9425947795152,86.725,9.3,1.923,21.5390465062765
2003,15.412,5.384,49.2038467224101,,51.2616741265282,12.2695952587729,38.9920788677553,86.665,9.5,1.943,21.3167036978274
2002,15.713,5.362,49.2025490529993,1.04,52.1141462564011,12.1103910242192,40.0037552321819,86.606,9.8,1.972,21.0944631042081
2001,16.092,5.345,49.2007662744378,,52.9523753382159,11.9458819085352,41.0064934296807,86.363,10.3,2.009,20.8681164332824
2000,16.556,5.335,49.1982323438065,,53.80445749989,11.7673241316769,42.0371333682131,86.073,10.9,2.055,20.6344210540694
1999,17.112,5.332,49.195013507069,,54.4396982585556,11.5827736607122,42.8569245978434,85.778,11.5,2.11,20.3929344839507
1998,17.742,5.337,49.1911194054963,,54.9953090782427,11.3873703787487,43.6079386994939,85.477,11.9,2.172,20.144031958946
1997,18.421,5.35,49.1861919879899,1.04,55.4583455949726,11.1766642264296,44.281681368543,85.172,12.2,2.238,19.8864600024587
1996,19.124,5.369,49.1796703270714,,55.8051569590066,10.9447809853959,44.8603759736107,84.861,12.5,2.306,19.6190202801031
1995,19.818,5.393,49.1713919274948,,56.013214977278,10.686283369548,45.32693160773,84.545,13.1,2.372,19.3412864484445
1994,20.471,5.419,49.1611386591856,,56.1916094064211,10.4231085706297,45.7685008357914,84.223,13.9,2.432,19.0527635725176
1993,21.06,5.448,49.1492681141409,,56.2976642780495,10.1325728493871,46.1650914286624,83.896,15.0,2.484,18.7549915994288
1992,21.567,5.477,49.1368179956906,1.04,56.3583054821176,9.82822924618119,46.5300762359364,83.564,16.2,2.526,18.4522232040693
1991,21.979,5.508,49.1252443914546,,56.3831193820627,9.53563039269548,46.8474889893672,83.398,17.6,2.558,18.1502039358173
1990,22.286,5.54,49.1158577305846,1.04,56.3701654920411,9.27239572964804,47.0977697623931,83.271,19.1,2.579,17.853464870482
1989,22.484,5.576,49.1089657990446,,56.523022159703,9.04277308463703,47.4802490750659,83.143,20.4,2.589,17.5631411306465
1988,22.598,5.617,49.1047355357903,,56.7173411410789,8.85463343373571,47.8627077073432,83.014,21.4,2.591,17.2792932382494
1987,22.656,5.667,49.1040002872755,1.04,56.9866234622843,8.69993980260021,48.286683659684,82.885,21.9,2.59,17.0038726895802
1986,22.682,5.728,49.1077776794852,,57.3993678136353,8.56145352782705,48.8379142858082,82.755,22.2,2.589,16.7387852532412
1985,22.707,5.802,49.1166199106193,,58.0016151767317,8.42609212952609,49.5755230472056,82.624,22.4,2.592,16.4851485677
1984,22.758,5.893,49.1311780947674,,58.6355316503112,8.32007664014803,50.3154550101632,82.492,23.0,2.601,16.2442699068319
1983,22.856,6.0,49.1513446263443,,59.4391706992987,8.22741286448669,51.211757834812,82.359,24.6,2.619,16.0153961087335
1982,23.015,6.125,49.1757216443009,1.04,60.3709179119723,8.14231333524877,52.2286045767235,82.226,27.1,2.648,15.7947613638871
1981,23.248,6.268,49.2020044862641,,61.3506686877966,8.05665739270619,53.2940112950904,81.778,29.9,2.689,15.5770209126414
1980,23.555,6.429,49.2286776392702,,62.3186106780473,7.96334801391414,54.3552626641331,81.243,33.0,2.744,15.3582462087103
1979,23.929,6.609,49.2551273550124,,63.4653255827701,7.90506910715585,55.5602564756142,80.695,36.7,2.812,15.1370439025723
1978,24.349,6.806,49.2816817136367,,64.6358075252098,7.83722483595679,56.798582689253,80.136,41.9,2.892,14.9141725358587
1977,24.799,7.017,49.3086877082632,1.04,65.8178859833611,7.75927425463937,58.0586117287217,79.565,48.8,2.981,14.690394684997
1976,25.276,7.242,49.3367033328264,,67.0044675793098,7.67398656621134,59.3304810130984,78.982,56.6,3.078,14.467269126141
1975,25.779,7.48,49.3663799492273,,68.1907238962208,7.58255865743486,60.608165238786,78.386,64.4,3.182,14.2459323268059
1974,26.313,7.73,49.3975003650946,,69.4082891949239,7.5402525075479,61.868036687376,77.778,71.1,3.293,14.0260238452235
1973,26.884,7.991,49.4298316151246,,70.5562025774917,7.49202113961884,63.0641814378729,77.159,75.5,3.409,13.8068416269054
1972,27.493,8.262,49.46411083096,1.04,71.6379518297427,7.43705216236142,64.2008996673813,76.528,77.7,3.53,13.5887541832113
1971,28.138,8.54,49.5011725166443,,72.6930009736936,7.37552927003549,65.3174717036581,75.883,78.8,3.654,13.3722914173376
1970,28.821,8.823,49.541598837346,,73.7389139291131,7.30677293666777,66.4321409924453,75.227,79.9,3.778,13.1576496893522
1969,29.544,9.11,49.5858935987892,,74.7037845875055,7.27805987617034,67.4257247113352,74.547,82.1,3.902,12.9453898358868
1968,30.301,9.399,49.633720078603,,75.6509384558677,7.24703225934509,68.4039061965227,73.854,86.7,4.025,12.7349523652415
1967,31.076,9.689,49.6837498688533,1.04,76.4899144775596,7.2083416409604,69.2815728365992,73.146,94.0,4.144,12.5241342788485
1966,31.855,9.975,49.7342794286543,,77.0388343129662,7.15298984673781,69.8858444662284,72.427,103.8,4.259,12.3099525175971
1965,32.614,10.255,49.7838337093045,,77.1751881210755,7.07392399474956,70.1012641263259,71.696,115.5,4.364,12.0904286865584
1964,33.332,10.525,49.8317644078258,,77.4583261922406,7.01858776141428,70.4397384308264,70.955,126.9,4.457,11.8647988643731
1963,33.994,10.784,49.8784910275722,,77.3580855369004,6.94191546774206,70.4161700691584,70.2,135.6,4.536,11.6341820344408
1962,34.588,11.032,49.9247896782961,1.04,76.9632470613974,6.84538981863395,70.1178572427635,69.435,141.9,4.602,11.4008497868598
1961,35.108,11.27,49.9720369122393,,76.4829613766834,6.73264666920147,69.750314707482,68.66,148.4,4.655,11.168060891795
1960,35.556,11.498,50.0210623696973,,76.0589037142998,6.60586461090458,69.4530391033952,67.836,157.1,4.697,
