date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.4808804228738,,81.146021189895,5.17886172634649,75.9671594635485,50.779,80.9,,78.8340534591195
2017,35.993,10.262,50.5120393985058,1.03,81.8423039216598,5.1653325346524,76.6769713870074,50.326,83.6,4.704,76.8473867924528
2016,36.225,10.5,50.5443415669559,1.03,82.4867319606716,5.14675754114044,77.3399744195312,49.881,86.8,4.759,74.9141949685535
2015,36.438,10.769,50.5779908058796,1.03,83.0206847717815,5.12475250083784,77.8959322709436,49.444,90.0,4.813,73.0381855345912
2014,36.63,11.076,50.6128886006473,1.03,83.8721161599612,5.17253109583405,78.6995850641272,49.014,93.3,4.867,71.2191289308176
2013,36.812,11.417,50.6493490030065,1.03,84.6840342224977,5.2275248256257,79.4565093968721,48.593,96.7,4.92,69.4575628930818
2012,36.991,11.787,50.688382168476,1.03,85.4442947308702,5.28274521603164,80.1615495148385,48.172,100.1,4.974,67.7584528301887
2011,37.18,12.176,50.7313783118385,1.03,86.1635185048458,5.32441355626225,80.8391049485835,47.751,103.7,5.029,66.1278459119497
2010,37.395,12.58,50.7794401036695,1.03,86.8443018900958,5.34075895570406,81.5035429343918,47.33,107.2,5.088,64.5690251572327
2009,37.655,12.994,50.8328295315848,1.03,87.4967880696123,5.40854960019704,82.0882384694153,46.91,111.2,5.152,63.0790786163522
2008,37.965,13.407,50.8913233220277,1.03,88.0564818756413,5.45011290735036,82.606368968291,46.491,115.3,5.221,61.6527327044025
2007,38.325,13.806,50.9552637412793,1.03,88.4779007453097,5.4650738673622,83.0128268779475,46.071,119.4,5.296,60.2869088050314
2006,38.728,14.174,51.0248300791995,,88.7068197269791,5.45784222469584,83.2489775022833,45.652,123.3,5.376,58.9777232704403
2005,39.159,14.492,51.0999120488787,,88.705421854404,5.43090181167142,83.2745200427325,45.234,127.1,5.46,57.7185974842767
2004,39.599,14.743,51.1806715597619,,88.6655934965598,5.43799712988413,83.2275963666756,44.817,130.9,5.545,56.5109874213836
2003,40.026,14.92,51.2662579569221,,88.4482314812316,5.42663697684648,83.0215945043851,44.399,134.6,5.63,55.3446855345912
2002,40.419,15.021,51.3545307821896,1.03,88.0619075501258,5.39661093160909,82.6652966185167,43.983,138.1,5.713,54.1872295597484
2001,40.77,15.044,51.442515341606,,87.5045796863194,5.34761613211125,82.1569635542082,43.568,141.5,5.793,52.9969371069182
2000,41.069,14.989,51.5280412965081,,86.7721556200427,5.27935117528651,81.4928044447562,43.155,144.8,5.87,51.7442389937107
1999,41.315,14.858,51.610699043753,,87.2575619824672,5.27200197715988,81.9855600053073,42.741,147.6,5.943,50.4168962264151
1998,41.519,14.669,51.6905742469871,,87.6120825760071,5.25872726832918,82.3533553076779,42.342,150.1,6.014,49.0233144654088
1997,41.699,14.442,51.7657045548665,1.03,87.8355318107197,5.23761332950644,82.5979184812133,41.964,152.1,6.084,47.5807012578616
1996,41.864,14.196,51.8337552526828,,87.9366718491373,5.20640945003786,82.7302623990995,41.587,153.7,6.154,46.116751572327
1995,42.029,13.95,51.8926412765174,,87.9070770696591,5.16244971416473,82.7446273554944,41.21,154.8,6.225,44.6533396226415
1994,42.205,13.722,51.9398944540393,,88.8632495802446,5.15358353796884,83.7096660422757,40.835,155.4,6.298,43.1931855345912
1993,42.404,13.521,51.9755587064686,,89.7862859131802,5.14679017025884,84.6394957429213,40.461,155.6,6.374,41.7347264150943
1992,42.635,13.359,52.0034532096493,1.03,90.6025980131091,5.13851408645564,85.4640839266534,40.088,155.5,6.454,40.2906320754717
1991,42.906,13.247,52.0302766355152,,91.1955950678048,5.12392583612067,86.0716692316841,39.716,155.1,6.536,38.8754937106918
1990,43.224,13.193,52.0611498336293,1.03,91.4677402029724,5.09800760708777,86.3697325958846,39.345,154.6,6.622,37.4996132075472
1989,43.588,13.197,52.0991478948012,,92.1065205943613,5.08422745446082,87.0222931399004,38.976,154.0,6.71,36.1712232704403
1988,43.994,13.253,52.1429343995443,,92.4900625507152,5.0696042179096,87.4204583328056,38.608,153.6,6.801,34.889144654088
1987,44.434,13.353,52.1888192654681,1.03,92.6033239223825,5.05152378548505,87.5518001368975,38.346,153.5,6.892,33.6421194968553
1986,44.907,13.497,52.230358228776,,92.4916843506305,5.02771136110713,87.4639729895233,38.127,153.8,6.984,32.4128333333333
1985,45.422,13.684,52.2620224387399,,92.180735453661,4.99532152434018,87.1854139293208,37.91,154.5,7.078,31.1892955974843
1984,45.988,13.912,52.2814181546621,,92.5515706111817,4.99800075928718,87.5535698518946,37.693,155.8,7.176,29.9688899371069
1983,46.603,14.182,52.2894300017277,,92.7859562223955,5.00245911989859,87.7834971024969,37.476,157.8,7.278,28.7576446540881
1982,47.254,14.489,52.287789000582,1.03,92.824605726535,5.00627423235251,87.8183314941825,37.26,160.4,7.383,27.562858490566
1981,47.92,14.831,52.2807552197848,,92.5462320659774,5.00673041984607,87.5395016461313,37.044,163.6,7.488,26.3952547169811
1980,48.566,15.205,52.2713331371585,,91.8191787899966,5.00048112084204,86.8186976691546,36.829,167.8,7.59,25.2630503144654
1979,49.156,15.606,52.2614123189044,,91.8344445589795,5.01632706748995,86.8181174914895,36.614,172.7,7.682,24.1695534591195
1978,49.663,16.032,52.2499108536028,,91.6921833928687,5.03592075240721,86.6562626404615,36.4,178.9,7.763,23.1140566037736
1977,50.072,16.484,52.2344491145446,1.03,91.3824074076596,5.05605016883008,86.3263572388295,34.983,185.9,7.828,22.0958993710692
1976,50.378,16.963,52.2113587696302,,90.903985726167,5.07301122429395,85.8309745018731,33.594,194.0,7.877,21.1130503144654
1975,50.589,17.475,52.1770835266434,,90.2114025933808,5.08237724393524,85.1290253494455,32.229,202.8,7.91,20.1647893081761
1974,50.721,18.03,52.129051123986,,90.4915798301807,5.11521232084869,85.376367509332,31.321,211.9,7.929,19.2493238993711
1973,50.81,18.632,52.068102904162,,90.7740129581846,5.15126863037038,85.6227443278142,30.513,220.7,7.939,18.3695157232704
1972,50.889,19.282,51.9997575334118,1.03,90.9872183976706,5.18720627266802,85.8000121250026,29.719,229.1,7.942,17.5347106918239
1971,50.98,19.973,51.9334513726053,,91.0512446355009,5.21872098151063,85.8325236539903,28.934,237.0,7.941,16.7570566037736
1970,51.102,20.695,51.8774144611893,,90.8489417031502,5.24091103603267,85.6080306671175,28.163,244.4,7.936,16.0442264150943
1969,51.265,21.43,51.8378264695853,,90.6917741386601,5.25389504046699,85.4378790981931,27.404,251.4,7.927,15.400855345912
1968,51.468,22.167,51.8138249411114,,90.5460262810953,5.26297064591757,85.2830556351777,26.659,258.3,7.912,14.821179245283
1967,51.708,22.899,51.7987011043606,1.03,90.2405593808362,5.26332755738514,84.9772318234511,25.926,265.2,7.893,14.2898238993711
1966,51.989,23.626,51.7790243589752,,89.5009771750412,5.24912235805025,84.251854816991,25.206,272.1,7.868,13.7853081761006
1965,52.316,24.362,51.7441267631658,,88.1246965170055,5.2147669317363,82.9099295852692,24.5,279.2,7.841,13.2919622641509
1964,52.694,25.126,51.6884686905842,,87.7886942415897,5.19334840349599,82.5953458380937,23.007,286.5,7.811,12.803179245283
1963,53.112,25.934,51.6141100333535,,86.9744809760813,5.16177762381973,81.8127033522616,21.575,293.9,7.781,12.3227295597484
1962,53.558,26.792,51.5264047846108,1.03,85.7873467565754,5.12003760320928,80.6673091533661,20.21,301.6,7.75,11.8577547169811
1961,54.017,27.694,51.4356829197034,,84.5282568266583,5.0704769260475,79.4577799006108,18.911,309.5,7.72,11.4199779874214
1960,54.472,28.627,51.3515256914469,,83.3178804828405,5.01373489815246,78.3041455846881,17.679,317.5,7.691,
