date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.6671501672319,,45.7671852236209,22.1365160192804,23.6306692043405,77.037,5.0,,108.999596231494
2017,10.386,8.827,49.6765969192861,1.057,45.3158525990875,21.4748959430776,23.8409566560099,76.977,5.1,1.637,109.010373005191
2016,10.611,8.665,49.6857198008171,1.057,44.8475901094135,20.8413295845834,24.0062605248301,76.93,5.2,1.656,108.970476831379
2015,10.822,8.502,49.6941352575861,1.057,44.3447133124725,20.2754265102318,24.0692868022407,76.896,5.4,1.674,108.871188233032
2014,10.992,8.338,49.7013905391827,1.057,44.0573140769423,19.7451054237974,24.3122086531449,76.861,5.5,1.686,108.699307825418
2013,11.108,8.175,49.707747828937,1.057,43.8364922351481,19.278418292203,24.5580739429451,76.827,5.7,1.689,108.25868355402
2012,11.168,8.015,49.7148025177328,1.057,43.67286682422,18.8523350492155,24.8205317750045,76.781,5.8,1.683,105.751116374129
2011,11.179,7.862,49.7247805867058,1.057,43.5425297951792,18.4302549580282,25.112274837151,76.689,6.0,1.668,105.150241012994
2010,11.16,7.721,49.7390082321731,1.057,43.434221341507,17.9874392877399,25.446782053767,76.597,6.1,1.647,105.466290868095
2009,11.14,7.597,49.7587672827777,1.057,43.2516844344021,17.4738026492615,25.7778817851406,76.505,6.3,1.624,105.474530251785
2008,11.149,7.491,49.7831133378868,1.057,43.0286070680778,16.9587281787576,26.0698788893202,76.413,6.5,1.602,105.570941375423
2007,11.21,7.406,49.8084323538721,1.057,42.8233292923651,16.4520002792711,26.371329013094,76.32,6.7,1.586,105.70388951522
2006,11.335,7.34,49.8297390136664,,42.7865291401856,15.9754966924364,26.8110324477492,76.227,6.9,1.576,105.808963638072
2005,11.527,7.291,49.8439118610824,,42.9989680378714,15.5416645662146,27.4573034716567,76.134,7.2,1.573,105.802160841789
2004,11.784,7.256,49.8488271806907,,43.4035061465847,15.231724262232,28.1717818843527,76.041,7.4,1.576,105.726576449582
2003,12.085,7.228,49.8463779873606,,44.0972299751231,14.9736127611423,29.1236172139808,75.947,7.7,1.583,105.537434210526
2002,12.409,7.204,49.8418970426256,1.057,44.9309343755573,14.7551276738973,30.17580670166,75.785,7.9,1.59,105.269771595075
2001,12.743,7.182,49.8430496326091,,45.5819736366849,14.5574841015571,31.0244895351278,75.555,8.2,1.598,103.954068901304
2000,13.069,7.165,49.8551780747505,,45.8461601380333,14.3668383344818,31.4793218035515,75.323,8.5,1.603,103.598044692737
1999,13.365,7.156,49.880641494792,,46.1874021349403,14.2189911595202,31.9684109754201,75.089,8.9,1.603,103.209217877095
1998,13.628,7.16,49.91694678706,,46.2367591366081,14.0924556339419,32.1443035026662,74.855,9.3,1.6,102.781117318436
1997,13.861,7.174,49.9588797904953,1.057,46.1131815784411,13.9762727147388,32.1369088637023,74.618,9.7,1.593,102.325251396648
1996,14.074,7.195,49.9986242245266,,46.1195733406709,13.8562766353193,32.2632967053517,74.426,10.1,1.585,101.85561452514
1995,14.302,7.215,50.0304548593043,,46.4930998610985,13.7229428609408,32.7701570001577,74.277,10.6,1.58,101.380372439479
1994,14.59,7.225,50.0529733880115,,46.48084565499,13.6285710617381,32.8522745932519,74.127,11.1,1.584,100.91677839851
1993,14.965,7.216,50.0678819928463,,46.5693369178792,13.5216668953422,33.047670022537,73.977,11.6,1.6,100.459087523277
1992,15.426,7.185,50.0763478511298,1.057,46.7897061686643,13.4130685161649,33.3766376524994,73.827,12.1,1.628,99.9663594040968
1991,15.953,7.128,50.0808073502178,,47.1466808204117,13.3240460869835,33.8226347334282,73.676,12.7,1.668,99.3812104283054
1990,16.487,7.046,50.0832500863925,1.057,47.5968029799632,13.2671818795418,34.3296211004214,73.364,13.4,1.714,98.6684078212291
1989,16.948,6.942,50.0829543733334,,48.5084993207245,13.2437161890955,35.264783131629,72.888,14.0,1.759,97.8023463687151
1988,17.276,6.823,50.0800623687247,,49.8405545427688,13.2594231198795,36.5811314228893,72.408,14.7,1.797,96.8110893854749
1987,17.438,6.699,50.0786699647942,1.057,51.5012800071165,13.3013373283419,38.1999426787746,71.921,15.5,1.823,95.7787988826816
1986,17.434,6.573,50.0843390553751,,53.173792763008,13.3466925548586,39.8271002081494,71.43,16.3,1.839,94.8221508379888
1985,17.275,6.45,50.100882261775,,54.6081930815822,13.3771562161294,41.2310368654528,70.933,17.1,1.843,94.0215176908752
1984,16.987,6.329,50.1307810648516,,56.509482400726,13.303350234515,43.206132166211,70.433,18.0,1.838,93.4045530726257
1983,16.653,6.212,50.1723772938263,,58.2331941602141,13.2194012940136,45.0137928662006,69.925,18.9,1.831,92.935791433892
1982,16.366,6.102,50.2197214293231,1.057,59.9537114514194,13.1230915588328,46.8306198925866,69.414,19.9,1.831,92.5541620111732
1981,16.203,6.004,50.264721573356,,62.2020963450947,13.0166552730119,49.1854410720828,68.853,20.9,1.848,92.168426443203
1980,16.278,5.927,50.3015445419986,,65.3440764203542,12.8995607985097,52.4445156218445,68.106,22.0,1.896,91.7081843575419
1979,16.703,5.878,50.3285414443077,,68.1406921608082,12.7836440631831,55.3570480976251,67.346,23.2,1.99,91.1624860335196
1978,17.504,5.861,50.3477051317333,,71.523641280142,12.656514173479,58.8671271066629,66.579,24.5,2.135,90.5404469273743
1977,18.663,5.877,50.3614191041351,1.057,75.0075927430431,12.502081881157,62.5055108618861,65.802,25.9,2.328,89.8151024208566
1976,20.138,5.928,50.3733128076008,,77.6000449103271,12.2990537044607,65.3009912058664,65.018,27.3,2.562,88.9589199255121
1975,21.831,6.011,50.3865318165857,,78.6715898984725,12.0346310848297,66.6369588136429,64.224,28.9,2.824,87.9556983240224
1974,23.61,6.121,50.4005978794206,,79.2927311093286,11.7392324663908,67.5534986429378,63.423,30.5,3.094,86.7871973929236
1973,25.334,6.252,50.415375240949,,78.4522518728749,11.3958748050719,67.056377067803,62.614,32.2,3.351,85.4637243947858
1972,26.894,6.397,50.4352464232123,1.057,76.7337060689112,11.0186756816667,65.7150303872445,61.8,34.1,3.58,84.0348696461825
1971,28.235,6.556,50.4656979571806,,75.3394698937158,10.6287585278978,64.710711365818,60.976,36.0,3.774,82.5706052141527
1970,29.383,6.729,50.5106493115953,,75.009697048341,10.237371289385,64.772325758956,60.266,37.9,3.935,81.1223556797021
1969,30.42,6.922,50.5736626209456,,74.1399973150977,9.87858953132183,64.2614077837759,60.081,40.0,4.074,79.7149348230912
1968,31.437,7.138,50.6529527551334,,74.0738978284501,9.52572578446046,64.5481720439896,59.895,42.1,4.205,78.3384729981378
