date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.0289255016977,,43.8991986273938,19.7416199511892,24.1575786762046,66.81,2.4,,128.708333333333
2017,10.668,6.952,50.0600584054218,1.07,43.3732011186153,19.2340086266093,24.139192492006,66.836,2.5,1.337,127.670995670996
2016,10.852,6.89,50.0799443508698,1.07,42.8501497245386,18.7473677657046,24.102781958834,66.881,2.6,1.345,126.643614718615
2015,11.011,6.838,50.0776494482712,1.07,42.305302136078,18.2620142895491,24.0432878465289,66.946,2.7,1.354,125.647727272727
2014,11.143,6.799,50.0455177788365,1.07,41.9914801538353,17.7966696939189,24.1948104599164,67.031,2.9,1.364,124.706168831169
2013,11.255,6.772,49.9888098780801,1.07,41.7129703619184,17.3348646073756,24.3781057545427,67.137,3.0,1.376,123.795021645022
2012,11.353,6.758,49.9311041138421,1.07,41.5149338958792,16.8969463935726,24.6179875023065,67.261,3.2,1.39,122.840476190476
2011,11.441,6.753,49.9057196731615,1.07,41.4085629625532,16.4987321625899,24.9098307999633,67.406,3.4,1.406,121.735173160173
2010,11.517,6.756,49.9347034963514,1.07,41.3510145122706,16.1388187674924,25.2121957447782,67.551,3.6,1.424,120.412554112554
2009,11.577,6.763,50.0339225691178,1.07,41.8644069986319,15.953242545253,25.9111644533788,67.695,3.8,1.443,118.840151515152
2008,11.626,6.772,50.192590757123,1.07,42.46069222775,15.8211066634528,26.6395855642972,67.839,4.0,1.461,117.052272727273
2007,11.674,6.779,50.3784873292295,1.07,43.1183736074485,15.7284322695226,27.3899413379258,67.982,4.3,1.479,115.120454545455
2006,11.733,6.783,50.5423200970246,,43.7984826645247,15.6471782401549,28.1513044243698,68.125,4.6,1.498,113.150108225108
2005,11.821,6.787,50.6466651810867,,44.4317174053893,15.549084285636,28.8826331197533,68.268,4.9,1.52,111.218831168831
2004,11.957,6.791,50.6732910402708,,45.2238490626783,15.4047594066336,29.8190896560447,68.41,5.2,1.545,109.351515151515
2003,12.153,6.798,50.6327737977097,,46.0172946408364,15.2818315153973,30.7354631254391,68.553,5.5,1.576,107.528463203463
2002,12.421,6.811,50.5493526911833,1.07,46.8167247994157,15.2045816921664,31.6121431072493,68.694,5.9,1.614,105.732034632035
2001,12.765,6.828,50.4618473477362,,47.6343778538286,15.1784478862066,32.455929967622,68.769,6.2,1.66,103.925974025974
2000,13.2,6.847,50.4010440077686,,48.4308616099247,15.1824996695557,33.248361940369,68.648,6.6,1.716,102.087662337662
1999,13.731,6.865,50.3753041145771,,49.4463819149812,15.2185665802202,34.227815334761,68.527,7.0,1.783,100.221428571429
1998,14.347,6.88,50.376797878311,,50.4799882093633,15.2706961278026,35.2092920815607,68.405,7.5,1.861,98.3443722943723
1997,15.023,6.889,50.4013734444956,1.07,51.4766247121113,15.3346307800828,36.1419939320285,68.283,8.0,1.946,96.4491341991342
1996,15.735,6.895,50.4389610568039,,52.2775653665706,15.3996091168866,36.877956249684,68.161,8.5,2.036,94.5262987012987
1995,16.446,6.898,50.4790207051512,,52.6927038427416,15.4468322863839,37.2458715563576,68.038,9.0,2.124,92.5739177489178
1994,17.121,6.902,50.5250243697318,,53.3219043851263,15.3928151477521,37.9290892373741,67.915,9.5,2.206,90.5963203463203
1993,17.731,6.911,50.5788091603053,,53.8019078104513,15.3543425417686,38.4475652686827,67.792,10.0,2.278,88.6088744588745
1992,18.259,6.928,50.631768276689,1.07,54.1729733060655,15.337169310641,38.8358039954246,67.598,10.5,2.337,86.6462121212121
