date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.1914110672185,,53.8638588674884,29.8817085141749,23.9821503533135,73.792,3.4,,137.602887852888
2017,10.8,10.5,49.168304352435,1.058,52.39739062264,28.9504808072671,23.4469098153729,73.675,3.3,1.63,137.198109298109
2016,10.7,10.2,49.1487322377489,1.058,50.8927324433142,27.9476778874427,22.9450545558715,73.57,3.2,1.63,136.834136234136
2015,10.5,10.5,49.1348775962397,1.058,49.4973099565417,26.9020080809748,22.5953018755669,73.477,3.1,1.57,136.589288952208
2014,10.4,10.0,49.1294486391598,1.058,47.8949585570537,25.8681604525198,22.0267981045339,73.384,3.1,1.53,136.30337995338
2013,10.2,10.4,49.1304845998155,1.058,46.3159571973579,24.8127993231288,21.5031578742291,73.29,3.1,1.46,136.159958559959
2012,10.3,10.3,49.129691223254,1.058,44.8140731682181,23.7777833500778,21.0362898181403,73.197,3.2,1.45,136.097177262722
2011,10.4,10.2,49.115980751264,1.058,43.4416188213068,22.8169751674246,20.6246436538822,73.185,3.3,1.43,135.889280165717
2010,11.2,10.2,49.0818500312342,1.058,42.2105502683892,21.9576768425009,20.2528734258883,73.255,3.4,1.51,135.608622475401
2009,11.3,10.3,49.0228929683057,1.058,41.4363324050445,21.3149948890847,20.1213375159598,73.324,3.5,1.51,135.196582524272
2008,11.5,10.1,48.9431014092972,1.058,40.9308386512953,20.7795367927692,20.1513018585261,73.394,3.7,1.51,134.428517799353
2007,11.1,10.2,48.8535544412836,1.058,40.6659061648994,20.3424115500113,20.3234946148881,73.463,3.9,1.45,133.318161812298
2006,10.3,10.2,48.7710427689798,,40.5237291571367,19.9912382876946,20.5324908694421,73.533,4.1,1.34,132.542459546926
2005,10.0,10.6,48.7081071517177,,40.4004277234889,19.7171068633615,20.6833208601274,73.602,4.4,1.29,132.166916903961
2004,9.6,10.5,48.6697422242848,,40.7508542693037,19.6359507000067,21.114903569297,73.671,4.6,1.23,131.984222107171
2003,9.2,10.9,48.6521756582663,,41.2264480561204,19.6620373461838,21.5644107099366,73.74,4.8,1.18,131.926983305293
2002,9.1,10.6,48.6490496147973,1.058,41.7950902923865,19.7451950299973,22.0498952623891,73.809,5.0,1.17,131.96474699107
2001,8.9,10.5,48.6499830250533,,42.4796972178916,19.8049136686363,22.6747835492553,73.877,5.2,1.15,132.219554807817
2000,8.9,10.6,48.6474590193728,,43.3186186320904,19.7817349595671,23.5368836725233,73.988,5.5,1.15,132.717264138734
1999,8.7,10.7,48.639942699704,,44.0388080865634,19.841656014878,24.1971520716853,74.12,5.8,1.13,133.089944350977
1998,8.8,10.6,48.6296555617595,,44.6938474318267,19.8060464482142,24.8878009836126,74.251,6.3,1.16,133.225999741167
1997,8.8,10.9,48.6174674362804,1.058,45.3189734890735,19.6939258033658,25.6250476857077,74.382,7.0,1.17,133.352284198266
1996,8.8,10.9,48.6049392568449,,46.0026632304351,19.5502996134239,26.4523636170112,74.513,7.7,1.18,133.496065743497
1995,9.3,11.4,48.5933353220978,,46.7695568113795,19.3997986462342,27.3697581651453,74.643,8.5,1.28,133.651520641905
1994,10.3,11.4,48.5821589574098,,47.8677939830542,19.4741110835734,28.3936828994808,74.772,9.4,1.44,133.73349294681
1993,11.7,11.4,48.570843003954,,49.1716740242693,19.5490417787636,29.6226322455057,74.901,10.2,1.67,133.68519477158
1992,11.8,11.7,48.5600193412145,1.058,50.5293994168824,19.5857288918913,30.9436705249911,75.03,11.0,1.71,133.546305163712
1991,12.5,12.1,48.5507504113968,,51.5801506423415,19.5131003313755,32.067050310966,75.158,11.7,1.86,133.409835641258
1990,12.6,12.5,48.5436293266035,1.058,52.0568840722596,19.2807792438648,32.7761048283948,75.22,12.2,1.9,133.7304904879
1989,12.4,12.3,48.5390448317148,,52.9416609848398,19.1531418522013,33.7885191326386,75.249,12.5,1.87,134.089141969717
1988,12.8,12.1,48.5364766465733,,53.3146695649844,18.8358966774021,34.4787728875823,75.278,12.9,1.94,134.014184030025
1987,12.7,12.3,48.5348979885881,1.058,53.3726721331887,18.4312208368166,34.9414512963721,75.307,13.4,1.91,133.911194512748
1986,12.9,12.8,48.5329065030613,,53.5986701278827,18.1323542363238,35.4663158915589,75.336,13.9,1.92,133.845308657953
1985,13.1,12.7,48.5292529075193,,54.3629774434339,18.0747602787133,36.2882171647206,75.365,14.2,1.95,133.77918985376
1984,13.3,12.8,48.5238857326764,,55.1548031512147,18.5241552873804,36.6306478638343,75.394,14.4,1.97,133.689827876278
1983,13.3,13.0,48.5170898484658,,56.2954461431695,19.302334805777,36.9931113373925,75.423,14.6,1.97,133.607557913809
1982,13.7,12.7,48.5084798611979,1.058,57.5410354354941,20.2521920948653,37.2888433406289,75.452,15.0,2.0,133.490694965705
1981,14.0,12.7,48.4980835023954,,58.4335573168186,21.0655014418934,37.3680558749253,75.481,15.4,2.0,133.306470816617
1980,14.9,13.2,48.4858756581742,,58.6450543515412,21.5110288887479,37.1340254627933,75.167,,2.08,133.353086579526
1979,16.7,12.4,48.4721534238883,,58.5329960896387,21.7726734952302,36.7603225944085,74.167,,2.27,133.199702342436
1978,17.5,12.4,48.4573685573635,,57.8706838576859,21.6468487592813,36.2238350984046,73.142,,2.33,132.549475863854
1977,17.8,12.4,48.4418268970607,1.058,56.7899355278809,21.2234988314736,35.5664366964072,72.092,,2.34,131.833247055778
1976,18.5,12.4,48.425757031264,,55.4545199142186,20.6918182316428,34.7627016825758,71.018,,2.39,131.046188689013
1975,19.1,12.4,48.4099936841854,,53.9548718708512,20.1751254996184,33.7797463712328,69.917,,2.43,130.174970881325
1974,19.4,12.7,48.3928242203797,,52.9881242081376,19.7990568719566,33.189067336181,68.794,,2.46,129.266972951987
1973,18.3,12.5,48.3753428825165,,51.9746370596193,19.4254740770875,32.5491629825318,67.649,,2.31,128.410327423321
1972,16.6,12.1,48.3639032334314,1.058,51.0289420662777,19.0464099140383,31.9825321522394,66.484,,2.09,127.703274233208
1971,15.7,12.5,48.3671779279725,,50.3470884563024,18.6345620299366,31.7125264263659,65.295,,2.0,127.175035589491
1970,15.0,12.5,48.3905188472984,,50.033315131005,18.1707938467607,31.8625212842443,64.402,,1.92,127.579539277857
1969,14.5,12.2,48.4378378268124,,49.8710436461718,17.7581175264792,32.1129261196926,63.93,,1.87,128.077908632069
1968,13.9,11.7,48.5049821353978,,50.0267656845088,17.336006256061,32.6907594284478,63.456,,1.84,127.81604762521
1967,14.1,11.1,48.5791337776596,1.058,50.378919690454,16.9029439344767,33.4759757559774,62.978,,1.91,127.51260515077
1966,14.4,10.8,48.6430542192836,,50.7173123472748,16.45882822179,34.2584841254848,62.498,,2.02,127.100297657564
1965,15.1,10.7,48.6846746760775,,50.9012776992618,16.0024800046539,34.8987976946079,62.016,,2.18,126.5608645011
1964,15.9,10.5,48.6990385964676,,51.6093860070196,15.6660318311317,35.9433541758879,61.532,,2.34,125.893671541349
1963,15.4,10.4,48.6903249745572,,52.2973458830896,15.3490992179211,36.9482466651685,61.044,,2.31,125.154458392649
1962,13.9,10.8,48.6671686412871,1.058,52.9385255982849,15.042293564628,37.8962320336569,60.555,,2.12,124.558819723049
1961,13.7,9.9,48.643279916401,,53.527628289185,14.7335181219464,38.7941101672386,60.063,,2.11,124.066921185454
1960,13.4,9.8,48.6284404731591,,54.0639681154211,14.4137807100865,39.6501874053346,59.548,,2.09,
