date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.7257972740885,,56.9149595549447,31.0894803880863,25.8254791668584,87.874,4.2,,138.067301738509
2017,10.6,8.2,49.7315639143049,1.056,56.6199956477692,30.7907014399581,25.8292942078111,87.757,4.3,1.79,137.294117647059
2016,10.8,9.2,49.7326024373239,1.056,56.2981523942527,30.3569338219825,25.9412185722702,87.642,4.3,1.79,136.41366992141
2015,10.2,9.2,49.7268354165586,1.056,55.9833595296141,29.7108364229575,26.2725231066566,87.526,4.2,1.71,135.353250773994
2014,10.1,9.1,49.7135958676593,1.056,55.2868478735224,28.8374746094492,26.4493732640733,87.41,4.2,1.69,134.400452488688
2013,10.0,9.3,49.6935875442876,1.056,54.586553810253,27.8664928889337,26.7200609213193,87.292,4.1,1.67,133.720695403668
2012,10.4,9.4,49.6691177846584,1.056,53.9837957652867,26.9313543762752,27.0524413890115,87.142,4.1,1.73,133.164372469636
2011,10.6,9.4,49.6435595327227,1.056,53.4748426286742,26.1402533369774,27.3345892916968,86.957,4.1,1.75,131.288522271977
2010,11.4,9.8,49.6194045958765,1.056,52.9459492095595,25.4925675820974,27.4533816274621,86.795,4.1,1.87,130.749069054914
2009,11.4,9.9,49.5976486635306,1.055,52.577543723364,24.8658719216014,27.7116718017626,86.654,4.2,1.84,130.169573415037
2008,11.8,9.9,49.5774711421858,1.055,52.2258263131148,24.2959414906971,27.9298848224177,86.487,4.3,1.89,129.474923403252
2007,11.7,10.2,49.5593719835025,1.055,51.8914968164026,23.7831438156111,28.1083530007915,86.293,4.5,1.84,128.716427056328
2006,12.0,10.2,49.5432005588237,,51.5683909438166,23.3249492172332,28.2434417265834,86.098,4.6,1.85,128.146877209522
2005,11.9,10.1,49.5292344598125,,51.2416651387425,22.9171881841647,28.3244769545778,85.856,4.8,1.8,127.726419985859
2004,12.0,10.3,49.5176719132502,,50.9987050124539,22.6816440055487,28.3170610069052,85.566,5.0,1.78,127.375041244403
2003,12.0,10.7,49.5085361561457,,50.7584664658259,22.5276566182911,28.2308098475348,85.36,5.2,1.76,127.046288003771
2002,11.9,10.9,49.5006140189897,1.052,50.5052600517984,22.4327064161238,28.0725536356747,85.25,5.3,1.72,126.701178411501
2001,12.2,10.9,49.4919522162783,,50.2405937421235,22.359111147496,27.8814825946275,85.15,5.4,1.74,126.297030403017
2000,12.6,10.9,49.481370450641,,49.9772770936251,22.2772677685263,27.7000093250988,85.1,5.5,1.77,125.84529813811
1999,12.4,11.1,49.4683630693617,,49.7075220589187,22.3591607736923,27.3483612852263,85.086,5.6,1.73,125.425382983738
1998,12.5,11.0,49.4531901486309,,49.3966500367421,22.4402022629954,26.9564477737467,85.06,5.8,1.72,125.011053499882
1997,12.8,11.3,49.43656466352,1.056,49.065175015788,22.5122644039935,26.5529106117944,85.033,6.0,1.75,124.557883572944
1996,12.9,11.6,49.4191944709437,,48.729893632654,22.5707043304283,26.1591893022257,85.006,6.2,1.75,124.041338675465
1995,13.3,12.1,49.401982797056,,48.3810100587386,22.6078492581337,25.7731608006049,84.979,6.5,1.8,123.341338675465
1994,13.4,11.7,49.3852629672172,,48.2851945200735,22.7726725991997,25.5125219208738,84.952,6.9,1.81,122.700447796371
1993,13.0,12.1,49.3689248845782,,48.2774407233509,22.9248100318066,25.3526306915442,84.925,7.4,1.75,122.286778222955
