date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,52.6332145542447,,51.7489777057565,6.87057691577308,44.8784007899834,77.777,59.3,,41.3684210526316
2017,21.944,7.293,52.6847791547506,1.039,52.5285800143465,6.79748741445383,45.7310925998927,77.648,61.2,2.785,40.7289473684211
2016,22.432,7.545,52.7572953675371,1.039,53.1881216849651,6.72231775861188,46.4658039263533,77.528,63.2,2.846,40.0824849007765
2015,22.921,7.842,52.8575554869923,1.039,53.5462053301437,6.62572069832139,46.9204846318223,77.417,65.3,2.912,39.4302415875755
2014,23.402,8.157,53.0089339462138,1.039,54.2772780333722,6.53076289226121,47.746515141111,77.314,67.4,2.981,38.7703192407248
2013,23.871,8.462,53.1982483787994,1.039,54.8870558776184,6.41349367505901,48.4735622025594,77.222,69.6,3.054,38.105823986195
2012,24.331,8.735,53.3567321249205,1.039,55.472100890601,6.27772494703494,49.194375943566,77.138,71.8,3.131,37.4519413287317
2011,24.787,8.966,53.3848520097321,1.039,56.2169353318682,6.14108445706694,50.0758508748012,77.064,74.1,3.213,36.8280414150129
2010,25.255,9.156,53.2129484380988,1.039,57.2026763061587,6.01139825022265,51.191278055936,76.999,76.4,3.3,36.2466781708369
2009,25.756,9.314,52.7943272692131,1.039,59.2411345471333,5.88606438333766,53.3550701637957,76.944,78.7,3.397,35.712812769629
2008,26.304,9.458,52.1611149969193,1.039,61.6278448181989,5.78734272449192,55.840502093707,76.899,81.2,3.502,35.2182053494392
2007,26.903,9.601,51.4247829800759,1.039,64.2540617371816,5.71263681023882,58.5414249269428,76.853,83.7,3.617,34.747670405522
2006,27.553,9.744,50.7492253515809,,67.0471268910884,5.65560535853944,61.391521532549,76.807,86.4,3.739,34.277955133736
2005,28.234,9.881,50.2556023124221,,69.9991318314017,5.61184181968138,64.3872900117203,76.761,89.0,3.867,33.7900776531493
2004,28.917,10.001,49.9969543765609,,71.8875027845845,5.5633771441301,66.3241256404544,76.716,91.5,3.994,33.2874460742019
2003,29.58,10.094,49.9430650611672,,73.8555584545176,5.52160718454335,68.3339512699742,76.67,94.0,4.118,32.7713977566868
2002,30.217,10.158,50.0347414207434,1.039,75.8089723673681,5.47968742644636,70.3292849409217,76.624,96.5,4.24,32.2235547886109
2001,30.836,10.198,50.1720964940881,,77.4356355115754,5.43140425449511,72.0042312570803,76.578,99.1,4.359,31.6227351164797
2000,31.48,10.227,50.2746046765713,,78.5185811735321,5.3693595975779,73.1492215759542,76.532,101.3,4.484,30.9570319240725
1999,32.206,10.266,50.3232267530319,,80.3232022422703,5.34574344759363,74.9774587946767,76.485,103.4,4.622,30.1973684210526
