date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.9279330094104,,53.5767556333869,8.91144843012037,44.2639770351652,45.1312566986719,35.3612655916368,,98.13836364042
2017,20.4845637287761,6.6298142189365,50.9311285097736,1.07069900300767,54.0176623429981,8.71263068966126,44.8953122686587,44.7270353172155,36.8722774555035,2.51340654706302,96.8712264454453
2016,20.7869543354336,6.63512602276607,50.9351490940527,1.07071259719979,54.4945362669241,8.5260733051867,45.5505028293521,44.3277678165673,38.534434742834,2.54162629326316,95.6012442974214
2015,21.0979462910304,6.6526981083364,50.9406267848275,1.07075759000693,55.0186001353168,8.35432938605879,46.2402009012021,43.9299787727318,40.2297475064472,2.57259916104026,94.3236637988016
2014,21.4142344347662,6.68455592321071,50.9479431261168,1.07087201288208,55.6471927857696,8.22709541554003,46.9832239711428,43.5319846032163,42.0805665087528,2.60536815680887,93.0395095659666
2013,21.7399902819794,6.73164733123026,50.9568227007294,1.07101161577479,56.3363387790861,8.12415799301978,47.7617668634784,43.1435909274362,44.0637258142127,2.64089428028414,91.7476605614921
2012,22.07927264382,6.7972706286125,50.9664002174281,1.0711930574724,57.0690515243989,8.03857023393887,48.5652618497888,42.7590233392676,46.2102743592078,2.67954628854527,90.4544618860741
2011,22.4544715856168,6.87671676418503,50.9753673675136,1.0714097612779,57.81199528317,7.95852237712032,49.3722337217338,42.3785708834652,48.4907857813986,2.72359390587976,89.155454874309
2010,22.8516917551198,6.96962460708017,50.9828630157967,1.07200850464401,58.5393978859061,7.87447859790595,50.1674758954863,41.9998806600881,51.45671670833,2.77213199940731,87.8396345557743
2009,23.2488155315387,7.07161675374051,50.9883722038272,1.07217218450563,59.3620894704042,7.82834960926538,51.0162101853991,41.6138002597087,53.5092285903165,2.82388187588689,86.5204521234066
2008,23.6433359620674,7.18445512204348,50.992175928958,1.07278339531513,60.1845167740108,7.78068664950237,51.869154945397,41.2298644618401,56.4930141860007,2.87717224559422,85.2015996954989
2007,24.0224562699051,7.29716526593903,50.9942187310955,1.07299720371881,61.0111414636202,7.72883283293715,52.7350535675359,40.8498618022064,58.9398490164477,2.92941388564082,83.8794439927804
2006,24.3902496286575,7.41023621707326,50.9945951950436,,61.8545045215933,7.67014864020542,53.6295786304652,40.4775436614698,61.6894877076685,2.98163460344601,82.5602318761742
2005,24.7619402164772,7.51937557185253,50.9934507831288,,62.7204487665582,7.6019743951818,54.5608030396582,40.107634522046,64.5032468006305,3.03679611636387,81.2461083689585
