date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.87735030441,,43.0098747640929,13.5690698760321,29.2895974524061,55.5550920185359,15.7040314012222,,130.185452991291
2017,14.2287098362788,6.91741124689067,50.8893649072733,1.10226259851933,42.3799283887981,12.8604305772579,29.3306847321462,54.581614905368,16.3538150081253,1.87608644272142,129.338478726806
2016,14.6755993650544,6.89676504139603,50.9005178292246,1.10512131965223,41.7972482762815,12.2003323154269,29.3688329684517,53.5836815868044,17.091247209227,1.87578391580701,128.393981707491
2015,14.1693500390162,6.9072133848258,50.9113081767331,1.10604382510645,41.298332771732,11.6298806330453,29.4056119892609,52.5771022562816,17.9040772614267,1.87439867348472,127.457466065032
2014,14.4623931060396,6.94181256327575,50.9221167514374,1.10861176915679,41.0204356685813,11.1993777519179,29.5223220717959,51.5670600273284,18.7986166232697,1.87300725325876,126.541439265463
2013,14.3467306043246,6.94528453828162,50.9325573497737,1.11029619469429,40.8770028322499,10.8661637488666,29.6821844198236,50.5524919038507,19.7279192457409,1.87146357437046,125.620232311366
2012,14.435711038891,6.94411705264855,50.94141798313,1.11243804737579,40.8502101906134,10.6095563863477,29.8868707802386,49.5351130988039,20.7409514307579,1.86994786953963,124.707794962412
2011,14.3873881542582,6.94495174630243,50.9469585184407,1.11416894552229,40.8977197065545,10.3919717066471,30.1269775557709,48.5107739597268,21.8538626880905,1.86858697329125,123.805786171247
2010,14.4276654443939,6.9343040235707,50.9480100291425,1.11618836758456,40.9972588560318,10.1866703502851,30.4042973104185,47.4581711710385,23.0465008644847,1.86816875298857,122.922310297135
2009,14.6428298296563,6.92623638246488,50.9440179116565,1.11871817944033,41.2440378995419,10.0488553210924,30.7644732930147,46.3398823942407,24.2784609626326,1.86818117976711,122.047165804884
2008,14.7040384541066,6.92781675961179,50.93559314407,1.12083932394088,41.5434668322643,9.93655411072017,31.1486331980653,45.2224943836115,26.4315078820264,1.86891502486191,121.170636060244
2007,14.7302481285149,6.85534415669952,50.9241827316484,1.12281746716657,41.9537295416869,9.84134783360549,31.629315359919,44.1044815350883,27.226207451755,1.86998860132627,120.287812793517
2006,14.7762088546101,6.79108879673252,50.9119443423436,,42.5917686701811,9.75398573658965,32.3438465638059,42.9913253608253,28.8726122612491,1.87236633738063,119.402162486358
2005,15.0436949074442,6.60096541210564,50.9004965515669,,43.5036516652364,9.66542069298545,33.3504215644532,41.8659177778015,30.7448750917368,1.87475868917025,118.487083263108
2004,15.0142992799166,6.55498406724051,50.8903190101436,,44.6033172771911,9.6178648115168,34.5209977902683,40.7156304373667,33.7383809848008,1.87725234893502,117.546055300241
2003,15.1412347602581,6.55475106711659,50.8814029444913,,46.0379552189748,9.56712586204954,36.0498427685863,39.5696993697002,34.924315393793,1.88033642944056,116.600129259481
2002,15.4975041373162,6.57232118170193,50.8742076811394,1.11608915082118,47.6346615878901,9.50458602454246,37.7565172786402,38.4348226768603,37.1426293789851,1.8841585442773,115.626494300612
2001,15.9059866412715,6.59404409817816,50.8691431095058,,49.0146327987505,9.42249285555053,39.2463468741859,37.3122875642819,39.438071518938,1.88878559151516,114.610960648329
2000,16.4162290708317,6.61409491119332,50.8664906300365,,49.9329063716494,9.31460951006435,40.2701223990648,36.2710641712784,41.7039984177144,1.89527342236988,113.549852831405
