date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,55.5441470595875,,65.493062807698,4.06761960872567,61.4254431989724,72.143,85.3,,46.6657397504456
2017,33.725,9.542,55.4761934948114,1.03,66.0269852838638,4.12370184629229,61.9032834375715,71.646,88.2,4.599,44.9911229946524
2016,34.234,9.768,55.3884565344587,1.03,66.5461497872224,4.17756823617288,62.3685815510495,71.138,90.9,4.686,43.321889483066
2015,34.768,10.002,55.2798066020581,1.03,66.8427086768865,4.23029093333676,62.6124177435498,70.616,94.2,4.774,41.6601782531194
2014,35.326,10.245,55.1494155165454,1.03,67.5473929050231,4.33530498965403,63.2120879153691,70.083,97.5,4.863,40.0098395721925
2013,35.899,10.496,54.9973430247898,1.03,68.2855065779702,4.46582816762685,63.8196784103434,69.544,100.7,4.952,38.3747950089127
2012,36.476,10.753,54.8217546506903,1.03,69.1200661266542,4.61836949908075,64.5016966275734,69.0,104.2,5.04,36.7626024955437
2011,37.049,11.014,54.6243087932343,1.03,69.9785557421522,4.77750505963915,65.201050682513,67.488,108.1,5.126,35.1819251336898
2010,37.604,11.273,54.4064473739986,1.03,70.6168241196944,4.9251909777155,65.6916331419789,65.94,111.9,5.209,33.6413190730838
2009,38.132,11.526,54.1663662711058,1.03,71.3796112020347,5.08170763928886,66.2979035627458,64.358,116.1,5.288,32.1425668449198
2008,38.626,11.771,53.9048532884779,1.03,72.134605886458,5.23678406389161,66.8978218225664,62.745,120.5,5.363,30.6894830659537
2007,39.082,12.005,53.6286367298457,1.03,72.9849159482532,5.39341691140093,67.5914990368522,61.1,125.0,5.433,29.2936541889483
2006,39.493,12.232,53.3480179580723,,73.9790736149243,5.55516129461494,68.4239123203094,59.431,129.6,5.498,27.9677718360071
2005,39.859,12.455,53.0730714170404,,74.9659771842881,5.72236915513704,69.2436080291511,57.74,134.4,5.559,26.7213903743316
2004,40.182,12.677,52.8122641917347,,75.5455275555077,5.86882853589023,69.6766990196174,56.033,139.1,5.618,25.559679144385
2003,40.468,12.906,52.5677545254635,,76.2742495693672,6.02372523700849,70.2505243323587,54.307,143.7,5.675,24.48
2002,40.723,13.148,52.3354010097389,1.03,77.2202871555237,6.186710308851,71.0335768466727,52.573,148.1,5.731,23.4718003565062
2001,40.947,13.406,52.1055564526598,,78.3581246682253,6.35680321666158,72.0013214515637,50.832,152.5,5.785,22.5192869875223
2000,41.136,13.686,51.8695766933914,,79.4778340000059,6.52174556694804,72.9560884330579,49.092,156.8,5.834,21.6107308377897
1999,41.28,13.991,51.6253126262322,,80.8210407225755,6.70079381359989,74.1202469089756,47.35,160.9,5.878,20.7404634581105
1998,41.378,14.318,51.3769122786913,,82.4678103875822,6.88715584640466,75.5806545411776,45.616,164.6,5.914,19.9105882352941
1997,41.438,14.666,51.1252490870691,1.03,84.3625528814596,7.07915637103454,77.2833965104251,43.893,168.0,5.941,19.1251336898396
1996,41.47,15.031,50.875070757826,,86.2305367928172,7.27011483878887,78.9604219540284,42.187,170.6,5.96,18.3904812834225
1995,41.494,15.415,50.6302740917289,,87.7188872178178,7.44575526954208,80.2731319482757,40.494,172.6,5.971,17.7100891265597
1994,41.534,15.818,50.3895854510237,,88.6962926202939,7.58805666820271,81.1082359520912,38.831,174.2,5.978,17.0801426024955
1993,41.607,16.237,50.1544407386353,,89.1703910271875,7.71709307698284,81.4532979502047,37.792,175.6,5.981,16.4932976827094
1992,41.723,16.66,49.9390746955412,1.03,89.2196265240678,7.82996437848494,81.3896621455828,36.766,176.8,5.984,15.945311942959
1991,41.883,17.076,49.7571873469425,,89.1840034965035,7.92482517482517,81.2591783216783,35.748,178.2,5.985,15.4314795008913
