date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,47.1415731797934,,56.2094881058675,30.6581833878321,25.5513047180354,68.88,2.6,,30.3861053600184
2017,10.5,11.8,47.0044846516077,1.068,55.1231614681643,29.959222891701,25.1639385764633,68.717,2.8,1.6,30.3055900621118
2016,10.7,11.7,46.8775327438441,1.065,54.294371695363,29.4056256075724,24.8887460877906,68.563,3.0,1.6,30.2689210950081
2015,10.6,11.6,46.7734332829024,1.062,53.7337592138741,28.9358011965327,24.7979580173414,68.416,3.2,1.58,30.26011042098
2014,10.3,11.8,46.6983672839905,1.06,52.5543989137625,28.2902203808794,24.2641785328831,68.269,3.4,1.54,30.2402806533241
2013,10.3,11.6,46.6496041144202,1.057,51.4449339409525,27.6547142190692,23.7902197218833,68.122,3.6,1.52,30.3196917414309
2012,10.6,11.7,46.6187461408761,1.054,50.4063496756366,27.0502549990619,23.3560946765748,67.974,3.9,1.56,31.2030195800896
2011,11.1,11.5,46.5951294756877,1.056,49.42764611656,26.5026470452491,22.9249990713109,67.965,4.2,1.61,31.3149091766926
2010,11.9,11.9,46.5696721649902,1.058,48.4939530609423,26.0221356780557,22.4718173828866,68.094,4.6,1.72,31.4101203113942
2009,11.8,12.1,46.5388357507447,1.06,47.9021296780657,25.7083041485278,22.193825529538,68.223,5.0,1.7,31.4818353385232
2008,12.0,12.5,46.5057344147718,1.062,47.4901882055502,25.4734921604921,22.0166960450581,68.351,5.4,1.72,31.5425807973579
2007,11.8,13.0,46.4770753443255,1.064,47.2365418280139,25.2628596405297,21.9736821874842,68.479,5.9,1.69,31.6272705826846
2006,11.0,12.9,46.4633574260045,,47.062324130905,24.992984344989,22.0693397859161,68.607,6.5,1.58,31.7718801604152
2005,10.6,12.8,46.471139305868,,46.8684209955748,24.6079428300099,22.2604781655649,68.735,7.1,1.52,31.9597782495872
2004,10.3,13.0,46.5046898949082,,47.1261513211174,24.3178456122923,22.8083057088251,68.862,7.8,1.47,32.1431941495636
2003,9.5,13.2,46.559846864748,,47.4288787308416,23.8951331002958,23.5337456305458,68.989,8.5,1.37,32.3359282849729
2002,9.4,13.3,46.6160231482921,1.057,47.7410143451293,23.373145806623,24.3678685385063,69.116,9.2,1.36,32.5395140363293
2001,9.1,13.3,46.6486891579527,,48.0445974064479,22.8201225852759,25.224474821172,69.242,10.1,1.32,32.7462845010616
2000,9.4,13.2,46.6409741614497,,48.3695109594948,22.2817925183579,26.0877184411369,69.368,10.9,1.36,32.9555319650861
