date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.8510693723521,,72.7923631314568,6.93684253749162,65.8555205939651,23.799,54.4,,66.0576162790698
2017,26.773,9.843,48.6552371604754,1.027,73.4675212910668,6.95240856639636,66.5151127246705,23.625,58.1,3.018,65.3926162790698
2016,27.176,10.462,48.4380526286497,1.027,74.3195727387813,6.95254026699132,67.36703247179,23.459,61.7,3.041,64.766511627907
2015,27.579,11.235,48.2075798115645,1.027,75.5926413074769,6.93833667592838,68.6543046315485,23.3,62.9,3.065,64.1886046511628
2014,28.021,12.153,47.9632372682923,1.026,75.9954804584474,6.90065848370345,69.0948219747439,23.149,67.2,3.097,63.664011627907
2013,28.53,13.171,47.710570892024,1.026,76.556141636221,6.8358629383489,69.7202786978721,22.999,69.4,3.139,63.1883139534884
2012,29.111,14.226,47.4739294996224,1.026,77.2209514833163,6.74918350692192,70.4717679763944,22.849,72.6,3.195,62.7493023255814
2011,29.747,15.266,47.2830492458693,1.026,77.7919299467635,6.64659933330016,71.1453306134634,22.7,78.5,3.264,62.3274418604651
2010,30.39,16.233,47.1606559101312,1.026,78.1122563335709,6.53228423373243,71.5799720998384,22.48,88.7,3.342,61.9091279069767
2009,30.972,17.08,47.1159247329928,1.026,78.4778528655239,6.42675344139668,72.0510994241272,22.262,100.1,3.421,61.4806395348837
2008,31.442,17.773,47.1417632111305,1.026,78.8876015879236,6.31659652769495,72.5710050602286,22.045,108.0,3.496,61.0433139534884
2007,31.77,18.28,47.2238553456526,1.026,79.3788289861456,6.20259196878489,73.1762370173606,21.829,112.0,3.561,60.6193023255814
2006,31.957,18.566,47.3408326456551,,79.9404998636672,6.07853114899869,73.8619687146685,21.91,118.5,3.617,60.2379069767442
2005,32.022,18.586,47.4716541736409,,80.5695432930697,5.94335754759627,74.6261857454734,22.038,129.3,3.663,59.9173837209302
2004,32.008,18.308,47.6159203029952,,81.1958417785436,5.8060085170093,75.3898332615343,22.166,131.6,3.704,59.6677906976744
2003,31.979,17.753,47.7704253829698,,81.7603781632073,5.66125248791584,76.0991256752914,22.296,132.7,3.745,59.4652325581395
2002,31.998,16.965,47.9154195950362,1.026,82.3675630017502,5.51330186079306,76.8542611409571,22.425,132.1,3.792,59.2476162790698
2001,32.1,15.989,48.0263573294607,,83.2579709096826,5.36787770857251,77.8900932011101,22.555,130.3,3.848,58.9307558139535
2000,32.318,14.877,48.0870909221111,,84.6396676822046,5.22974479330223,79.4099228889024,22.686,126.3,3.915,58.455523255814
1999,32.669,13.687,48.0879786340477,,86.8627572608219,5.18534809275957,81.6774091680623,22.817,120.6,3.997,57.796976744186
1998,33.137,12.486,48.0313739256798,,89.3396709464877,5.14660560917408,84.1930653373137,22.949,114.3,4.09,56.971976744186
1997,33.704,11.341,47.933810524218,1.026,91.8907722030793,5.11064194235864,86.7801302607206,23.081,107.6,4.195,56.0131395348837
1996,34.361,10.307,47.820532074889,,94.0793470942739,5.07249946631197,89.006847627962,22.722,100.8,4.311,54.9713953488372
1995,35.083,9.433,47.7131876621107,,95.5950845930312,5.02788816035217,90.5671964326791,22.286,93.7,4.434,53.8861046511628
1994,35.837,8.742,47.6170696611585,,97.958947761015,5.02345748752969,92.9354902734853,21.857,86.4,4.563,52.7686046511628
1993,36.601,8.22,47.5278977499307,,99.787542902155,5.02222472289428,94.7653181792607,21.434,79.9,4.694,51.6108139534884
1992,37.364,7.852,47.4511387032221,1.027,101.250455544646,5.02271339800326,96.2277421466424,21.018,74.9,4.827,50.4065697674419
1991,38.132,7.641,47.3896413795878,,102.816462074459,5.02634584561047,97.7901162288489,20.607,71.8,4.962,49.1433720930233
1990,38.946,7.587,47.345222592267,1.027,104.854719589503,5.03107369260085,99.8236458969026,20.202,70.9,5.106,47.8151162790698
1989,39.87,7.686,47.3228486483372,,106.955027524648,5.0990576307032,101.855969893945,19.803,71.7,5.267,46.4248255813953
1988,40.935,7.916,47.3240248444636,,109.153054577203,5.16876468091893,103.984289896284,19.41,74.0,5.447,44.986511627907
1987,42.142,8.252,47.3469011559721,1.027,111.292339216112,5.23918252608584,106.053156690027,19.022,77.3,5.646,43.5251162790698
1986,43.455,8.672,47.3843938424459,,112.939175369983,5.30674223764247,107.63243313234,18.641,81.7,5.857,42.069476744186
1985,44.801,9.154,47.4305405556183,,113.731682783881,5.36652776206651,108.365155021814,18.266,86.6,6.069,40.6441860465116
1984,46.082,9.683,47.4872637876903,,114.150156512142,5.45239461991494,108.697761892227,17.897,92.3,6.265,39.2580813953488
1983,47.211,10.246,47.55394778811,,113.910593267597,5.52625191075072,108.384341356846,17.533,98.2,6.434,37.9136627906977
1982,48.129,10.831,47.6227826716544,1.027,113.172244091157,5.58408107037811,107.588163020779,17.176,104.1,6.567,36.6169186046512
1981,48.813,11.421,47.6833329497973,,112.320137921888,5.63029814440617,106.689839777482,16.824,109.9,6.662,35.3709302325581
1980,49.28,12.009,47.7244272367875,,111.643949049172,5.66104306626632,105.982905982906,16.478,115.4,6.721,34.1777906976744
1979,49.582,12.591,47.737350347342,,110.854079323266,5.72403814046674,105.1300411828,16.137,120.8,6.752,33.0415697674419
1978,49.799,13.174,47.7233910587191,,110.097597884488,5.77982773247327,104.317770152014,15.803,126.3,6.769,31.9648837209302
1977,49.992,13.758,47.6981811281477,1.028,109.283397227956,5.82247124741964,103.460925980537,15.474,132.1,6.783,30.9453488372093
1976,50.178,14.338,47.687169561018,,108.228599583219,5.85028189263848,102.37831769058,15.037,138.0,6.798,29.9766860465116
1975,50.347,14.909,47.7117970861955,,106.813601546044,5.86098018199951,100.952621364045,14.004,144.5,6.817,29.055988372093
1974,50.468,15.466,47.780182239395,,105.823358823355,5.90488160090354,99.918477222451,13.033,150.9,6.837,28.1830813953488
1973,50.499,16.008,47.890071637896,,104.678970513395,5.92863884889583,98.7503316644991,12.12,157.3,6.854,27.3580813953488
1972,50.419,16.529,48.0258796295283,1.028,103.41141232025,5.93314254941318,97.4782697708368,11.264,163.4,6.866,26.5720348837209
1971,50.234,17.027,48.1635392664968,,102.098013510315,5.91759072121775,96.1804227890971,10.458,168.8,6.871,25.8126162790698
1970,49.959,17.494,48.2816271730384,,100.802272251065,5.88550275882942,94.9167694922357,9.705,173.7,6.871,25.0728488372093
1969,49.62,17.927,48.3742856528769,,100.743535412612,5.95930929347357,94.7842261191383,9.001,178.0,6.867,24.3457558139535
1968,49.256,18.325,48.4440650614502,,100.744695035531,6.01681983614734,94.7278751993837,8.344,182.0,6.861,23.6340697674419
1967,48.901,18.69,48.4922484547573,1.027,100.734785615491,6.05270116345293,94.6820844520381,7.729,185.7,6.854,22.950988372093
1966,48.577,19.027,48.5240477307071,,100.589498769265,6.06535701780516,94.5241417514594,7.157,189.7,6.846,22.3154651162791
1965,48.299,19.339,48.5412850170489,,100.215787275512,6.05435911714625,94.1614281583654,6.494,193.9,6.837,21.739476744186
1964,48.07,19.631,48.5437664329535,,99.5671113977601,6.03475133501315,93.532360062747,5.876,197.9,6.826,21.228023255814
1963,47.882,19.91,48.5295805239043,,98.7959583370426,6.00629840648091,92.7896599305617,5.312,201.5,6.812,20.7727906976744
1962,47.727,20.184,48.5039482514886,1.027,97.8494866680604,5.95883173900023,91.8906549290602,4.8,205.2,6.794,20.3579069767442
1961,47.607,20.46,48.4785027348506,,96.6860481768969,5.89293386417667,90.7931143127202,4.335,208.3,6.774,19.9619186046512
1960,47.524,20.743,48.4606837048173,,95.2790670689255,5.80064980273845,89.4784172661871,3.913,211.3,6.752,
