date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.8965156896007,,55.5296171198769,32.0220372189657,23.4225760934753,76.9917327106284,3.5948586203905,,127.582277673283
2017,9.46041390261038,10.0813047438407,48.8671988653304,1.05532129171086,55.0235980069505,31.5340694560848,23.4026876723999,76.7699188658867,3.67723120701359,1.56148926129563,127.35128601435
2016,9.68927977056125,9.84134494746949,48.840795989376,1.05529437873068,54.5221071574391,31.0411325550541,23.3945221946313,76.5543043808563,3.75402140577661,1.56681376831778,127.146936026255
2015,9.66418339340233,10.0611971608726,48.8201665352891,1.05514919041658,54.0201687240925,30.5316460321824,23.4059610688691,76.3397020364095,3.81983250357583,1.54983040149152,126.761115302198
2014,9.7931363983538,9.49445531612893,48.8064676453758,1.05533022250111,53.4134087679008,29.9316263340633,23.4028756288751,76.1281387053755,3.88076318323059,1.55331104884004,126.33601308464
2013,9.73622468244069,9.66563509536034,48.7997241123306,1.05514619262458,52.7987269027493,29.3187542459176,23.4069839724964,75.9291216578059,3.97109390700442,1.53045745553952,125.900047303276
2012,10.0002663983006,9.7028320423329,48.7978156514427,1.05521308935467,52.1950191459802,28.7209909100142,23.4064636756157,75.7236934634696,4.01907731004429,1.55440971782965,125.538460838468
2011,10.1638498150003,9.42000901106737,48.7972943342077,1.05534682962398,51.623162596203,28.1818048195203,23.3759854062643,75.509022879626,4.09671772687586,1.5620923781408,125.275502142958
2010,10.3578554494594,9.42077739682353,48.7977639863296,1.05542317723312,51.0793866179314,27.7247762465577,23.2874775925352,75.2816981830028,4.22068238827689,1.58036766735378,125.53879128008
2009,10.3427158685409,9.41797677877405,48.7979288829524,1.05576407406528,50.7216313012543,27.32884363476,23.327575870812,75.0508906255318,4.30099480467259,1.56445020095759,125.307388744131
2008,10.5541788055857,9.40078300426692,48.7988681784401,1.05585964104235,50.4438874276519,27.0150958303223,23.3633877011924,74.823148025173,4.39392143132843,1.58115436258172,124.897045034497
2007,10.3832274888529,9.31978275537839,48.7983167915285,1.05583492736654,50.2100928145159,26.7420847047139,23.4012850021939,74.5966281749744,4.52859192198616,1.5407241961451,124.263166835637
2006,10.3799827392093,9.23183941853276,48.7942363641992,,49.9617293184666,26.44866717978,23.445321041683,74.3678319507545,4.65830397557932,1.52366546790424,123.622433197519
2005,10.3030432829345,9.43201861844142,48.7855615984965,,49.6537373825571,26.0919053252159,23.4941241076531,74.1299702142857,4.82580693845104,1.50034140705117,123.017299203006
2004,10.4197756183413,9.23096529162581,48.7713413181687,,49.4845602667956,25.7765193289309,23.6438525721938,73.8868795366417,5.00570979462499,1.49632002833901,122.376762723385
2003,10.3451744495476,9.75858092364481,48.7521948615419,,49.2835263187088,25.411918303706,23.8111170600911,73.6413861696234,5.18322583361826,1.47376791199482,121.688554559206
2002,10.3346907103368,9.55474412313143,48.7302060783426,1.05669184577427,49.0733459657216,25.0161107450847,24.0001037377048,73.3907787154966,5.39154344331985,1.4594467567483,121.051914113081
2001,10.3940426202902,9.47967255405937,48.7089203420434,,48.8830695202755,24.6229279299571,24.2058341323867,73.1472450926866,5.57684501820096,1.45674273759661,120.48437421622
2000,10.6280748778213,9.60272764797993,48.6912206909201,,48.7219198035801,24.2496569739887,24.4202991814608,72.9421663791117,5.80219910134268,1.47089341004761,119.998518021507
1999,10.4727684238331,9.74116757652117,48.6781374826837,,48.5898007422778,23.8763453919293,24.6610462792594,72.7537152632056,6.00666821367832,1.43133894315695,121.063383658828
1998,10.4740003452983,9.78036935982712,48.6685445792913,,48.5083528485858,23.5318058309835,24.9235860220703,72.5775174150931,6.24547893120219,1.41590685342328,120.749724994865
1997,10.5614296892047,9.71270928477927,48.6612699854065,1.05746506387955,48.4501934388283,23.2003045830774,25.1964066816847,72.4058954968194,6.51435780774967,1.41500108008111,120.494252021812
1996,10.5175031834368,9.81747861002198,48.6550113486598,,48.3836200659118,22.857007482593,25.4726863347985,72.2322751123822,6.88181054099178,1.39590121241269,120.205622623088
1995,10.4371937280455,9.84292055957195,48.6484909003852,,48.2948567062984,22.483741491746,25.7565256184424,72.0563338849661,7.3014748241682,1.38308285062157,119.894615845901
1994,10.5653557465021,9.82033855179213,48.6416594782253,,48.2684272643663,22.1870424878164,26.0260426584152,71.8785750721823,7.77138019142452,1.39782985074573,119.58621885468
1993,10.9344088686904,9.95011678193444,48.6346676261244,,48.2272910097032,21.8820036341941,26.288394849307,71.6961984885841,8.25372112371872,1.43514512874284,119.238886322037
1992,11.2000344024643,9.8228277607858,48.6267164808717,1.05726244346635,48.1795434755972,21.5610171678999,26.557851557972,71.5320082694295,8.73915525605528,1.46776959627832,118.751939507264
1991,11.3705520939354,9.97614855852632,48.6168522874798,,48.1318927491539,21.2152316988379,26.8483469176749,71.3830732988442,9.16521932202648,1.48890146087863,118.202363514442
