date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.4641176886154,,52.495860374209,24.9084000501872,27.4468925733506,72.1835105010589,8.7,,33.4968853034031
2017,12.078873845519,10.0763281093085,48.4410313286977,1.05799929998327,51.7419681293047,24.3892591794785,27.1985657603992,71.9910658774292,9.1,1.75988311276822,33.360654942256
2016,12.3333196176905,9.9723973433384,48.418695205951,1.0582399517892,50.993192708768,23.8837203605236,26.9395265351048,71.8055944841346,9.5,1.76862630724204,33.2291760040084
2015,12.4454426453848,10.1364572248902,48.3980970531088,1.05838831795464,50.2704317293174,23.3902910549701,26.6945611541914,71.6219247199629,10.0,1.7633779470059,33.0724733699196
2014,12.5299855822025,9.87203768759229,48.3798117988113,1.05854955627587,49.5836102333581,22.9485722351995,26.4393650416064,71.4432171619628,10.4,1.75774197391,32.9126126911633
2013,12.4483218614741,9.96259931883288,48.3637929822675,1.05864325778743,48.941538015793,22.5283762614063,26.2088247276976,71.2712652158374,10.9,1.72974601410143,32.7521772247331
2012,12.6259607620494,10.0667243991828,48.3507215077533,1.058786284207,48.3749972811303,22.1458632087882,26.016867325587,71.0991515759323,11.3,1.73954799502844,32.5977493394386
2011,12.5526881105647,9.98875908818973,48.3401540037484,1.05891553472024,47.9060540775239,21.8272576597419,25.85980986278,70.9245512049277,11.8,1.71347744951511,32.4617609953666
2010,12.7046026027517,10.1948150062529,48.3325843358905,1.05898355948277,47.5342150743656,21.5968203755276,25.7146941637732,70.7487588168112,12.3,1.72813610240112,32.3801421334673
2009,12.6749175451254,10.2078621051042,48.3271158594142,1.05887594158541,47.4571755700429,21.4687016524693,25.7671912115307,70.5551553888405,12.8,1.72111762480041,32.2558518488978
2008,12.7194537350196,10.3788593454832,48.3250594018635,1.05904370157366,47.5434406985023,21.4337397673946,25.8929641230072,70.3546551775139,13.5,1.72253637906317,32.1241918133328
2007,12.3471707683063,10.4016381563729,48.3244496373363,1.05913186554724,47.7471221423007,21.4432944047135,26.0929295492118,70.1429533649737,14.2,1.6646148508662,31.9939899179749
2006,12.059214373756,10.4749260738946,48.3241097683991,,47.9929832976168,21.4164433254501,26.3685954661628,69.9282515029246,15.0,1.61989585971096,31.8791608646916
2005,11.8522275535704,10.7744490604317,48.3229224571935,,48.2077500096104,21.2887074876939,26.7071489405007,69.7151611098742,15.8,1.58982300336446,31.7758596909948
2004,11.9140077805119,10.6344189528735,48.320544205557,,48.6080302293795,21.1893205912289,27.2031954570225,69.5012251642765,16.8,1.59830125478093,31.6793449619616
2003,11.721483959584,11.0087006961542,48.3173169287251,,48.9776338394209,20.9667990063266,27.7844422525692,69.2895252901018,17.9,1.5694046833979,31.5850106589473
2002,11.6269163552305,10.7570938799652,48.3135749404363,1.05935106158112,49.3205169908622,20.6568584976659,28.4206603930435,69.0793025783354,19.0,1.55554799713666,31.5026555964073
2001,11.5358481169899,10.7254506629466,48.3103881756343,,49.6559152289238,20.3361289049656,29.0572821309719,68.8780439120185,20.2,1.54271728004414,31.4448100632933
2000,11.676834970315,10.7763401092791,48.3085481035929,,49.9997920318773,20.0541096287799,29.6625852413093,68.7214382467052,21.5,1.55651478731109,31.4034660341895
1999,11.6267256455438,10.7752012397217,48.3076976764848,,50.5140903929327,19.8900294641857,30.3290492858213,68.5931355107761,22.7,1.54503888805981,31.397025769102
1998,11.8644158063189,10.6061213053929,48.3077132516882,,51.0482073336651,19.7774911447527,30.9627435157309,68.478467946867,24.0,1.57114355083594,31.3675907529496
1997,12.0380337088332,10.7115590508622,48.3079454007905,1.05875169196452,51.5585852681317,19.6829631953164,31.5538129255516,68.3709909271214,25.3,1.59275168180384,31.3291073244799
1996,12.2580603791348,10.8979247340065,48.3076265082088,,52.0127024891189,19.5408866021151,32.1358326946486,68.264199642865,26.4,1.6204298037296,31.3608125227098
1995,12.5115877339887,11.0956232148101,48.3064755970745,,52.3937951318148,19.3041271635799,32.7404288957615,68.1540600818806,27.5,1.65446759054165,31.3105292938351
1994,12.8413391692049,11.1332353444423,48.3053636900338,,52.6461747648795,19.0819408545214,33.2040191566297,68.0372084764992,28.4,1.69893844484892,31.2512562212355
1993,13.2050653781556,11.0107253892183,48.303141790785,,52.7739734542218,18.7805295678566,33.6246409524437,67.927442703703,29.1,1.74218336777409,31.1736356964892
1992,13.8016559778047,10.4540461245691,48.2989114074787,1.05753086109784,52.7860920398798,18.4193398926834,33.9901894703377,67.8295245348051,29.7,1.82024205986215,31.0613775097739
1991,14.3589905398861,10.3663780876717,48.2908539934415,,52.695862353369,18.0378210677907,34.2729556678436,67.7221057375582,30.2,1.89302463337509,30.937100832357
1990,14.8858584445444,10.2497443967013,48.2773643595322,1.05661975066359,52.5151005513612,17.6648385309364,34.455431864049,67.590511641657,30.8,1.95793551360395,30.7988419518738
1989,15.2563290691082,10.1108510492297,48.2569759450919,,52.5209549791736,17.3900227311561,34.7222137412231,67.445458877876,,2.00111094868312,30.6377141470096
1988,15.8708918410236,10.1396053004466,48.2314807033886,,52.5017741791801,17.1317062943254,34.9453844198923,67.2438441189604,,2.06213180798062,30.4578896542415
1987,16.2051449083877,10.1158960204975,48.2026461744622,1.05519548525333,52.4863562015049,16.9112629932626,35.1349823390646,66.9611964101388,,2.09206040056614,30.2731678959299
1986,16.3549471282447,10.1764232460917,48.1742115959442,,52.5214084786679,16.7600778899761,35.3101929805557,66.6778748126713,,2.09768608272492,30.0897251127323
1985,16.2402352217038,10.5130788943615,48.1489691049124,,52.6380178653485,16.697061755615,35.4843851122205,66.4163535746718,,2.09139539911205,29.9077504912186
1984,16.4276782741571,10.4828367566502,48.1280591716857,,53.1010293294674,16.8452290170602,35.7950598326196,66.1501484237882,,2.10679205510561,29.730498328653
1983,16.5848578960856,10.4676424238447,48.1106564791488,,53.7170364194362,17.1224358600919,36.1322070033643,65.8740844048907,,2.1315045384275,29.5567962557759
1982,16.4976233808634,10.2874536884498,48.0951770232587,1.05464560320989,54.4330709003672,17.4607906921303,36.5048756639963,65.5884275237991,,2.14142193691124,29.3901876847782
1981,16.4812079910444,10.4014599448793,48.0801979521498,,55.1457782787495,17.7393020329906,36.9281718943893,65.2869982809943,,2.13331474825506,29.2159207653888
1980,16.6559332680589,10.5419539762702,48.0644154836858,,55.7593011277062,17.8661882274259,37.4001303827578,64.9540215966816,,2.1675868495972,29.0224097912162
1979,16.735603342479,10.4034823896395,48.04729562545,,56.37151235878,17.9110302194653,37.9461850197036,64.6475191456855,,2.19383628728483,28.8238534095626
1978,16.8681019386822,10.4683492407179,48.0292793146761,,56.8554736580417,17.7931177617583,38.5231684935017,64.2949574773783,,2.21994692153977,28.6314721402848
1977,16.9429479905247,10.361596645887,48.0102302656618,1.0551897965803,57.2133769970809,17.5453932614041,39.0998928558693,63.9046072608756,,2.25519383529153,28.4400489950388
1976,17.1276004064108,10.4504406497912,47.9900611483085,,57.4667408537319,17.2427357799073,39.6251572995594,63.5181352561589,,2.30942964384264,28.2463646435057
1975,17.2245361598374,10.4248594191843,47.9686638008768,,57.6276271828163,16.9347588915683,40.0653286870174,63.1353582244114,,2.34771669417158,28.0448743955825
1974,17.4702678386201,10.2873890251345,47.9456498636895,,58.0158924469816,16.7051858498421,40.6593372351214,62.7274033706984,,2.40263902972789,27.8399459411152
1973,17.4141094209096,10.3334267545874,47.9215403996419,,58.3475997341275,16.4691568558886,41.2120464371659,62.2861602448355,,2.41602120519823,27.628717986147
1972,17.67773779809,10.2446133127892,47.8960432216776,1.05530487707571,58.6300541751792,16.2223736935231,41.7346396310404,61.8352490812396,,2.47987309456722,27.4099827164243
1971,18.0237807110613,10.2879605058092,47.868976366529,,58.8885484329843,15.9522446113827,42.2612770656468,61.3717819981696,,2.54287988920483,27.1851292296453
1970,18.1251400938609,10.2471527311975,47.840294770178,,59.1339951349808,15.6510154235162,42.8071088610731,60.8989407795888,,2.56261831195085,26.9795441536074
1969,18.5424680687427,10.3614979764178,47.8101268818019,,59.3345987844575,15.3921203110222,43.2698934537517,60.4108515286852,,2.60928733100766,26.7737726689048
1968,18.9656594097587,10.2250437229643,47.7783481451608,,59.4947389743615,15.1258859135253,43.7004046940355,59.9127035944729,,2.66329545541542,26.547640299191
1967,19.3647377190764,10.0254573264709,47.7434449693172,1.055646379136,59.5877886905515,14.8561017666912,44.0706406653991,59.3852349265793,,2.71459978737146,26.3163505041492
1966,19.5165320825338,10.0079332626671,47.7043620952335,,59.5772144283935,14.5805051221066,44.3542152861976,58.8387969838018,,2.70880604041807,26.075663672242
1965,20.0144615771279,10.0858283841895,47.6610074128106,,59.4332696904607,14.2957962396197,44.528716937048,58.2788181813847,,2.74131108018598,25.828228589807
1964,20.7126131460869,9.97863988681735,47.6146035396011,,59.3904986265935,14.0817249656246,44.7289439073466,57.716208550168,,2.78784639417654,25.5458607945529
1963,21.024423874214,10.236329893035,47.563131307469,,59.283163387839,13.8804551884407,44.8644589520211,57.1614366134197,,2.79775862430727,25.2551123799054
1962,21.3326098208238,10.3281006920314,47.5083276072885,1.05627060453509,59.0587235883861,13.6800595424625,44.8863424842919,56.6049048773321,,2.80285531106528,24.9617993177037
1961,21.7870812309213,10.191907629763,47.4519863679585,,58.6115893210061,13.4673381340621,44.6945529100261,56.0736621206602,,2.82246606390981,24.6708772350989
1960,22.1033146932436,10.3498775331123,47.3956994273861,,57.8988529528165,13.2350766558054,44.2522736155694,55.5408305508582,,2.8349657132872,
