date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.4157595188664,,61.2671463231552,32.3092676932914,28.9578786298638,80.444,4.0,,122.338395739199
2017,11.4,9.0,48.4315529226944,1.049,60.716987788684,31.6114191042705,29.1055686844134,80.18,4.1,1.92,122.115405252835
2016,11.7,8.9,48.4456541522577,1.049,60.0759532638837,30.8692468194251,29.2067064444586,79.917,4.1,1.92,122.105587096777
2015,12.0,8.9,48.4549423570847,1.048,59.3207255978095,30.0815293786899,29.2391962191196,79.655,4.1,1.96,121.619058746667
2014,12.4,8.5,48.458673807571,1.048,58.3809893423292,29.1988918410604,29.1820975012688,79.394,4.1,2.01,121.112689539524
2013,12.4,8.7,48.4578835465962,1.047,57.3243510783714,28.2692787605302,29.0550723178412,79.135,4.2,1.99,120.53300011079
2012,12.6,8.7,48.4534445036252,1.047,56.2593734180805,27.3718622408978,28.8875111771827,78.878,4.2,2.01,119.914109283287
2011,12.7,8.4,48.4468651049934,1.047,55.3352475317806,26.6171359914119,28.7181115403687,78.622,4.2,2.01,119.335121151416
2010,12.9,8.5,48.439510565719,1.047,54.6309059178848,26.0584490612762,28.5724568566086,78.369,4.3,2.03,118.759339991649
2009,12.8,8.5,48.4311652214689,1.047,54.1689221643629,25.6617844671816,28.5071376971813,78.117,4.3,2.0,118.174073061316
2008,12.9,8.5,48.421969114636,1.047,53.9367071883976,25.4758151922117,28.460891996186,77.868,4.3,2.01,117.567641210864
2007,12.8,8.3,48.4141316841042,1.047,53.8629681743731,25.4283474842174,28.4346206901558,77.621,4.4,1.98,116.912441834144
2006,13.1,8.3,48.4105005641133,,53.8319053696567,25.404277527044,28.4276278426126,77.377,4.5,2.0,116.191340641695
2005,12.8,8.5,48.4130923286025,,53.76490720212,25.3280004902615,28.4369067118585,77.13,4.6,1.94,115.384063944828
2004,12.8,8.3,48.4230388765675,,53.8212269776174,25.2630468856135,28.5581800920039,76.883,4.7,1.92,114.515476452475
2003,12.8,9.1,48.4396984637302,,53.8725777971982,25.1690759777187,28.7035018194795,76.632,4.9,1.89,113.613134004426
2002,12.9,8.8,48.4609897150722,1.049,53.8977879576279,25.0394740331442,28.8583139244837,76.38,5.1,1.88,112.872521320344
2001,13.1,8.8,48.4837092660082,,53.8696747007171,24.8796896136102,28.9899850871069,76.127,5.2,1.9,112.054654271399
2000,13.3,8.9,48.5052958995641,,53.7619235066963,24.6901197112777,29.0718037954186,75.871,5.4,1.89,111.242096161892
1999,12.9,9.1,48.524967838431,,53.7490108700602,24.472515708156,29.2764951619042,75.614,5.5,1.81,110.482966936778
1998,12.8,9.1,48.5431662262041,,53.6942835989939,24.2143845475599,29.479899051434,75.417,5.6,1.78,109.916039861061
1997,12.7,9.1,48.5600720720139,1.053,53.5816539580189,23.9158744891697,29.6657794688492,75.25,5.8,1.77,109.511637480926
1996,12.8,9.1,48.5763105616583,,53.406245484699,23.5839579745696,29.8222875101294,75.082,6.1,1.75,109.124924292091
1995,12.8,9.1,48.5923253682012,,53.1854179851388,23.2233521637676,29.9620658213712,74.912,6.5,1.74,108.739215548354
