date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.9313798350851,,68.3212000006354,5.99881181764896,62.3223881829864,89.37,44.8,,8.22476423332169
2017,32.161,6.998,50.9409573365517,1.03,67.8042576361545,6.0151402484366,61.789117387718,88.976,46.0,4.008,8.01343967089688
2016,32.604,7.201,50.9396966554807,1.03,67.20863010995,6.02930166827807,61.1793284416719,88.559,48.1,4.039,7.79242053789731
2015,32.927,7.449,50.9234529108842,1.03,66.5541589240987,6.04027189988721,60.5138870242115,88.118,51.0,4.064,7.55883882485349
2014,33.132,7.749,50.8903010455988,1.03,67.1241480997812,6.21210696371318,60.9120411360681,87.651,53.5,4.083,7.31090154073039
2013,33.242,8.096,50.8398685796365,1.03,67.8333259441526,6.39625959669851,61.4370663474541,87.156,55.7,4.098,7.0519307641557
2012,33.281,8.481,50.7721710921502,1.03,68.7330091142029,6.59133056175159,62.1416785524513,86.634,58.1,4.113,6.79039857181666
2011,33.265,8.893,50.6894989935469,1.03,69.8183104810175,6.79339772706654,63.024912753951,86.092,60.4,4.129,6.53795552450809
2010,33.206,9.323,50.5937274112056,1.03,71.0130491504311,6.99745292545042,64.0155962249807,85.533,62.8,4.146,6.30317848410758
2009,33.11,9.76,50.4848861481588,1.03,72.1924429401151,7.27861993880248,64.9138230013126,84.955,65.4,4.164,6.08890441262079
2008,32.99,10.189,50.3634416787726,1.03,73.5627020892124,7.56500857789771,65.9976935113147,84.359,67.9,4.182,5.89335196181162
2007,32.863,10.595,50.2369674683291,1.03,75.1249597143914,7.8547125540065,67.2702471603849,83.742,70.5,4.201,5.71496487755656
2006,32.751,10.96,50.1160722276918,,76.8661414011998,8.14177962842271,68.7243617727771,83.107,73.0,4.223,5.55032405790352
2005,32.678,11.263,50.0085577649132,,78.7441432987769,8.41719636739914,70.3269469313778,82.452,75.0,4.251,5.39662746924361
2004,32.668,11.487,49.921331848118,,80.1912659221892,8.70918795171101,71.4820779704782,81.778,77.3,4.286,5.25398765863314
2003,32.728,11.629,49.8540849398385,,81.6910811279564,8.99044986661748,72.7006312613389,81.083,79.4,4.332,5.12264912484961
2002,32.865,11.693,49.7993495354379,1.03,83.1918493871399,9.25276569120951,73.9390836959304,80.368,81.3,4.388,4.99986416734583
2001,33.08,11.688,49.746345015294,,84.6371404501143,9.49103088335011,75.1461095667642,79.633,83.1,4.455,4.8822253269686
2000,33.377,11.624,49.6844163636201,,85.9736987927364,9.69565572852164,76.2780430642148,78.879,84.7,4.533,4.76718283075251
1999,33.751,11.52,49.6098604070862,,87.1717222173658,9.89672440276234,77.2749978146034,78.102,86.0,4.62,4.65344044708348
1998,34.183,11.398,49.5257084887027,,88.2413224470096,10.0736033463379,78.1677191006717,77.306,87.1,4.716,4.54092831916793
