date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,47.7087624964214,,53.0472867428444,22.7512174871852,30.2960692556592,58.632,9.8,,65.2752020714511
2017,13.718,12.918,47.7339541794232,1.065,51.9817948182743,22.3011030083231,29.6806918099512,58.231,10.0,2.062,65.2227859617201
2016,13.925,12.992,47.7510031859387,1.069,50.9402827995528,21.8834568457147,29.0568259538381,57.837,10.2,2.059,65.2140557752196
2015,14.078,13.062,47.7550208986676,1.073,49.9593831389709,21.5175570306619,28.4418261083089,57.448,10.5,2.05,65.1750586094685
2014,14.165,13.121,47.7435190852747,1.077,49.1533811020161,21.2796809860431,27.873700115973,57.067,10.9,2.034,65.0725007872914
2013,14.186,13.158,47.7185892462792,1.081,48.501668895589,21.1038997352456,27.3977691603434,56.685,11.4,2.012,65.0419538822212
2012,14.142,13.168,47.6878135536627,1.085,48.0144788376601,20.9931237826301,27.02135505503,56.303,12.1,1.984,65.238006928164
2011,14.036,13.146,47.6608498088219,1.09,47.6806713570874,20.9579717757027,26.7226995813847,55.919,13.0,1.95,65.7203016200707
2010,13.861,13.088,47.6448953622945,1.095,47.4836185354363,21.0029382255984,26.4806803098379,55.535,14.2,1.911,66.2496063543161
2009,13.615,12.992,47.6425722601584,1.1,47.8176810674256,21.1935412241633,26.6241398432623,55.15,15.6,1.866,66.7346478183281
2008,13.309,12.863,47.6505124258687,1.105,48.3985579868886,21.4823166760433,26.9162413108453,54.765,17.2,1.816,67.3300150460128
2007,12.968,12.711,47.662484460721,1.11,49.1215132200855,21.7705793751755,27.3509338449099,54.379,19.1,1.763,67.5348682599111
2006,12.62,12.542,47.6692964354198,,49.8305868779449,21.9044313066955,27.9261555712495,53.992,21.3,1.711,67.8880821582281
2005,12.3,12.369,47.6649569921129,,50.3971441080078,21.7832290725673,28.6139150354404,53.605,23.7,1.664,68.2751145946324
2004,12.043,12.204,47.6487471872263,,50.6793604412486,21.6097776952466,29.069582746002,53.218,26.3,1.625,68.7102417859267
2003,11.875,12.054,47.6233389086397,,50.8270853466583,21.200216484914,29.6268688617443,52.83,29.0,1.599,69.13705867945
2002,11.815,11.921,47.589485961612,1.11,50.886485350777,20.6234087958674,30.2630765549096,52.441,31.7,1.586,69.6055670247384
2001,11.875,11.801,47.5489651920732,,50.9339249814546,20.0327557094081,30.9011692720465,52.398,34.3,1.589,70.232915777319
2000,12.063,11.68,47.504621538202,,50.9536394319557,19.5225989997468,31.4310404322089,52.638,36.8,1.608,71.3308898141992
1999,12.376,11.537,47.4545017201253,,51.1234862444685,19.1781324874394,31.9453537570292,52.879,39.0,1.643,72.7315861296756
1998,12.788,11.357,47.401186695097,,51.4266791844326,18.899471420563,32.5272077638695,53.12,41.0,1.692,74.2434479862836
1997,13.269,11.132,47.3558029181272,1.111,51.6813957478147,18.5562710876227,33.125124660192,53.36,42.7,1.749,76.1033101228174
1996,13.8,10.868,47.3311026410739,,51.7047665238232,18.0726529443235,33.6321135794997,53.6,44.1,1.812,78.5839077644424
1995,14.366,10.574,47.3333344050904,,51.387350890941,17.4413030102795,33.9460478806614,53.841,45.2,1.879,81.4885405367578
1994,14.957,10.27,47.3659862440128,,52.4441110088388,16.9873847860899,35.456726222749,54.08,46.1,1.946,84.6089086392106
1993,15.562,9.98,47.4216128612386,,52.9787098840114,16.3669246267346,36.6117852572769,54.32,46.7,2.013,85.921480807586
1992,16.162,9.723,47.4827981164892,1.076,52.9261181869273,15.6187977217507,37.3073204651766,54.559,47.2,2.076,85.2636551313902
1991,16.737,9.51,47.5272827301565,,52.475235662034,14.8513824423469,37.6238532196871,54.799,47.5,2.132,84.6058294551944
1990,17.261,9.352,47.5405145645424,1.076,51.9066466908266,14.1423126758852,37.7643340149414,55.038,47.9,2.18,84.0127366247944
1989,17.715,9.254,47.5183126037166,,51.6038610962329,13.7638113285798,37.8400497676531,55.277,48.2,2.217,84.0354805976416
1988,18.09,9.204,47.4661854512881,,51.2984980683043,13.5425243076577,37.7559737606466,55.208,48.5,2.243,83.8150390146611
1987,18.386,9.189,47.3925273712078,1.076,51.0858368852652,13.446145790268,37.6396910949973,54.87,49.0,2.26,82.9892578466706
1986,18.598,9.2,47.3111973592207,,50.9539020348049,13.4136046192622,37.5402974155427,54.532,49.6,2.269,82.3069386612548
1985,18.728,9.218,47.2340156892875,,50.8539137619731,13.4027045590056,37.4512092029674,54.194,50.5,2.273,81.5791315301445
1984,18.779,9.224,47.1630773711805,,51.0706530336368,13.5313181863939,37.5393348472429,53.855,51.8,2.275,80.86707022639
1983,18.771,9.207,47.0969684296598,,51.4490083558187,13.7210574233279,37.7279509324909,53.516,53.2,2.277,80.1795024318556
1982,18.726,9.161,47.0400525767132,1.06,51.972196193603,13.931810555959,38.0403856376439,53.176,55.0,2.284,79.4779383463382
1981,18.66,9.088,46.9955748393028,,52.6073341638172,14.0998742077852,38.507459956032,52.836,57.1,2.296,78.8078659155324
1980,18.588,8.999,46.9663860471874,,53.2996289405763,14.1744425358861,39.1251864046902,52.497,59.3,2.314,78.1640365303195
1979,18.519,8.909,46.954673979474,,54.0935566743165,14.1249444348986,39.9686122394179,52.156,61.4,2.341,77.5079603904965
1978,18.462,8.841,46.9599438363343,,54.9369710891424,13.968355188523,40.9686159006194,51.747,63.8,2.373,76.9393610693166
1977,18.427,8.809,46.9773916530739,1.06,55.7854514254114,13.729187511224,42.0562639141874,51.279,66.3,2.409,76.4914797578642
1976,18.432,8.819,47.000199175869,,56.6045547459576,13.4703935742508,43.1341611717067,50.812,69.0,2.448,75.9718674551244
1975,18.493,8.871,47.0228605407295,,57.3832156451591,13.2349457033017,44.1482699418574,50.344,71.6,2.489,75.4260121067917
1974,18.624,8.955,47.0440104714051,,58.4597981623181,13.1031941896223,45.3566039726958,49.876,,2.533,74.8714090765947
1973,18.826,9.06,47.0636236647085,,59.5228865050594,12.9956348822877,46.5272516227717,49.409,,2.577,74.2240806186361
1972,19.101,9.176,47.0780993992354,1.06,60.5551873379291,12.8930935269377,47.6620938109913,48.942,,2.622,73.5732530879317
1971,19.448,9.304,47.0827489864256,,61.573359290645,12.7629788499141,48.8103804407309,48.474,,2.665,72.8331992022114
1970,19.874,9.449,47.074601026024,,62.601978977264,12.5858959882513,50.0160829890127,48.006,,2.707,72.0791490255082
1969,20.386,9.62,47.0511971960552,,63.3999098963808,12.6096611102768,50.790248786104,47.522,,2.747,71.3863326218552
1968,20.969,9.825,47.0126694990437,,63.9986076164032,12.6115387704993,51.3870688459039,47.025,,2.785,70.721508800168
1967,21.6,10.068,46.9629554273102,1.06,64.3459067374519,12.5977878248312,51.7481189126207,46.527,,2.821,70.0829280240736
1966,22.253,10.348,46.9081281818965,,64.3530373014729,12.5842543931612,51.7687829083117,46.03,,2.854,69.3988593022849
1965,22.898,10.66,46.8529875258691,,63.9870469668718,12.5818293733945,51.4052175934773,45.534,,2.882,68.6098183981245
1964,23.507,10.997,46.7991382165402,,63.5400680138732,12.8015749335749,50.7384930802983,45.039,,2.906,67.7123062388467
1963,24.053,11.347,46.7458457845125,,62.7734573609552,13.0519479411574,49.7215094197978,44.544,,2.924,66.7640575247559
1962,24.511,11.701,46.6930506253355,1.06,61.7516303994817,13.3150545631613,48.4365758363204,44.051,,2.937,65.7878162286994
1961,24.858,12.054,46.6407935681403,,60.5783526194138,13.5620116605309,47.0163409588829,43.559,,2.943,64.7958291052871
1960,25.078,12.402,46.5884626785677,,59.3543299652232,13.7699695593715,45.5843604058517,43.069,,2.942,
