date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.3396326299471,,54.0428350491469,33.0606145231576,20.9822205259893,77.312,3.7,,237.3709697733
2017,9.5,11.3,49.2844291256562,1.052,53.4264177539329,32.7895079698411,20.6369097840917,77.261,3.7,1.57,236.595494618731
2016,9.6,11.1,49.2303516434396,1.052,52.9145728699203,32.5535393490187,20.3610335209017,77.224,3.8,1.59,235.712929356538
2015,9.0,11.3,49.1818673658713,1.052,52.5216312802673,32.3629413335533,20.158689946714,77.2,3.9,1.5,234.153668555637
2014,8.8,10.7,49.140717224489,1.053,52.2446834584225,32.069067171767,20.1756162866554,77.19,3.9,1.47,232.108053883634
2013,8.5,11.1,49.1057664221195,1.053,52.1320952080022,31.8512570682085,20.2808381397937,77.18,4.0,1.42,231.155712565925
2012,8.4,10.8,49.0753116093094,1.053,52.0953973406867,31.6738497635118,20.4215475771749,77.17,4.0,1.41,230.750625466231
2011,8.3,10.6,49.0463861211197,1.053,52.0097511222545,31.4743040219526,20.5354471003019,77.16,4.1,1.39,230.304633348634
2010,8.3,10.5,49.0168056587922,1.053,51.7937457997838,31.1977891259216,20.5959566738622,76.966,4.2,1.39,234.606908225034
2009,8.1,10.4,48.9862337510892,1.054,51.5319812559294,30.761912978356,20.7700682775734,76.771,4.3,1.36,234.939637417171
2008,8.3,10.3,48.9554386537417,1.054,51.2010395606892,30.2757613826892,20.925278178,76.575,4.4,1.38,235.522178240542
2007,8.3,10.1,48.924501385593,1.054,50.8030262315896,29.7156578626165,21.0873683689731,76.378,4.5,1.37,235.943361918146
2006,8.2,10.0,48.8936556116326,,50.364740559451,29.0552551254535,21.3094854339975,76.179,4.6,1.33,236.225197866483
2005,8.3,10.1,48.8629076531365,,49.8912304037017,28.2819634656513,21.6092669380504,75.98,4.7,1.34,236.464680582636
2004,8.6,9.9,48.8320989832335,,49.4440472933971,27.5525374329753,21.8915098604218,75.779,4.9,1.36,236.592195429653
2003,8.6,10.3,48.8007902431791,,48.9446014211877,26.7087848343412,22.2358165868465,75.577,5.0,1.34,236.616427281328
2002,8.7,10.2,48.7683676055978,1.055,48.4284355776905,25.8202925865887,22.6081429911018,75.374,5.1,1.34,236.451570830706
2001,8.9,10.1,48.7342029344846,,47.9159592304807,24.9972702430629,22.9186889874178,75.17,5.2,1.35,236.027300085985
2000,9.3,10.2,48.6978832895461,,47.4073731274062,24.3048711550328,23.1025019723734,74.965,5.4,1.38,235.596813297034
1999,9.4,10.3,48.65874754661,,47.1448077339225,23.8181537872685,23.326653946654,74.758,5.5,1.36,235.257731102069
1998,9.6,10.4,48.6168862935714,,46.9541252104847,23.4845001173345,23.4696250931502,74.551,5.7,1.36,235.078777720474
1997,9.9,10.5,48.5735224833153,1.056,46.8006005107068,23.245023314223,23.5555771964838,74.342,5.9,1.35,235.022979515829
1996,9.7,10.8,48.5303011303007,,46.6495472831502,22.9965780269489,23.6529692562012,74.133,6.2,1.3,234.652470709559
1995,9.4,10.8,48.4880344266992,,46.4859376600659,22.6689474397062,23.8169902203597,73.922,6.5,1.25,233.967490690347
1994,9.5,10.9,48.4481868577123,,46.2765749550456,22.5334420467181,23.7431329083276,73.71,6.8,1.24,233.274177193435
1993,9.8,11.1,48.4097470504164,,45.992987489301,22.3500527620283,23.6429347272727,73.497,7.2,1.28,232.459793194317
1992,10.0,11.0,48.3681311467833,1.056,45.6319727581506,22.1195685551141,23.5124042030365,73.36,7.6,1.29,230.930020336264
1991,10.4,11.4,48.3170455218917,,45.1753702390431,21.8529894527727,23.3223807862704,73.269,8.0,1.33,229.18080944061
1990,11.4,11.6,48.2525485369593,1.056,44.6240459851607,21.5587612693622,23.0652847157986,73.118,8.5,1.45,227.517053819494
1989,11.2,11.5,48.1719412693323,,44.2433983711184,21.3670611581496,22.8763372129688,72.976,9.0,1.42,225.564354251998
1988,11.4,11.5,48.0781968271887,,43.7995483591986,21.1382207924249,22.6613275667737,72.999,9.5,1.46,223.826709248704
1987,11.2,11.6,47.9802550618566,1.056,43.4521534514275,20.933035585035,22.5191178663925,72.836,10.0,1.43,222.953971300089
1986,10.9,11.9,47.8907331935877,,43.4478406865259,20.8539450777253,22.5938956088005,72.617,10.6,1.43,222.611737748117
1985,10.5,12.0,47.8187439873641,,43.8959804027749,20.9632712809738,22.9327091218011,72.711,11.1,1.37,222.50987597743
1984,10.4,11.8,47.7682101891611,,44.9730185688695,21.3621534230325,23.6108651458369,72.943,11.8,1.29,223.007719187695
1983,10.6,12.0,47.7361485844001,,46.6461312517946,21.9924465351128,24.6536847166818,73.103,12.5,1.33,223.77991579068
1982,11.0,12.0,47.7163210807543,1.056,48.6791376396082,22.7392964068418,25.9398412327664,73.107,13.2,1.41,224.367330220835
1981,11.0,12.2,47.6990945597537,,50.5922132932778,23.3924980682351,27.1997152250427,72.989,14.1,1.43,224.580835218973
1980,11.1,12.2,47.6774687298093,,52.0288619684097,23.7948876826302,28.2339742857795,72.844,15.0,1.44,224.239039899178
1979,10.5,12.1,47.6492472013403,,53.7476707507377,24.1334370147069,29.6142337360308,72.787,16.0,1.38,223.774382035345
1978,10.4,12.2,47.6164140550639,,55.0016593464874,24.2002982060003,30.8013611404871,72.73,17.1,1.38,223.675479047919
1977,10.3,11.9,47.5810442807922,1.057,55.8634903781386,24.0376254084895,31.825864969649,72.674,18.3,1.4,223.870231718844
1976,10.2,12.3,47.5466891185699,,56.6249996751014,23.7481098401079,32.8768898349935,72.617,19.5,1.45,224.377595737977
1975,9.9,12.6,47.5156567289064,,57.5111421033865,23.3975462046175,34.113595898769,72.56,20.8,1.45,225.341717984705
1974,10.2,12.1,47.487994141362,,58.1268826361227,23.1710630853258,34.9558195507969,72.503,22.0,1.51,226.183464612036
1973,10.3,12.2,47.4617481490979,,58.611678881896,22.8738230185809,35.7378558633151,72.446,23.0,1.54,226.095339844757
1972,11.5,12.3,47.4348451707569,1.057,58.9080305467269,22.5092655261239,36.398765020603,72.389,24.0,1.71,225.384389768854
1971,12.9,12.3,47.4044354728525,,58.9116503377394,22.07591715896,36.8357331787794,72.332,24.9,1.92,224.308544095323
1970,13.4,12.5,47.3681686060699,,58.5526612698774,21.5708364948992,36.9818247749782,72.274,25.7,2.03,223.897370606937
1969,14.7,12.7,47.3265911205867,,58.2025376838729,21.1756842008564,37.0268534830164,72.211,26.4,2.21,223.153787987283
1968,15.7,12.6,47.2797170980338,,57.6596230397265,20.7489125989055,36.910710440821,72.147,27.2,2.38,221.391212442357
1967,16.5,11.9,47.2241587281844,1.057,56.9306189056609,20.2911496747443,36.6394692309167,72.083,,2.48,220.408833385845
1966,17.2,11.9,47.1556349508335,,55.9710694799009,19.8044721243776,36.1665973555233,72.019,,2.53,219.403405608226
1965,17.4,12.0,47.0718114762833,,54.7503268931455,19.2910225178479,35.4593043752977,71.955,,2.5,217.579970211669
1964,18.0,11.6,46.9696522623262,,53.7052067849,18.8406253458418,34.8645814390582,71.891,,2.54,215.731495431501
1963,18.1,12.0,46.85190074489,,52.4892164198806,18.3980205273101,34.0911958925705,71.826,,2.51,214.001526651963
1962,17.8,11.9,46.7294200722384,1.059,51.200821036784,17.9622467037753,33.2385743330087,71.762,,2.44,212.029284220777
1961,17.9,11.6,46.6176402775903,,50.0267257785862,17.5321925359316,32.4945332426547,71.697,,2.45,210.172806690917
1960,17.3,12.0,46.5278685961546,,49.0841482946963,17.1059487001181,31.9781995945782,71.384,,2.37,
