date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,,,,,,100.0,,,3371.8
2017,,,,,,,,100.0,,,3372.8
2016,,,,,,,,100.0,,,3373.7
2015,,,,,,,,100.0,,,3373.6
2014,,,,,,,,100.0,,,3372.5
2013,,,,,,,,100.0,,,3369.2
2012,,,,,,,,100.0,,,3364.6
2011,,,,,,,,100.0,,,3361.2
2010,,,,,,,,100.0,,,3358.5
2009,,,,,,,,100.0,,,3356.5
2008,,,,,,,,100.0,,,3355.9
2007,,,,,,,,100.0,,,3351.7
2006,,,,,,,,100.0,,,3341.7
2005,,,,,,,,100.0,,,3321.9
2004,,,,,,,,100.0,,,3292.8
2003,,,,,,,,100.0,,,3255.5
2002,,,,,,,,100.0,,,3210.2
2001,,,,,,,,100.0,,,3160.2
2000,,,,,,,,100.0,,,3107.7
1999,,,,,,,,100.0,,,3052.9
1998,,,,,,,,100.0,,,2994.7
1997,,,,,,,,100.0,,,2940.8
1996,,,,,,,,100.0,,,2897.1
1995,,,,,,,,100.0,,,2869.2
1994,,,,,,,,100.0,,,2860.2
1993,,,,,,,,100.0,,,2867.5
1992,,,,,,,,100.0,,,2884.0
1991,,,,,,,,100.0,,,2902.2
1990,,,,,,,,100.0,,,2914.7
1989,,,,,,,,100.0,,,2918.7
1988,,,,,,,,100.0,,,2915.9
1987,,,,,,,,100.0,,,2911.5
1986,,,,,,,,100.0,,,2909.4
1985,,,,,,,,100.0,,,2915.4
1984,,,,,,,,100.0,,,2928.3
1983,,,,,,,,100.0,,,2948.2
1982,,,,,,,,100.0,,,2969.1
1981,,,,,,,,100.0,,,2990.2
1980,,,,,,,,100.0,,,3006.5
1979,,,,,,,,100.0,,,3016.9
1978,,,,,,,,100.0,,,3023.2
1977,,,,,,,,100.0,,,3023.4
1976,,,,,,,,100.0,,,3018.0
1975,,,,,,,,100.0,,,3006.7
1974,,,,,,,,100.0,,,2988.6
1973,,,,,,,,100.0,,,2965.0
1972,,,,,,,,100.0,,,2935.8
1971,,,,,,,,100.0,,,2900.6
1970,,,,,,,,100.0,,,2860.6
1969,,,,,,,,100.0,,,2816.6
1968,,,,,,,,100.0,,,2768.5
1967,,,,,,,,100.0,,,2717.3
1966,,,,,,,,100.0,,,2663.3
1965,,,,,,,,100.0,,,2607.3
1964,,,,,,,,100.0,,,2547.9
1963,,,,,,,,100.0,,,2488.9
1962,,,,,,,,100.0,,,2431.3
1961,,,,,,,,100.0,,,2381.3
1960,,,,,,,,100.0,,,
