date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.2406505040772,,64.6022003766005,7.92077743344239,56.6814229431581,51.054,26.2,,160.953779395297
2017,24.912,4.762,49.2246132850653,1.05,65.9674161017555,7.79435583058053,58.173060271175,50.68,27.1,2.92,157.847480403136
2016,25.267,4.791,49.2084732877411,1.05,67.3700091330026,7.68605401905103,59.6839551139516,50.319,28.0,2.973,154.750466592012
2015,25.627,4.829,49.1926589416656,1.05,68.7450422329077,7.60587921612667,61.139163016781,49.971,29.0,3.029,151.665070921986
2014,25.992,4.876,49.1775542135337,1.05,70.3674050817779,7.55625633531748,62.8111487464604,49.634,30.1,3.088,148.593159761105
2013,26.369,4.932,49.1631379970314,1.05,71.992503528721,7.54340693533875,64.4490965933823,49.311,31.2,3.151,145.537709966405
2012,26.766,4.996,49.1489625869651,1.05,73.6491562866264,7.55923243933022,66.0899238472961,49.0,32.4,3.219,142.504460619634
2011,27.197,5.07,49.1342310468966,1.05,75.4502654910049,7.58728821486597,67.8629772761389,48.701,33.7,3.292,139.499841358716
2010,27.688,5.15,49.1184531954653,1.05,77.4827620383078,7.61488527212864,69.8678767661791,48.403,35.0,3.375,136.528714072415
2009,28.269,5.233,49.1016328227271,1.05,79.3510208075183,7.65224480939543,71.6987759981228,48.104,36.4,3.471,133.597079134005
2008,28.946,5.319,49.0843913005607,1.05,81.3365282249592,7.68968449884173,73.6468437261175,47.807,37.8,3.58,130.705748413587
2007,29.716,5.407,49.0677302131351,1.05,83.3371271169078,7.72375528102034,75.6133718358875,47.508,39.2,3.701,127.849262784621
2006,30.562,5.497,49.0530432808127,,85.1515899489531,7.75258357721654,77.3990063717366,47.21,40.8,3.833,125.018859649123
2005,31.454,5.592,49.0417170763532,,86.6449123764153,7.7749069449688,78.8700054314466,46.913,42.3,3.971,122.210041060097
2004,32.35,5.694,49.0339398696218,,87.8926505161536,7.77100777533915,80.1216427408144,46.616,44.0,4.11,119.418859649123
2003,33.212,5.807,49.0301211657569,,88.8348489394081,7.75327751890769,81.0815714205004,46.318,45.8,4.245,116.652463605823
2002,34.006,5.933,49.0326610507424,1.05,89.5680824799894,7.72096237005753,81.8471201099319,46.005,47.7,4.372,113.931019036954
2001,34.716,6.075,49.0443935949033,,90.3222341585349,7.67591799173303,82.6463161668019,45.668,49.6,4.49,111.281690929451
2000,35.341,6.235,49.067570277057,,91.2553297737487,7.61960247036881,83.6357273033799,45.332,51.7,4.598,108.722872340426
1999,35.893,6.415,49.1036345344706,,91.9549437336097,7.5640227523323,84.3909209812773,44.995,53.8,4.699,106.263559163867
1998,36.401,6.614,49.1521805088821,,92.808729462716,7.4937794144337,85.3149500482823,44.659,56.1,4.797,103.896052631579
1997,36.883,6.828,49.2106230213223,1.05,93.7104955547213,7.40663313507349,86.3038624196478,44.323,58.6,4.895,101.601661067563
1996,37.344,7.058,49.2750789072571,,94.4263471015581,7.30135563890195,87.1249914626561,43.989,61.1,4.993,99.3530608435984
1995,37.767,7.297,49.3421137329675,,94.8138125637776,7.1789110853734,87.6349014784042,43.654,63.9,5.087,97.1303564762971
1994,38.129,7.542,49.4105513766155,,95.4800122142615,7.09956833077973,88.3804438834818,43.32,66.8,5.174,94.926250466592
1993,38.419,7.79,49.4805909707095,,95.9139276667069,7.00119791310409,88.9127297536029,42.987,69.8,5.252,92.7462859275849
1992,38.642,8.038,49.5510659056057,1.05,96.1708020931795,6.88452636943108,89.2862757237485,42.655,73.1,5.32,90.5985815602837
1991,38.816,8.287,49.6211592769711,,96.4410038154,6.75424610583318,89.6867577095668,42.323,76.5,5.38,88.4963605823068
1990,38.984,8.538,49.6899011422934,1.05,96.8938643283773,6.6161839651535,90.2776803632238,41.992,80.1,5.437,86.4484229189996
1989,39.199,8.797,49.7562666400308,,97.3719476251923,6.52441060240712,90.8475370227851,41.661,83.8,5.5,84.4574934677118
1988,39.497,9.069,49.8195830149399,,97.8553489966464,6.43126797296705,91.4240810236793,41.332,87.6,5.572,82.5174972004479
1987,39.901,9.355,49.8799123288813,1.05,98.2574036935221,6.33513871763326,91.9222649758888,41.002,91.7,5.658,80.6187756625607
1986,40.408,9.654,49.9376970039695,,98.4496729271748,6.23489040191296,92.2147825252618,40.674,95.8,5.757,78.7477043673012
1985,41.001,9.964,49.9934345138264,,98.3705327534087,6.13131407724791,92.2392186761608,40.347,100.0,5.865,76.89492347891
1984,41.643,10.28,50.0466063525634,,98.4397251662198,6.07497826337974,92.36474690284,40.021,104.3,5.977,75.0550298618888
1983,42.282,10.596,50.0969739538919,,98.3181248881732,6.02426780611229,92.2938570820609,39.695,108.7,6.086,73.2313549832027
1982,42.874,10.907,50.1455945784733,1.05,98.0035954474909,5.9735902741852,92.0300051733057,39.37,113.2,6.185,71.4335479656588
1981,43.393,11.212,50.1941945609987,,97.5005878869109,5.91518716229567,91.5854007246153,39.047,117.6,6.271,69.6760731616275
1980,43.824,11.507,50.2436343406207,,96.8218370645966,5.84429166168991,90.9775454029067,38.724,122.1,6.342,67.9680757745427
1979,44.159,11.789,50.2950123161028,,96.4956411541851,5.81325994991205,90.682381204273,38.402,126.7,6.399,66.3134098544233
1978,44.419,12.061,50.3475600847949,,96.044007867878,5.76960756456266,90.2744003033153,38.081,131.4,6.443,64.7061030235162
1977,44.623,12.328,50.3994373821598,1.05,95.476727475084,5.7135526550736,89.7631748200104,37.762,136.1,6.48,63.1347144456887
1976,44.781,12.593,50.4475762329769,,94.8368003160275,5.6501430301971,89.1866572858304,37.443,140.9,6.51,61.58281075028
1975,44.901,12.863,50.4896465079395,,94.1763935023913,5.58596124396455,88.5904322584267,37.125,145.8,6.535,60.0385218365062
1974,44.994,13.144,50.5246616247976,,94.3225949246232,5.58924439727111,88.7333505273521,36.809,150.8,6.558,58.4985722284435
1973,45.07,13.44,50.5529338222382,,94.4766296277772,5.59753522910346,88.8790943986737,36.494,155.8,6.578,56.9664986935424
1972,45.143,13.756,50.5753111931583,1.05,94.6119481839862,5.60334591863239,89.0086022653538,36.177,160.9,6.599,55.4457540126913
1971,45.225,14.094,50.593125792214,,94.6811989614722,5.59540725238389,89.0857917090883,35.861,166.0,6.62,53.9425158641284
1970,45.324,14.453,50.6076352139548,,94.6319478247985,5.56452623612478,89.0674215886737,35.545,171.0,6.642,52.4616648002986
1969,45.442,14.833,50.6190176040135,,95.4911411285203,5.57818287171582,89.9129582568044,35.232,176.1,6.664,51.0032848077641
1968,45.581,15.227,50.627041518485,,96.3502888724677,5.56947744192331,90.7808114305444,34.919,181.1,6.685,49.5671425905188
1967,45.745,15.631,50.6322113484127,1.05,97.0695474121636,5.53623704210604,91.5333103700575,34.608,186.0,6.705,48.1579787234043
1966,45.942,16.044,50.6353369037975,,97.4104306550574,5.48113238381276,91.9292982712446,34.298,190.9,6.724,46.7819428891377
1965,46.189,16.466,50.6370394647406,,97.2183703223716,5.40790539445974,91.8104649279119,33.989,195.7,6.744,45.4434117207913
1964,46.502,16.896,50.637782254135,,97.4722265937592,5.37776967014214,92.094456923617,33.682,200.6,6.767,44.1446435237029
1963,46.884,17.335,50.6378727579469,,97.1485910695379,5.33220248238086,91.816388587157,33.086,205.4,6.794,42.8845651362449
1962,47.334,17.783,50.6368481521312,1.05,96.3437847727703,5.27195879825306,91.0718259745172,32.424,210.4,6.824,41.6596584546473
1961,47.843,18.237,50.634528653648,,95.3630293967509,5.19875595339736,90.1642734433536,31.768,215.4,6.859,40.4641937290034
1960,48.399,18.695,50.6304219841069,,94.4097939298578,5.11460986660129,89.2951840632565,31.121,220.6,6.896,
