date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.7885234607811,,53.0653937653346,27.3585835202827,25.2095439251463,81.3349783647456,5.0,,34.4377658355898
2017,10.5445604604197,8.76964591422341,49.7613076233034,1.05129840259267,52.4660893019281,26.7665929430647,25.2071642644059,81.1544519764178,5.1,1.63077928501894,34.2698639692726
2016,10.848594689781,8.64784893031448,49.7343652694397,1.05135983806137,51.8820105295152,26.1758575543386,25.2255498204787,80.9765986304945,5.2,1.6587191262594,34.0968909062193
2015,10.9605286124495,8.69296554682205,49.7105333614946,1.05142166625689,51.3210473391753,25.5751566926195,25.2842714119568,80.8022128299287,5.3,1.66534558562903,33.9068591362794
2014,11.0642739177543,8.40140992760976,49.6910048527485,1.05183372309669,50.7471246198653,24.9570641633609,25.3590128663732,80.6297511961333,5.4,1.66995533351874,33.706998688162
2013,11.033863833152,8.46422311283594,49.6749889492999,1.05185727557868,50.198569944811,24.3402150377572,25.4626656852702,80.4625126196037,5.5,1.65985668623175,33.5034862702714
2012,11.3540791322387,8.44156278403205,49.6592970159913,1.05217630036477,49.694337321071,23.7454087755184,25.5897511492494,80.2943860258341,5.7,1.69355863105337,33.3069218210411
2011,11.4107491401035,8.32035228330821,49.6392001848523,1.05229440467233,49.2562342910979,23.2130333756457,25.7174190477607,80.121242530739,5.9,1.6880868009835,33.1080083591889
2010,11.6001998333316,8.27130844657284,49.6114874864555,1.05235929183048,48.8789217658589,22.7671715449827,25.813728352267,79.9155955032324,6.0,1.70517306076932,32.9509705865725
2009,11.7366723871464,8.22582337023193,49.5769741406801,1.05248734509751,48.666395566764,22.3897272287027,26.0139319791246,79.6440986131728,6.2,1.71699901131615,32.734827446523
2008,11.9964210082827,8.31545226502911,49.536226545952,1.05264604440295,48.588340582162,22.1099200571794,26.2484967015912,79.3651661969998,6.3,1.74496212973102,32.4935314643587
2007,11.9901544273226,8.23259984212054,49.4919772754448,1.05272611687343,48.6078506266596,21.8944324945683,26.5131368325665,79.0752912998808,6.5,1.73770595251377,32.208873288217
2006,11.8871642304448,8.20010924266041,49.4486747022201,,48.6465970573588,21.6889651911192,26.7821476642968,78.7772590924,6.7,1.71249864734556,31.9548569521817
2005,11.692045165961,8.35021143176306,49.4091961490625,,48.6522001184024,21.4616627016118,27.0340125458046,78.4622475636815,6.9,1.6735649193521,31.7130858595326
2004,11.7751584938042,8.21112794382052,49.3749519292331,,48.7896746067222,21.2635575673319,27.3757485938149,78.120404008579,7.1,1.67586369267877,31.4913500975847
2003,11.8551405983162,8.52121795534894,49.3453086237711,,48.9052114627069,21.0536678905859,27.7011341231281,77.7659902460658,7.3,1.66629332882464,31.2752918328021
2002,11.845472944296,8.4484610527285,49.320439606273,1.05388867401954,49.0064848828147,20.8319576312498,28.0190520881429,77.4005043258832,7.5,1.65748491913542,31.0711463371432
2001,11.993254917951,8.37680047434862,49.2999120384719,,49.1404089439325,20.6146183503513,28.3627470564913,77.0109843519053,7.7,1.6725358069183,30.864322038195
2000,12.3413873855638,8.44791784811651,49.2831467383209,,49.33444980527,20.406086180763,28.755867922096,76.6729639997514,7.9,1.70887640492495,30.6635584181038
1999,12.236613921068,8.59494382336936,49.2712424014897,,49.4761039111924,20.2185996352143,29.0770100668001,76.4512681249,8.2,1.67906399955316,30.5038725170322
1998,12.3836492372978,8.56413782227754,49.2644405439601,,49.6629896321449,20.0414005713951,29.4316805488492,76.2254965298844,8.5,1.6837406796268,30.3114806785843
1997,12.5487096969121,8.56592859758823,49.2602311820656,1.05546270511139,49.8656635158127,19.8646637943934,29.7986823148908,75.9979426472745,8.9,1.69671162103685,30.1164829833716
1996,12.7034695055589,8.63052563832989,49.2565488062988,,50.0117965768538,19.6711550338676,30.1219572489189,75.7699322578608,9.3,1.70810550691876,29.9761380860641
1995,12.8314691755996,8.71014980581382,49.251228898851,,50.0507005818515,19.4484409937042,30.3653095304862,75.5298701759786,9.7,1.71545874028381,29.7709903989164
1994,13.1655976305342,8.66423803831568,49.230091208916,,50.1529583216743,19.2849348159299,30.6238109427648,75.2435123536542,10.2,1.75028857696028,29.5164271201152
1993,13.4266892204327,8.75947402098885,49.2202645106443,,50.1660149783315,19.0760309834374,30.8419553448651,74.989908259665,10.8,1.7711476282002,29.2991517575066
1992,13.7765271290568,8.61710248127688,49.2092493314067,1.0578788898342,50.1167927938098,18.8461412716931,31.0228715847769,74.7394505088471,11.4,1.80704108603722,29.0710498054778
1991,14.0239541980662,8.69907880832328,49.2139151115628,,50.0678511436613,18.5643757217275,31.2613210887493,74.5331774494987,12.0,1.82923303207624,28.8928682349861
1990,14.2725148048347,8.71801907434716,49.2040862020752,1.05670960719205,50.0425236018479,18.2947401910415,31.5147338538872,74.2603306442061,12.5,1.85185899513538,28.6528747721638
1989,14.1754074820374,8.7249621864416,49.1950255392725,,50.1258509183543,18.0475771054021,31.8519697545787,74.0041980642253,,1.82817986079974,28.4310811383546
1988,14.2997922561046,8.75235236307446,49.1862575175445,,50.2481379292026,17.7859427624662,32.2447191477557,73.7620943624924,,1.83628142968478,28.222088302105
1987,14.2120835591872,8.73067636658565,49.1775643998018,1.05621482711041,50.4093430188861,17.5289425375467,32.6706809763643,73.489636358285,,1.81561504287455,28.0255202647878
1986,14.2676374644176,8.78046375121422,49.1685664960263,,50.6003178272689,17.3100720472378,33.0868391459853,73.2050566377792,,1.82088463421747,27.8329552274449
1985,14.5475293498671,8.84348995855335,49.1591676195778,,50.8108264166649,17.1489986808977,33.465651406415,72.9476943798537,,1.84589685463343,27.6400080450147
1984,14.6662060086573,8.77071391569437,49.1489050844078,,51.3359624191818,17.1286750184879,34.0149256055734,72.721311897183,,1.84994103636332,27.4549887017548
1983,14.9024747308628,8.86810566400707,49.137937452254,,51.9511738864012,17.1953802829806,34.5678597686837,72.4908444534692,,1.87847759997653,27.2697044039394
1982,15.2215033679996,8.74460177153306,49.1270098035164,1.05554649104406,52.6387039948263,17.3091217532218,35.1432202363222,72.2479766771043,,1.91733962999522,27.0752687401191
1981,15.3011711403897,8.83961225014605,49.1170055548084,,53.367951130712,17.3959150586956,35.7828577884587,71.9850842685105,,1.92752866973716,26.8681751311812
1980,15.545635981357,9.00173126950027,49.1087700131293,,54.0960198392462,17.3969283595172,36.5044357038778,71.6790910465076,,1.97071413093432,26.6495560145741
1979,15.6088751938219,8.82531182900817,49.1027732088832,,54.8002719422018,17.3476696213004,37.2506928211332,71.3979799358988,,1.98132818755269,26.4306068994596
1978,15.4547486037834,8.96276370115331,49.0980225112971,,55.4739245585309,17.2187997371327,38.0420052897704,71.1188236840132,,1.97170431466615,26.2057731846753
1977,15.7228559731956,8.90078804041463,49.0944331202739,1.05543015158121,56.0861086362124,17.0233873937811,38.8336723077383,70.8381745372453,,2.01318236665941,25.9914462602663
1976,15.8972819621122,9.13308353564054,49.0898232779892,,56.5956914202563,16.7965977853112,39.5480987940267,70.561304491233,,2.04945215313561,25.7788291224647
1975,16.1338486312406,9.16005124207639,49.0834017754226,,56.9690341633066,16.5537788475965,40.1356738983118,70.2797479350778,,2.10160533891929,25.5739408788798
1974,16.6445795445345,9.19039741940663,49.0744489080137,,57.5717417495221,16.4032933723787,40.8610280742989,69.9370794263202,,2.19155089132823,25.3312816179367
1973,16.8802688742019,9.35488270086904,49.063430203863,,58.0881683346397,16.2396605331665,41.5071970572874,69.579906196873,,2.24576655135102,25.0742125303169
1972,17.3354207480311,9.27130145652852,49.0522045777102,1.05582863384309,58.5159360116598,16.0520112195149,42.0825929519016,69.2271217667892,,2.33026182523903,24.8485778293808
1971,18.1764911395747,9.36336857250121,49.0415619232402,,58.9210686443426,15.8485644740422,42.6492402357027,68.8627315799236,,2.47054501356636,24.5974924454735
1970,18.4739097101591,9.50605792312686,49.0309678501508,,59.3118276571384,15.6213375722195,43.2251879691537,68.4681678062055,,2.53525851336136,24.3379096030431
1969,18.5751064901058,9.63570201074737,49.0228718812605,,59.6120718120359,15.43344050856,43.6762562540115,68.0138777964575,,2.56796313229335,24.1001274454273
1968,18.7705569479793,9.67063289611333,49.0174884317999,,59.8816016022279,15.2404723469132,44.1079179249408,67.5401943727857,,2.61389424112228,23.8345072447079
1967,19.1388733030352,9.40984779451206,49.0131321228186,1.05554739225513,60.0772729203344,15.0274660081274,44.489063980609,67.0408020119078,,2.66165352419811,23.6222038268624
1966,18.9779232488922,9.48495697627343,49.0069218145085,,60.2465468662245,14.8124849029908,44.8497468379357,66.5208834423679,,2.68250762838067,23.3877065533607
1965,20.0735324709512,9.56219837755815,48.9966945669195,,60.3489147867746,14.5917614707747,45.1533679395223,66.0210245695014,,2.84698776343827,23.1344328872471
1964,20.7950777478581,9.4601467190129,48.9821256760548,,60.618752676658,14.451046792582,45.5617852444982,65.5117949514797,,2.94580942118289,22.8638741116736
1963,20.9471980524478,9.72631927325839,48.9637864687819,,60.9031052199494,14.3189095691928,45.9840900583779,65.0012013745788,,2.96803315638536,22.5828729669622
1962,21.0933900466898,9.78906258170968,48.9431927931755,1.05510131685403,61.1337977804945,14.1855830898686,46.359697388086,64.4901940322945,,2.98935141003229,22.2992077873845
1961,21.4380654247687,9.59239319451034,48.9219082481566,,61.1621043552114,14.0355441899483,46.5555496356021,63.9968263774938,,3.03770869942103,22.0135455556251
1960,21.6097980120796,9.7618000442715,48.9010761270709,,60.9062498402901,13.8679678787067,46.491444954651,63.50652630384,,3.03419337853891,
