date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.6682083765897,,47.5198232633648,12.4880854247983,34.7114557228528,55.0124279996674,23.0250286311968,,68.7859051970979
2017,16.312610038112,7.15406669430748,50.6743677293136,1.08574084362123,47.2927434271795,12.0076348044838,34.9239579748164,54.4019831161658,24.0832131428701,2.08117446056061,68.192583963153
2016,16.6490047395956,7.13824768426677,50.6800827103005,1.08703964056948,47.1067703782007,11.5571817428854,35.1437511505538,53.7823647380138,25.3338435401147,2.09043657405987,67.5665446980989
2015,16.5754982265375,7.15300158145109,50.6854939931204,1.08716939538961,46.994750679526,11.1604810220845,35.3836469565521,53.1603647855854,26.5519514945209,2.0989153234245,66.9335350528997
2014,16.8441164896734,7.17235449399803,50.6906292085931,1.08838306044701,47.0236232097969,10.8584208454496,35.6672224823841,52.5368678326598,27.9849405940374,2.10767673240865,66.2977138018766
2013,16.9324684346712,7.18873953445252,50.6952736898215,1.08906878699386,47.1489494998204,10.6201309982773,35.9860500590831,51.9109918077332,29.5186183197295,2.11637690032643,65.6551162310634
2012,17.1386546514596,7.22743606567003,50.6992792106498,1.09002703653241,47.3581175590633,10.4326939000573,36.3400456793117,51.2855477366696,31.2151707059264,2.12930042640782,65.0096194049949
2011,17.2514119539919,7.26692574413733,50.7019945131062,1.09074978346824,47.6166642699808,10.2736790855257,36.7158512238435,50.6596359795293,33.0297226541933,2.13884349203604,64.3688833051969
2010,17.4423023505796,7.33461816367798,50.7031568881323,1.0918858318643,47.9003572800431,10.1262732231829,37.1068100198806,50.027162795415,34.9824013208687,2.15577381780089,63.7347307168683
2009,17.704898925722,7.37083796766494,50.7025508907708,1.09295567096787,48.3313109486893,10.0410074178218,37.5891725404166,49.3727075122974,37.0354363399721,2.17337711921025,63.1097079626911
2008,17.8921037309975,7.43977114948383,50.7006944920999,1.09418083780713,48.8089368356182,9.98051329594983,38.0960476580285,48.7202561919839,39.2238621219276,2.19145132566572,62.4777241934393
2007,18.0196959464936,7.45597280660472,50.6973710722509,1.09504859442722,49.3544069404478,9.93492992227474,38.664150871957,48.0695868177141,41.4806706356342,2.20493801189559,61.8548288520214
2006,18.1566148478321,7.48652281527665,50.6931931259572,,50.0136115756578,9.8862562489927,39.3670307970101,47.4218421277232,43.7415647112179,2.22011965817052,61.2345931151967
2005,18.4046661545383,7.47838668278365,50.6885685384566,,50.7962005150602,9.81838299026073,40.2330402794683,46.7684375173367,46.0725180689006,2.23905751264016,60.6036000815606
2004,18.5449537301418,7.48053310788716,50.6836546104338,,51.7589890314167,9.78186203220514,41.2571924347398,46.1027673734394,48.8444180088399,2.2623219987132,59.9693391267245
2003,18.7294112618348,7.53734273220789,50.6785902034044,,52.8798805732988,9.71900552792994,42.487140187929,45.4408546997852,50.810363281909,2.28314271550648,59.3331884770082
2002,19.0216828055137,7.54189185150881,50.6735819674795,1.09728933146899,54.0760036696078,9.63130394001348,43.8220612856646,44.7850466829126,53.179642415498,2.30608123746438,58.6913739876765
2001,19.3422790422931,7.58895502881798,50.6688791689661,,55.1679714822582,9.5301192534136,45.0462912467541,44.138116207248,55.6018388994331,2.33014127211904,58.0441189134079
2000,19.7365802348517,7.63309875193141,50.6650045726825,,56.0375023563836,9.4211257927804,46.0248076417376,43.5469512956056,58.0258348527506,2.35801227437481,57.3858441884377
1999,20.1240692385753,7.65960037072411,50.6621520259155,,57.1465271635717,9.34940183395332,47.2093355620334,43.0058718603402,60.4201326449721,2.38861182850795,56.6951008964736
1998,20.7046382604977,7.67886028461198,50.6605126171305,,58.0468208212226,9.2754609355265,48.1587566282963,42.4747527043073,62.6859585297288,2.42601982417927,56.003692348961
1997,21.2584414827509,7.76499114446241,50.6596154444512,1.09441413453006,58.7981669186106,9.1947783997668,48.9464147733419,41.9490674049622,64.9471929441073,2.4632553694846,55.2660156433605
1996,21.686236301849,7.87072205677169,50.6589703735167,,59.6017074466603,9.09843138116341,49.8137763115729,41.4316287570206,67.1649097192863,2.51241690158755,54.5384706628692
1995,22.0517330116857,7.98014267327913,50.6583620034326,,60.6102047391824,8.97857735491879,50.9481070788629,40.9197226487854,69.2603185844531,2.57043694220314,53.8058143160228
1994,22.6134375442898,8.0447092812241,50.6581622785382,,61.3452021863106,8.88974880815504,51.7293552034831,40.4089238547667,71.2646733587359,2.64581577214439,53.0620595004104
1993,23.0821524026645,8.13293298332086,50.6582039112048,,62.1102702319423,8.78391579533105,52.5756444838843,39.8985021751029,73.0884790311698,2.73118817888397,52.3046806154593
1992,23.55691521974,8.12076461445712,50.6580010762927,1.08691444214371,62.8500300611945,8.66515806459234,53.4203999544069,39.3918304517718,74.8451635484438,2.8389806725358,51.536751499129
1991,24.4241475947198,8.21326812054816,50.6560425618754,,63.4294657013063,8.54517592563115,54.0955800578145,38.8887679727392,76.4803711706087,2.95477035926978,50.7554600712457
1990,25.3323542343663,8.28041333642575,50.6514311071534,1.08113890308076,63.7438315761036,8.4305995301685,54.4733871082793,38.387039358204,78.116292430149,3.07680913118992,49.9446487698666
1989,25.9483676702032,8.32562059386186,50.6435867531561,,64.3933974075043,8.37006642122415,55.1660961312005,37.9015322381352,,3.19181024723132,49.1080952840017
1988,26.6642161142167,8.48393950519277,50.6331254405374,,64.9936995020714,8.32530990370649,55.7968881983006,37.4004387889134,,3.29461678892666,48.2514961559324
1987,27.4009808898679,8.62675811160266,50.6211517822704,1.07174120419739,65.5794410713915,8.29167650531511,56.4115466051793,36.8854910152302,,3.3778589446816,47.3803538148538
1986,27.4647070307454,8.78421725174733,50.6099604298216,,66.1673915780357,8.26003678256007,57.0433759159564,36.3684927593867,,3.43818125412648,46.5119103934155
