date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.5229399531726,,54.5889647334463,11.0653560137783,42.0921603610346,50.4222017748257,41.8759374113113,,68.7084518843392
2017,20.149259061194,7.32117970102247,50.5278746480476,1.07055768389928,54.5238549716174,10.7090045016095,42.3035385099766,49.8896193723405,43.1357311071048,2.55961123688048,67.870329440419
2016,20.4604692239066,7.3433397344658,50.5329054087979,1.07154684444023,54.4771492468341,10.371616078871,42.5174593867097,49.3495993246101,44.5398097320234,2.57212785745117,67.0250185281044
2015,20.4638591069343,7.39279567117257,50.5382729278476,1.0715811179848,54.46946838406,10.071532133773,42.7428626615621,48.8075193598832,45.9820979916055,2.58449328429017,66.1831353219368
2014,20.7175084319913,7.44960267490279,50.5440424346207,1.07247535241766,54.5976357027855,9.85075259874655,43.02267933321,48.2641268035898,47.5860129203568,2.59628328483646,65.3486677476696
2013,20.8310353019247,7.50682031364516,50.5500193910207,1.07294442263046,54.7905900397043,9.67742509730133,43.3316243120685,47.724081013109,49.3272056954631,2.60781940509457,64.5173340813041
2012,21.0300000593928,7.58541994838605,50.5560337416893,1.07366298231677,55.035116374088,9.54138108792689,43.6664190936944,47.1845596565483,51.2363784981906,2.62283315872815,63.692365147999
2011,21.1659771025552,7.66669127644175,50.5614938096735,1.07419617777287,55.2991041447716,9.42477109907793,44.0107146293139,46.6442741438672,53.2974009116007,2.63637365762012,62.8770057800243
2010,21.3631306061497,7.77302534378228,50.5661374197791,1.07503197911326,55.5596644474822,9.31403496451466,44.355382116922,46.0944897411156,55.812547862909,2.65629989950617,62.0675373102086
2009,21.6099710048898,7.85841051992972,50.5697970847684,1.07585029963107,55.9625246481795,9.25920350269821,44.7924766729292,45.5205696818196,57.9186405359347,2.67679047236089,61.2684111696766
2008,21.7964043172878,7.97412189977816,50.5727361983016,1.07676637627651,56.3866906345423,9.2213711434429,45.2436292866705,44.947620150126,60.6411596070793,2.69760183619828,60.4710531714356
2007,21.9303240519927,8.04991361510902,50.5745232988681,1.07744255841918,56.8487101315222,9.19275914248741,45.7392753459995,44.3761432784706,63.1641384497135,2.71404113675759,59.685116558772
2006,22.0669177349622,8.13806068614952,50.5751905701777,,57.3871928367132,9.15880132156759,46.3431079314415,43.8189810333325,65.900891050203,2.73195238840473,58.9072308399874
2005,22.2938446621988,8.19467465264661,50.5747277966295,,58.0115547377244,9.10627301980861,47.0800289500177,43.2505554439387,68.7332481754703,2.75397988114366,58.1280702072639
2004,22.4436844982965,8.2543600393696,50.5730191278295,,58.8428087516967,9.0882143286059,47.9884148118788,42.6730263132,71.9144914557924,2.78002848030128,57.3525228833193
2003,22.6196397281629,8.3562645111172,50.5702644323859,,59.795829606062,9.0468316013653,49.0699873960654,42.0999473978241,74.6239621964358,2.80366118162776,56.580096892867
2002,22.8920717570503,8.41202621012194,50.5670629360932,1.08013443294799,60.8029971440819,8.98309167499194,50.2373328339566,41.5309403679864,77.5897681828131,2.83092835644182,55.8099997190716
2001,23.179505876129,8.4946085393647,50.5642983431208,,61.7151037879292,8.90608103432374,51.3023917327267,40.9684637080091,80.5452724933926,2.85824206226601,55.0410932450585
2000,23.5330872078302,8.57279074816756,50.5628691624905,,62.43039351109,8.81988977341898,52.1456651791101,40.4522209174995,83.4137144611319,2.88957258663759,54.2687684785031
1999,23.8845050175931,8.63119697642377,50.5632094736172,,63.4167349842535,8.77128577563725,53.2179761874032,39.9876971231895,86.1205023558354,2.9241846875225,53.4784638421259
1998,24.386765400245,8.68431278342711,50.5652653820918,,64.2261756775011,8.71913050301929,54.0836911036363,39.5305687516698,88.7137939311689,2.96318055238902,52.6935553169526
1997,24.8744973934492,8.78488451994841,50.5681884217811,1.07904961842358,64.8978681006864,8.65919616733487,54.7992425661224,39.0749123769169,90.9362791474967,3.00194920802033,51.8773380064754
1996,25.2633488758647,8.90123549749223,50.5707832968761,,65.5830060112366,8.58317321928324,55.5640806544784,38.6235026209462,93.0325570591721,3.05286350264155,51.0690106038296
1995,25.6058102817844,9.01798115887329,50.5722960487776,,66.3970596649585,8.48364429008168,56.5330235776859,38.1770147513533,95.0776534209774,3.11087695935189,50.2596084465038
1994,26.0941598865432,9.09837730609744,50.572701522169,,67.077164634096,8.41766877686086,57.2560338900244,37.7310628899496,96.8873631564368,3.18104475771091,49.4451942628577
1993,26.5211839153508,9.1923673842459,50.5720872135861,,67.7550608900062,8.33537900387661,58.0158433148012,37.2842556566787,98.0976982845594,3.2615862927589,48.6201151542515
1992,26.955576930457,9.20335108693251,50.5706155428818,1.07433098323477,68.385433816826,8.23984625398304,58.7545935401844,36.8333819714986,99.3671664798771,3.3611980295265,47.7937272705753
1991,27.703220197913,9.29274190107924,50.5679050832452,,68.8575112690776,8.1406911169993,59.3275905983703,36.3815918377882,100.543551592327,3.46677701614102,46.9612305650692
1990,28.4896848543374,9.36426234003133,50.5638178357548,1.07076837659242,69.0831482696252,8.04322142178971,59.6238700744977,35.926057579521,101.745958940209,3.57795818318265,46.1130098088875
1989,29.0417770950181,9.41758208179266,50.5582044384051,,69.6449834903557,7.99829656204094,60.2341583963018,35.4702151115877,,3.68393105503616,45.2492141153453
1988,29.6881700821568,9.56759463309393,50.5513055430489,,70.1452032762408,7.96456509860526,60.7768460081702,35.0031118445907,,3.77983439784825,44.3773754048882
1987,30.3500213318715,9.70647632888448,50.543680773219,1.06436313001323,70.6084139616005,7.93785037422579,61.2885826827498,34.5209634180812,,3.85995780836438,43.5006522129072
1986,30.4562899719847,9.86379518975888,50.5366123115857,,71.0416841426169,7.91025905109786,61.792213706748,34.0365366200936,,3.92012267109367,42.6318103160076
1985,30.3446623040423,10.0306453051326,50.5311869015962,,71.4242929069735,7.8747994421473,62.2747987931852,33.545391395808,,3.96619979817013,41.7854533375991
1984,30.324442787926,10.191332654406,50.528027096389,,72.2476461907432,7.89340224590771,63.1475629131981,33.0492698048201,,4.00758052939132,40.9621802984156
1983,30.6459989230216,10.3248753400407,50.5267086015259,,73.0974062600172,7.91528614540262,64.0522776331412,32.5551430021199,,4.04587125622804,40.1545283561048
1982,31.3622447835607,10.3630393351968,50.525766213635,1.06051078465158,73.9566599970375,7.93209135754618,64.9716410447358,32.0758105271777,,4.08312655020794,39.3475271309111
1981,31.1309109800999,10.4523195911895,50.5244136748869,,74.8179291103946,7.92978925617901,65.9085208021864,31.5591999912837,,4.12264273264406,38.5530260997489
1980,30.5231729112467,10.6211708774123,50.5223076471575,,75.6791543195818,7.8961532678202,66.8719902192884,31.0083489453869,,4.19086632163429,37.7944789664067
1979,30.5325023190024,10.7182729683415,50.5185165507957,,76.679499534492,7.88333400441658,67.9124413575122,30.464429525344,,4.27034118954171,37.0574242198775
1978,30.7755650486288,10.9025654113825,50.5130613463147,,77.62163372659,7.84138764456534,68.9129916773151,29.9270835157415,,4.36694207548723,36.3312899303956
1977,31.0747502656531,11.2400798306684,50.5066644515519,1.05649887354726,78.4539712741487,7.7714778013978,69.8221517159553,29.4711822216054,,4.48043574538068,35.6214691260186
1976,31.4700825043711,11.5185447286572,50.5001485355151,,79.1235973423384,7.68151212690389,70.5815785074303,29.1090388117022,,4.60906045156471,34.923538927957
