date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.794382679684,,75.7848058484729,6.23818286759191,67.643957321402,34.3159699173835,62.2384249470843,,60.2621873819374
2017,31.2039745910833,7.35218480328512,49.7905857552089,1.03877747023149,76.5776035576922,6.21990476488972,68.4605873599729,33.8165006946649,64.2881716711024,3.96869213627767,58.8920637547639
2016,31.5648479823784,7.49569118670857,49.7894972825748,1.03879843842808,77.3371493080192,6.20041277267381,69.2575218651617,33.3274338420681,66.5461604523941,4.02533600666734,57.5957586155288
2015,31.9310331581955,7.65786550033485,49.7914713784174,1.03878630175983,78.052660388149,6.17530680320871,70.0270302415888,32.8469868705746,69.0378212951121,4.08380429036174,56.33527683196
2014,32.2963142450865,7.83874278173781,49.7967118644876,1.03877188209456,78.8609216605931,6.1780933319331,70.8543331470888,32.3754635055031,71.6376310211575,4.14216787301833,55.113874462112
2013,32.6629976059296,8.03546963136862,49.8052330254903,1.03874920673142,79.642516385525,6.17827899209092,71.6655134901648,31.9467500906982,74.4524262999379,4.20156497680926,53.9240469822764
2012,33.0419740959206,8.25147489789623,49.8168730773769,1.03875900855171,80.3774407550069,6.17305555643614,72.4420441354372,31.5277152631994,77.4589358186445,4.26402888103715,52.7647844285721
2011,33.4228084648304,8.48155484617038,49.8312912707126,1.03879908067263,81.0380461498699,6.15947016498714,73.16031328984,31.1106266936242,80.7179942773801,4.3269047731574,51.6246465565204
2010,33.8124003297266,8.7314656474108,49.8480368072047,1.03880362312014,81.6015782837739,6.13441891353418,73.8035220885095,30.6787495364308,85.3340401171424,4.39253159755146,50.4974977485738
2009,34.2005317332625,9.00147368638746,49.8675358654993,1.03883834561955,82.2312042726017,6.14135313805686,74.4701560418764,30.2105827898862,87.8909253641466,4.45710923792336,49.3790385111445
2008,34.5942547607404,9.29369105294276,49.8894601385486,1.03883761490725,82.7863694860562,6.13971815236358,75.0760022076446,29.7389837997237,92.5076000412267,4.52407414544995,48.2672861051793
2007,34.9941564278783,9.60076376974349,49.9115593012298,1.03887558337425,83.2670964886945,6.12856401120726,75.6235290115039,29.2681492487642,95.9500552354387,4.59224501998519,47.1656801908968
2006,35.393882923927,9.9197909774,49.9306970444271,,83.6772137639042,6.10807498947653,76.1173547285813,28.879251948555,100.257770697451,4.66201027176399,46.0775774567303
