date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.1882914775832,,52.9696287964005,22.6321709786277,30.3374578177728,93.813,2.0,,3.52692269326683
2017,11.9,6.5,50.1685132851867,1.053,52.4740473674395,21.995133603886,30.4789137635535,93.773,2.0,1.74,3.42543640897756
2016,12.0,6.9,50.1623977676704,1.053,52.0038245769855,21.3836449487489,30.6201796282366,93.735,2.1,1.74,3.34602493765586
2015,12.5,6.6,50.1715434672675,1.053,51.5771049448334,20.7873611671126,30.7897437777208,93.7,2.2,1.8,3.29990024937656
2014,13.4,6.3,50.2060305789551,1.053,50.9164162041561,20.0966201390297,30.8197960651264,93.667,2.3,1.93,3.2656957605985
2013,13.4,6.7,50.2594790858023,1.053,50.3033791845205,19.439943920114,30.8634352644064,93.633,2.3,1.93,3.22956608478803
2012,14.1,6.1,50.3166053518895,1.053,49.7574209575218,18.8361809326802,30.9212400248416,93.6,2.4,2.04,3.19916209476309
2011,14.1,6.2,50.3612379471421,1.052,49.2721547121607,18.3072625436918,30.9648921684689,93.587,2.5,2.02,3.18218453865337
2010,15.4,6.4,50.3780334767218,1.052,48.8150106450179,17.865381465971,30.9496291790469,93.574,2.6,2.2,3.17247880299252
2009,15.8,6.3,50.3643330158801,1.051,49.106528405234,17.7257086678683,31.3808197373657,93.511,2.7,2.23,3.17704738154613
2008,15.2,6.3,50.3215325473291,1.051,49.5711916160893,17.6768009952124,31.8943906208768,93.395,2.8,2.15,3.16622443890274
2007,14.6,6.2,50.2609926568168,1.05,50.1920991106076,17.7044517824002,32.4876473282075,93.278,2.9,2.09,3.10789027431421
2006,14.5,6.3,50.1970126148128,,50.8633661596222,17.7823135332708,33.0810526263514,93.159,3.1,2.08,3.03024438902743
2005,14.4,6.2,50.1417064439141,,51.4884188708335,17.8885944894552,33.5998243813783,93.037,3.2,2.05,2.95994014962594
2004,14.5,6.2,50.1003084829373,,51.875867735075,17.8403731455819,34.0354945894931,92.914,3.3,2.04,2.91345635910224
2003,14.3,6.3,50.06823982914,,52.1840373415193,17.8302600870461,34.3537772544732,92.789,3.5,1.99,2.88799002493766
2002,14.1,6.3,50.0506432924799,1.043,52.4382873139076,17.8420706620859,34.5962166518217,92.662,3.7,1.93,2.86805985037406
2001,14.4,6.1,50.040648969637,,52.7945781323725,17.84304894265,34.9515291897225,92.532,3.9,1.95,2.84257356608479
2000,15.3,6.5,50.0426117622727,,53.4065802178858,17.8100127109167,35.5965675069692,92.401,4.0,2.08,2.80503740648379
1999,14.8,6.9,50.0514632847251,,53.8444472792417,17.7954397972257,36.049007482016,92.267,4.3,1.99,2.7668927680798
1998,15.2,6.6,50.0737393477519,,54.377020921822,17.7424261201681,36.6345948016539,92.121,4.5,2.05,2.73363591022444
1997,15.3,6.8,50.1028568914117,1.042,54.9326278014606,17.6642018765929,37.2684259248677,91.96,4.7,2.04,2.7045187032419
1996,16.1,7.0,50.1291903577351,,55.3296443053036,17.5785266222289,37.7511176830748,91.797,5.0,2.12,2.68245386533666
