date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,51.9764603573316,,49.7751669461253,9.25603889368758,40.5191280524377,34.03,36.6,,454.938072575247
2017,18.083,7.21,51.9827140439253,1.099,50.2896372563245,8.99199929782594,41.2976379584985,33.6,38.7,2.243,450.243285831043
2016,18.332,7.195,51.9891067481379,1.099,50.8881370373707,8.74141019392031,42.1467268434504,33.182,41.1,2.266,445.484341397623
2015,18.625,7.194,51.9957324170576,1.099,51.6434417413448,8.51422675384031,43.1292149875045,32.777,43.6,2.295,440.655458615157
2014,18.984,7.212,52.0027300570418,1.099,52.4483667544744,8.35202953469299,44.0963372197814,32.384,46.3,2.333,435.762323968532
2013,19.416,7.251,52.0099746188937,1.099,53.3542663387602,8.22589670246659,45.1283696362937,32.003,49.1,2.381,430.798613273958
2012,19.923,7.312,52.016955916415,1.099,54.307844253388,8.1253704328536,46.1824738205344,31.634,52.1,2.439,425.732223638583
2011,20.495,7.393,52.0229438924468,1.099,55.2086374202875,8.03073264490108,47.1779047753864,31.276,55.1,2.506,420.520965360438
2010,21.114,7.492,52.0273824352288,1.1,55.9862600636258,7.92648810334624,48.0597719602796,30.93,58.2,2.581,415.136997635536
2009,21.755,7.602,52.0300513493831,1.1,56.8825137506843,7.87041962667066,49.0120941240137,30.587,61.4,2.661,409.568919241623
2008,22.39,7.72,52.0310415712793,1.101,57.7057028907067,7.81117338615373,49.8945295045529,30.246,64.6,2.743,403.832168478974
2007,22.996,7.839,52.0304760136593,1.101,58.4720498003484,7.74471512199742,50.727334678351,29.906,67.9,2.823,397.959589531782
2006,23.564,7.958,52.0286235610471,,59.2142970399348,7.66819485183319,51.5461021881016,29.569,71.1,2.899,391.998591075579
2005,24.087,8.074,52.0257101750194,,59.9417432152341,7.57791696150734,52.3638262537267,29.235,74.4,2.972,385.98607118953
2004,24.571,8.189,52.0217135786731,,60.8392023472969,7.52331645872395,53.3158858885729,28.903,77.7,3.041,379.936518016003
2003,25.034,8.306,52.016595523059,,61.7315764251635,7.45407599101452,54.2775004341489,28.572,81.1,3.109,373.848675664858
2002,25.489,8.427,52.0105836404454,1.112,62.6032528551153,7.36967779499309,55.2335750601223,28.244,84.5,3.176,367.725301443904
2001,25.944,8.555,52.0039810340705,,63.4281014254602,7.27345510196526,56.154646323495,27.918,88.0,3.244,361.564543470145
2000,26.401,8.692,51.9970261511295,,64.1803725759656,7.16735436386511,57.0130182121005,27.667,91.6,3.311,355.367651915956
1999,26.861,8.841,51.9898984387728,,65.1808233815779,7.10985268763048,58.0709706939474,27.453,95.2,3.379,349.139528923479
1998,27.324,9.003,51.9825965103866,,66.1515951085447,7.04820306038272,59.103392048162,27.24,98.8,3.446,342.892173389524
1997,27.789,9.179,51.9749536863836,1.111,67.0641950918761,6.97883655743574,60.0853585344403,27.028,102.4,3.514,336.641798875955
1996,28.262,9.37,51.9666741101982,,67.8836178170107,6.89732941905255,60.9862883979581,26.817,106.0,3.582,330.407825601458
1995,28.749,9.579,51.9575539855646,,68.5869359474168,6.80015439046323,61.7867815569535,26.607,109.4,3.651,324.204839919413
1994,29.258,9.808,51.9475399110586,,69.4566977544078,6.76969953235203,62.6869982220557,26.399,112.8,3.723,318.042853298982
1993,29.792,10.055,51.9367861897613,,70.1952381207558,6.72996114484946,63.4652769759064,26.191,116.0,3.799,311.922164409271
1992,30.348,10.316,51.9255429303197,1.106,70.8021575311115,6.6783086983411,64.1238488327704,25.984,119.3,3.877,305.835488482068
1991,30.924,10.588,51.9141771526078,,71.309031550229,6.61319579414133,64.6958357560877,25.778,122.6,3.959,299.770014361679
1990,31.517,10.864,51.9030003418191,1.1,71.733071448654,6.53345612635502,65.1996153222989,25.547,126.2,4.045,293.717454316744
1989,32.121,11.135,51.8921762408381,,72.3691795806565,6.53965288132885,65.8295266993276,25.305,129.9,4.132,287.68248177883
