date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.5913184722411,,71.5564988468894,5.70185121717822,65.8546476297112,70.473,26.7,,88.5305700354617
2017,29.693,4.826,50.5792951889672,1.065,72.4310593159324,5.57183363797724,66.8592256779552,70.278,27.6,3.762,86.5016316022141
2016,30.388,4.889,50.5671822327459,1.065,73.166684364586,5.45634498786648,67.7103393767195,70.094,28.5,3.864,84.3314214728393
2015,31.109,4.965,50.5555071564313,1.065,73.654100285337,5.38957897537412,68.2645213099629,69.921,29.5,3.972,81.9395670397835
2014,31.791,5.057,50.5441089663361,1.065,75.2271343972953,5.43510412693282,69.7920302703625,69.758,30.5,4.076,79.2668300149446
2013,32.378,5.164,50.532925701708,1.065,76.8332994141582,5.56040877085869,71.2728906432996,69.595,31.5,4.168,76.3762056428309
2012,32.834,5.281,50.5226620799014,1.065,78.5303425340529,5.74753858862884,72.782803945424,69.432,32.6,4.243,73.4251496592374
2011,33.152,5.401,50.5144245110016,1.065,80.3793347710311,5.94929561456767,74.4300391564635,69.268,33.7,4.301,70.7434610425493
2010,33.349,5.514,50.5091473912444,1.065,82.3656303235622,6.12519568206009,76.2404346415021,69.103,34.7,4.343,68.4794068889298
2009,33.464,5.608,50.5080098796275,1.065,82.6374776968,6.2042561802045,76.4332215165955,68.98,35.8,4.374,66.7092512433229
2008,33.558,5.677,50.5106349353808,1.065,82.8700992858365,6.23713347620255,76.6329658096339,68.927,36.9,4.403,64.9009900084597
2007,33.681,5.716,50.5147459937469,1.065,83.0171123512208,6.23166714118283,76.785445210038,68.873,37.9,4.437,63.816100784233
2006,33.854,5.728,50.5167456981759,,83.0907809458909,6.21088376656218,76.8798971793288,68.819,38.9,4.48,62.7572170016233
2005,34.092,5.716,50.5140630925042,,83.1509689034405,6.19100481213516,76.9599640913054,68.766,39.8,4.534,61.5549397535268
2004,34.396,5.686,50.5052398665675,,83.9168562646742,6.24490126272553,77.6719550019486,68.712,40.7,4.6,60.1637926698219
2003,34.742,5.653,50.4908868773943,,84.6756008339478,6.30577418323649,78.3698266507113,68.658,41.6,4.676,58.6334202162928
2002,35.104,5.627,50.4731123416799,1.065,85.4191380808135,6.3706837497952,79.0484543310183,68.604,42.5,4.758,57.0041818140247
2001,35.47,5.616,50.4555567957242,,86.0787274425034,6.43283551802032,79.6458919244831,68.55,43.4,4.847,55.349429544779
2000,35.821,5.627,50.4412771880553,,86.5947141734283,6.48654799717236,80.1081661762559,68.496,44.3,4.94,53.7247296339484
1999,36.136,5.662,50.4316210714461,,87.5499028817971,6.55893941905096,80.9909634627461,68.442,45.2,5.036,52.1344948213183
1998,36.407,5.719,50.4260992758994,,88.441257276918,6.63526081868236,81.8059964582357,68.388,46.1,5.133,50.5620504378444
1997,36.63,5.798,50.4238259529257,1.065,89.3272417731308,6.71565194285489,82.6115898302759,68.405,47.1,5.23,49.0193063081601
1996,36.808,5.902,50.4229186896471,,90.3337482264168,6.80183187919276,83.531916347224,68.593,48.0,5.325,47.5182865765828
1995,36.953,6.03,50.4219591885432,,91.5442644344515,6.89454623716754,84.6497181972839,68.78,48.9,5.419,46.0693188833253
1994,37.083,6.183,50.4210324725267,,92.7357284926689,7.02099608084205,85.7147324118268,68.966,49.8,5.513,44.6746233166427
1993,37.219,6.359,50.4212404828319,,94.1242026784821,7.16048310543258,86.9637195730495,69.152,50.7,5.607,43.3387863822393
1992,37.376,6.561,50.4229750569752,1.065,95.6420197888018,7.30844016741917,88.3335796213826,69.337,51.7,5.7,42.0758945515239
1991,37.557,6.79,50.4269022810474,,97.1362368298212,7.4569229419743,89.6793138878469,69.522,52.7,5.793,40.9023458399067
1990,37.755,7.063,50.4338998202721,1.065,98.4890702957148,7.59856447035645,90.8905058253583,69.706,53.7,5.882,39.8269497222032
1989,37.954,7.4,50.4421609676573,,99.1020406059281,7.728533407187,91.3735071987411,69.889,54.9,5.965,38.8571415506322
1988,38.137,7.804,50.452077160329,,99.5459492729242,7.84520377688524,91.700745496039,70.072,56.2,6.039,37.9823078857718
1987,38.298,8.261,50.469801696148,1.065,99.8496800538044,7.9434404606763,91.9062395931281,70.017,57.6,6.105,37.1700619612685
1986,38.443,8.746,50.5041118146064,,100.139659568794,8.01765683397217,92.1220027348217,69.396,59.2,6.164,36.3759791480897
1985,38.588,9.209,50.5610670021812,,100.516973330358,8.06313916734888,92.4538341630094,68.767,61.0,6.22,35.5666826714224
1984,38.757,9.588,50.6463360138867,,101.498759136684,8.17681768336012,93.3219414533243,68.132,62.9,6.276,34.7312184191874
1983,38.969,9.845,50.7569055511762,,102.529157986254,8.26387635810874,94.2652816281448,67.488,64.9,6.338,33.8744221139996
1982,39.24,9.966,50.8781520774066,1.065,103.450052531322,8.32127713771749,95.1287753936043,66.839,67.2,6.407,32.9983034958959
1981,39.575,9.959,50.987684165218,,103.937171494572,8.34729786951034,95.5898736250619,66.183,69.7,6.485,32.1103802272675
1980,39.971,9.86,51.0674158455494,,103.793083066253,8.34003023456867,95.4530528316847,65.521,72.4,6.569,31.2169421771041
1979,40.415,9.726,51.1078611855233,,104.350569437991,8.41929808743738,95.9312713505533,64.852,75.3,6.658,30.3155520497519
1978,40.891,9.622,51.1115899177322,,104.240416691944,8.46944670925103,95.7709699826929,64.178,78.6,6.748,29.4045773601299
1977,41.382,9.603,51.0870555178723,1.065,103.573776211896,8.48668528474685,95.087090927149,63.404,82.1,6.834,28.493197978828
1976,41.881,9.691,51.05055857416,,102.697295063066,8.46689113054181,94.2304039325238,62.398,85.8,6.915,27.5937444269154
1975,42.409,9.892,51.0155992783309,,101.88962185274,8.40626351485492,93.4833583378847,61.379,89.9,6.993,26.715572627295
1974,42.994,10.188,50.9859387262906,,100.721044524446,8.34545691024366,92.3755876142025,60.351,94.2,7.072,25.863826965727
1973,43.642,10.541,50.9581323450664,,99.3663032364995,8.24852608337241,91.1177771531271,59.313,98.6,7.153,25.0380410179025
1972,44.333,10.919,50.9311099666301,1.065,97.9008780539536,8.12093018566484,89.7799478682887,58.269,103.4,7.234,24.2350138326817
1971,45.028,11.315,50.9012560924967,,96.3541464242097,7.9736151000385,88.3805313241712,57.214,108.3,7.308,23.4489105334156
1970,45.644,11.724,50.86569056717,,94.6367265492565,7.8119952790995,86.8247312701569,56.154,113.4,7.362,22.6764135628873
1969,46.088,12.15,50.8248062064026,,93.8590518040752,7.67332354355075,86.1857282605244,55.089,119.0,7.383,21.916400301804
1968,46.301,12.604,50.7804334602822,,93.5451388845348,7.53002341180321,86.0151154727316,54.02,124.8,7.362,21.1735647163729
1967,46.258,13.097,50.7323526607794,1.065,93.377022564893,7.37047220592869,86.0065503589643,52.945,131.0,7.295,20.4572878798271
