date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.8407408708922,,67.4290802202976,46.1708625837332,21.2582176365645,91.616,2.5,,347.073458415624
2017,7.6,10.8,48.8477540653091,1.056,66.4554629240626,45.1252100619683,21.3302528620943,91.535,2.6,1.43,347.777586679833
2016,7.8,10.5,48.8549013074313,1.056,65.3061318795137,43.9579031689839,21.3482287105297,91.457,2.7,1.44,348.350096006144
2015,8.0,10.3,48.8625050444333,1.056,63.9578508093031,42.6607380090579,21.2971128002451,91.381,3.0,1.45,348.751920122888
2014,8.0,10.1,48.8706027364106,1.056,62.4198969298013,41.1729726586327,21.2469242711685,91.304,2.8,1.42,349.122229536976
2013,8.2,10.1,48.8792841140897,1.056,60.7497660649142,39.5855929210518,21.1641731438624,91.226,2.9,1.43,349.585802062761
2012,8.2,10.0,48.8889979550561,1.056,59.0341434265202,37.9740710634866,21.0600723630336,91.148,3.0,1.41,350.090520078999
2011,8.3,9.9,48.9002643025159,1.056,57.3917711337264,36.4491826427016,20.9425884910248,91.069,3.4,1.39,350.654908038568
2010,8.5,9.5,48.9134588632731,1.056,55.891578776353,35.0725986485915,20.8189801277615,90.812,3.2,1.39,351.30983404197
2009,8.5,9.1,48.9287675311078,1.056,54.4839327335742,33.7224658211221,20.7614669124521,89.989,3.3,1.37,351.294924554184
2008,8.7,9.1,48.9460391382377,1.056,53.2529944725622,32.5446485788649,20.7083458936974,89.103,3.4,1.37,351.338820301783
2007,8.63,8.71,48.9648314455027,1.056,52.1708168257523,31.4957257870038,20.6750910387485,88.146,3.5,1.34,351.168724279835
2006,8.65,8.53,48.9844882611911,,51.2051727794122,30.5097018352115,20.6954709442007,87.118,3.6,1.32,350.765432098765
2005,8.4132922190743,8.5307537586188,49.0045116693512,,50.3357743664217,29.5445156575026,20.7912587089191,85.978,3.7,1.26,350.543209876543
2004,8.69360456470183,8.05085979508934,49.0246468791116,,49.4218643621012,28.5358873574736,20.8859770046276,84.64,3.9,1.29,350.510288065844
2003,9.2,8.4,49.044923795999,,48.6286522961659,27.5838917255207,21.0447605706452,83.196,4.0,1.29,350.39231824417
2002,9.3,8.1,49.0654587826589,1.056,47.9222961607371,26.6711020722342,21.251194088503,81.647,4.1,1.32,349.643347050754
2001,9.3,7.7,49.0864544154594,,47.2459862269781,25.7787260475856,21.4672601793925,79.99,4.3,1.33,348.831275720165
2000,9.4,7.7,49.1080028061818,,46.5594915841612,24.8923167356709,21.6671748484903,78.649,4.5,1.359,347.991769547325
1999,9.3,7.8,49.1301933996027,,45.9533157777343,24.0035027597096,21.9498130180247,78.523,4.7,1.342,347.410150891632
1998,9.6,7.5,49.152727561308,,45.3774034197182,23.1264487134284,22.2509547062898,78.398,5.0,1.384,346.776406035665
1997,9.5,7.3,49.1748373793947,1.056,44.8379518199093,22.2605247509891,22.5774270689202,78.272,5.2,1.388,345.835390946502
1996,9.6,7.1,49.1955191690376,,44.360731360207,21.4115547014927,22.9491766587144,78.145,5.5,1.425,345.012345679012
1995,9.54,7.41,49.2140749571445,,43.9754301859771,20.5844714444141,23.390958741563,78.016,5.7,1.422,344.04552934723
1994,10.0,7.1,49.230041710905,,43.6928783408039,19.8004097054103,23.8924686353936,77.881,5.9,1.5,342.734503565551
1993,9.6,7.1,49.2436615131199,,43.4519802106393,19.0381188484737,24.4138613621656,77.746,6.0,1.458,341.568842567197
1992,9.8,6.9,49.2558554806341,1.056,43.2993490168349,18.3107058959915,24.9886431208434,77.61,6.1,1.502,340.726823916621
1991,9.9,6.7,49.2679558731897,,43.3250339185579,17.6401633383305,25.6848705802274,77.473,6.2,1.53,339.882062534284
1990,10.0,6.7,49.2808772719716,1.056,43.5616542785468,17.0385140159623,26.5231402625845,77.339,6.3,1.54,338.828853538124
1989,10.2,6.4,49.294995199725,,43.9518840391073,16.4785727403728,27.4733112987345,77.213,6.4,1.57,337.674163466813
1988,10.8,6.5,49.3098448040281,,44.6165224810384,15.9993054425081,28.6172170385304,77.088,6.6,1.66,336.294569391114
1987,11.1,6.7,49.3245383704854,1.056,45.4233026399253,15.5809687251934,29.8423339147319,76.962,6.8,1.69,334.862863411958
1986,11.4,6.2,49.3377729701901,,46.1129694804626,15.1932137541407,30.9197557263219,76.835,7.1,1.72,333.128598848369
1985,11.9,6.2,49.3485799056136,,46.5277578571345,14.815115882811,31.7126419743235,76.712,7.5,1.76,331.195831047724
1984,12.5,6.2,49.3566068130999,,47.0984350179138,14.4825332895422,32.6159017283717,76.603,7.9,1.81,329.086920756786
1983,12.7,6.2,49.3621153076956,,47.4074415400867,14.1697759358436,33.2376656042431,76.493,8.3,1.8,325.666302566903
1982,12.8,6.0,49.3655019536182,1.056,47.5352720017864,13.8639473911558,33.6713246106306,76.383,8.8,1.77,323.454396504642
1981,13.0,6.1,49.3674395283974,,47.7242927357889,13.5473516583046,34.1769410774843,76.273,9.3,1.74,321.091703056769
1980,13.5,6.1,49.3684049277056,,48.1451956877877,13.2060198691552,34.9391758186325,76.175,9.9,1.75,318.815178815179
1979,14.1,5.9,49.3686218074447,,48.1465962146736,12.8605871115915,35.2860091030821,76.118,10.5,1.77,316.239082969432
1978,14.8,6.0,49.3678763221244,,48.1982621316642,12.4900780245831,35.708184107081,76.06,11.1,1.79,313.586244541485
1977,15.4,6.0,49.365715588833,1.056,48.2037620220073,12.1029341072665,36.1008279147408,76.002,11.8,1.8,310.761462882096
1976,16.2,6.2,49.3614688844986,,47.9463595364037,11.7171966065182,36.2291629298855,75.944,12.5,1.85,307.697135061392
1975,17.0,6.2,49.3546941510387,,47.2950495770741,11.3441544359515,35.9508951411226,75.716,13.3,1.909,305.429740791269
1974,18.4,6.4,49.3452356568691,,46.8731649520487,11.0426202827518,35.8305446692969,74.975,14.1,2.05,300.496453900709
1973,19.4,6.6,49.3334192409476,,46.2578688929789,10.7571303231513,35.5007385698276,74.22,14.9,2.14,294.814511729405
1972,19.2,6.4,49.3198518226684,1.056,45.589822827503,10.4853508424333,35.1044719850697,73.452,15.7,2.14,292.384069830878
1971,19.1,6.5,49.3054457125028,,45.0961848915578,10.2221887879883,34.8739961035695,72.666,16.5,2.16,288.238341968912
1970,18.7,6.9,49.2910356939523,,44.9051652674328,9.96277196155834,34.9423933058744,71.877,17.4,2.135,284.55140441778
1969,18.5,6.8,49.2767200968632,,44.8558700099264,9.76239015274367,35.0934798571828,71.102,18.5,2.13,281.352604308699
1968,18.7,6.8,49.2626072370333,,45.0845861613673,9.57266264778013,35.5119235135872,70.316,19.6,2.13,275.59585492228
1967,19.4,6.7,49.2495860265334,1.056,45.5848659034372,9.39396383820768,36.1909020652296,69.516,21.0,2.02,274.679574584129
1966,13.8,6.8,49.2387526315671,,46.2930922509961,9.22791141432098,37.0651808366751,68.704,22.7,1.58,272.129806381238
1965,18.7,7.1,49.2308323807142,,47.1295016813365,9.07350373144538,38.0559979498912,67.866,24.6,2.139,269.656394873193
1964,17.8,6.9,49.2263261177143,,48.5571674026948,8.99564020111906,39.5615272015757,66.972,27.0,2.05,266.77392964276
1963,17.4,7.0,49.2248537396562,,50.2996390632072,8.93597117697183,41.3636678862353,66.064,29.7,2.02,264.008726479411
1962,17.1,7.5,49.2250921937118,1.056,52.2418804966702,8.88589166793757,43.3559888287326,65.144,32.8,2.01,261.336242159804
1961,17.0,7.4,49.2250460376177,,54.1738531810498,8.83280927679613,45.3410439042536,64.213,36.2,2.05,258.911917098446
1960,17.3,7.6,49.2231398101741,,55.9690048170013,8.76670219590523,47.202302621096,63.272,39.7,2.001,
