date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.1514303965746,,65.2690595754394,6.53246975576352,58.7365898196759,54.057,52.5,,143.020987654321
2017,28.294,6.396,49.1331809063275,1.06,63.8553179273719,6.26668580450696,57.5886321228649,53.262,54.3,3.61,140.935802469136
2016,28.663,6.481,49.1233370953265,1.062,62.8823299509286,6.01739936018992,56.8649305907387,52.45,55.8,3.651,138.918518518519
2015,28.98,6.578,49.1232973036321,1.064,62.7518009360466,5.77913408353996,56.9726668525066,51.619,57.5,3.692,136.950617283951
2014,29.23,6.68,49.1283242067156,1.066,62.8448083364347,5.77000372162263,57.0748046148121,50.773,59.0,3.73,135.050617283951
2013,29.413,6.781,49.1440117901137,1.068,63.7276921209178,5.77273279106471,57.9549593298531,49.927,60.6,3.765,133.197530864198
2012,29.531,6.875,49.1655619176562,1.07,65.0605961857766,5.81288890957901,59.2477072761976,49.082,62.1,3.796,131.320987654321
2011,29.592,6.959,49.1879505418437,1.07,65.9346579205882,5.86082327217416,60.073834648414,48.235,63.5,3.822,129.293827160494
2010,29.605,7.031,49.2081997474011,1.07,65.7492994943476,5.91162356275564,59.837675931592,47.39,64.7,3.843,127.07037037037
2009,29.581,7.091,49.2251902346227,1.07,66.4550177290344,5.92891894120557,60.5260987878288,46.547,65.6,3.859,124.604938271605
2008,29.54,7.143,49.2436208991495,1.07,66.3203098686426,5.92960592792186,60.3907039407208,45.706,66.2,3.872,121.927160493827
2007,29.503,7.194,49.2536076493562,1.07,65.7912816461131,5.9255951358593,59.8656865102539,44.866,66.3,3.883,119.169135802469
2006,29.492,7.247,49.2606607943524,,66.0208355330306,5.92334494773519,60.0974905852955,44.03,66.2,3.895,116.472839506173
2005,29.521,7.311,49.2672147661911,,67.955248317264,5.94506094233218,62.0101873749318,43.551,66.1,3.909,113.981481481481
2004,29.604,7.39,49.2662821277818,,69.0685248841728,5.99686145568674,63.071663428486,43.532,66.3,3.927,111.727160493827
2003,29.745,7.488,49.2593426384511,,71.0470579174368,6.01702094886014,65.0300369685767,43.512,66.8,3.95,109.672839506173
2002,29.947,7.609,49.2509277500344,1.07,73.4444532739987,5.99769548633185,67.4467577876669,43.492,68.0,3.979,107.783950617284
2001,30.219,7.752,49.2591211965892,,75.3774182345611,5.92224877939164,69.4551694551695,43.473,69.4,4.015,105.986419753086
2000,30.579,7.918,49.2767016172028,,76.2914377624131,5.8112088233451,70.4802289390679,42.958,71.4,4.058,104.192592592593
1999,31.044,8.105,49.3208306716967,,77.8949850989473,5.94970090692738,71.9452841920199,41.54,73.4,4.11,102.434567901235
1998,31.609,8.308,49.388165477329,,79.0354093034487,6.06985269905385,72.9655566043949,40.138,75.6,4.17,100.686419753086
1997,32.255,8.521,49.4625130942286,1.07,79.6786770637268,6.1620507304831,73.5166263332437,38.752,77.7,4.235,98.9962962962963
1996,32.961,8.741,49.5209368346345,,80.0821636425882,6.21476663243182,73.8673970101563,37.386,79.7,4.304,97.4111111111111
1995,33.696,8.964,49.5650831231664,,80.4448262252455,6.22896013744109,74.2158660878044,36.409,81.7,4.374,95.9543209876543
1994,34.429,9.188,49.5708770282256,,80.493431894157,6.33033570318753,74.1630961909694,36.123,83.7,4.445,94.6543209876543
1993,35.126,9.413,49.5542259381067,,80.4093497581548,6.36660392194239,74.0427458362124,35.839,86.1,4.512,93.4765432098765
1992,35.756,9.637,49.5191728971338,1.07,80.0158909782583,6.31786771964462,73.6980232586136,35.555,88.8,4.576,92.3037037037037
1991,36.293,9.861,49.4856972262932,,79.090113735783,6.20200252746185,72.8881112083212,35.272,91.9,4.635,90.9777777777778
1990,36.719,10.087,49.4681879713788,1.07,77.6599921476247,6.05614448370632,71.6038476639183,34.987,95.5,4.688,89.3827160493827
1989,37.027,10.319,49.4657652189869,,77.1945180813285,6.14214975241334,71.0523683289151,34.695,99.5,4.738,87.4728395061728
1988,37.23,10.557,49.4752992603529,,76.2879232476844,6.23612564109107,70.0517976065933,34.405,103.6,4.784,85.2950617283951
1987,37.342,10.802,49.5003271667361,1.07,75.2253895460941,6.28485069571108,68.940538850383,34.116,107.6,4.829,83.0222222222222
1986,37.369,11.05,49.5160600879336,,74.6473991521583,6.30548964193351,68.3419095102248,33.828,111.0,4.871,80.8703703703704
1985,37.321,11.293,49.5085092750316,,74.9159399688363,6.29561794374129,68.620322025095,33.541,113.8,4.912,78.9950617283951
1984,37.207,11.522,49.4812335644274,,74.5118762863659,6.16621238248874,68.3456639038772,33.284,116.2,4.952,77.4617283950617
1983,37.039,11.731,49.4282104444732,,74.7176860159058,6.03684940423966,68.6808366116662,33.032,117.9,4.988,76.2135802469136
1982,36.824,11.917,49.3619327606878,1.07,75.1488651727411,5.92296407099502,69.2259011017461,32.782,119.2,5.022,75.1691358024691
1981,36.569,12.079,49.3203108101363,,75.2252120929419,5.83364916474738,69.3915629281945,32.532,120.1,5.051,74.2024691358025
1980,36.242,12.216,49.290002698327,,74.6458548078339,5.73994993373583,68.9059048740981,32.284,120.8,5.07,73.2111111111111
1979,35.798,12.329,49.28423609092,,75.6957384143776,5.89349041293502,69.8022480014426,32.036,121.3,5.072,72.1740740740741
1978,35.231,12.429,49.3065801121275,,76.7640201251687,6.06209350840594,70.7019266167628,31.596,121.9,5.058,71.1333333333333
1977,34.576,12.526,49.3419545798904,1.05,77.9547307041194,6.2198256944009,71.7349050097185,30.925,122.7,5.031,70.079012345679
1976,33.892,12.633,49.3830692750617,,79.5255369009021,6.36897691887901,73.1565599820231,30.262,123.5,4.999,69.041975308642
1975,33.289,12.764,49.4139420111043,,81.5947281713344,6.49752883031302,75.0971993410214,29.606,124.8,4.978,68.041975308642
1974,32.89,12.931,49.4294548533147,,83.8680203045685,6.54822335025381,77.3197969543147,28.96,126.5,4.985,67.0777777777778
1973,32.785,13.142,49.4361253220807,,86.2907433819181,6.58851358402616,79.702229797892,27.997,128.6,5.034,66.1148148148148
1972,33.032,13.403,49.4362861203221,1.05,88.7156750572082,6.61112700228833,82.1045480549199,26.654,131.3,5.13,65.1604938271605
1971,33.646,13.718,49.4372727447623,,91.081865970665,6.63897364261295,84.4428923280521,25.348,134.7,5.273,64.1728395061728
1970,34.622,14.091,49.4270853701459,,93.3363571077598,6.69766035453755,86.6386967532222,24.088,138.7,5.457,63.1493827160494
1969,35.919,14.524,49.4340223208069,,95.3633890400311,6.78585308977847,88.5775359502526,22.871,143.2,5.673,62.058024691358
1968,37.425,15.006,49.420513028326,,96.9792498004789,6.89545091779729,90.0837988826816,21.863,148.2,5.902,60.941975308642
1967,39.021,15.524,49.4225564531124,1.05,98.2028819387588,7.01244473554937,91.1904372032094,21.097,153.8,6.125,59.7740740740741
1966,40.624,16.068,49.4191317548335,,98.9430860210544,7.10900473933649,91.8340812817179,20.351,159.6,6.329,58.5604938271605
1965,42.157,16.624,49.4044670356889,,99.1720646904895,7.18973874994638,91.9823259405431,19.625,165.9,6.501,57.3197530864198
