date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,60.4518293752903,,31.7338277520188,3.35983733345051,28.3739904185683,100.0,7.9,,232.172222222222
2017,14.651,2.601,59.8780553349004,1.045,31.2420847319535,3.1267937768925,28.115290955061,100.0,8.1,2.083,227.614870931538
2016,15.369,2.518,59.3061117623005,1.045,30.7858309149683,2.9321822136138,27.8536487013545,100.0,8.3,2.082,222.046745230079
2015,16.086,2.451,58.8172921596376,1.045,30.4176530071683,2.76340816713737,27.6542448400309,100.0,8.6,2.083,215.240796857464
2014,16.807,2.403,58.4333146659969,1.045,30.9916303869868,2.69869712562724,28.2929332613596,100.0,8.9,2.09,207.123569023569
2013,17.537,2.376,58.1395322457975,1.045,31.720017017926,2.66851986252683,29.0514971553991,100.0,9.2,2.109,197.888776655443
2012,18.265,2.369,57.9412586761075,1.045,32.5292188506058,2.65924882038277,29.8699700302231,100.0,9.6,2.139,187.926655443322
2011,18.972,2.38,57.8350937199934,1.045,33.2334101681914,2.66079071353803,30.5726194546533,100.0,10.0,2.182,177.781144781145
2010,19.61,2.404,57.8188191788184,1.045,33.7159043626058,2.67102511605623,31.0448792465496,100.0,10.4,2.234,167.894725028058
2009,20.129,2.437,57.9236175581993,1.045,34.6116865511185,2.73604267041277,31.8756438807057,100.0,10.7,2.291,158.307800224467
2008,20.509,2.472,58.1663849157194,1.045,35.440731622244,2.81145653366731,32.6292750885767,100.0,10.9,2.347,149.046520763187
2007,20.751,2.504,58.4978750220645,1.045,36.3453409614996,2.890346833997,33.4549941275026,100.0,11.1,2.399,140.51734006734
2006,20.878,2.53,58.8216683005703,,37.5658149814458,2.96149305613913,34.6043219253066,100.0,11.3,2.447,133.202693602694
2005,20.962,2.548,59.0466638122876,,39.1579654550559,3.01174096563527,36.1462244894206,100.0,11.4,2.494,127.396071829405
2004,21.103,2.557,59.1088471791385,,39.5319875311657,2.85761027537456,36.6743772557912,100.0,11.6,2.548,123.484399551066
2003,21.365,2.561,59.0126599143423,,40.2889856039376,2.69126280634304,37.5977227975946,100.0,11.8,2.614,121.303367003367
2002,21.77,2.561,58.8136777365932,1.045,41.2503949332216,2.52724213008803,38.7231528031336,100.0,11.9,2.69,119.921268237935
2001,22.294,2.558,58.6039948214045,,42.1337202348169,2.38087675894772,39.7528434758692,99.908,12.1,2.772,118.029292929293
2000,22.817,2.551,58.4464601884581,,42.7696910845167,2.25513678189245,40.5145543026242,99.0,12.4,2.845,114.765600448934
1999,23.173,2.539,58.3624968103781,,43.4744796425996,2.16045820416139,41.3140214384382,98.862,12.7,2.89,109.519416386083
1998,23.248,2.52,58.3300612029462,,44.0732388958303,2.07818632156379,41.9950525742665,98.705,13.0,2.895,102.756397306397
1997,23.008,2.497,58.3118794426803,1.042,44.8468495020894,2.01501777707765,42.8318317250117,98.527,13.4,2.861,95.9739618406285
1996,22.504,2.473,58.2405471159745,,45.9548908606443,1.98792424391951,43.9669666167248,98.325,13.9,2.796,91.2938832772166
1995,21.885,2.453,58.0674347891877,,47.2463419956685,2.00903704491565,45.2373049507529,98.096,14.3,2.72,90.1179012345679
1994,21.358,2.44,57.7969437788374,,,,,98.029,14.7,2.66,
1993,21.129,2.438,57.4915364770646,,,,,98.016,15.2,2.641,
1992,21.341,2.452,57.2103481182268,1.04,,,,98.002,15.8,2.682,
1991,22.041,2.485,56.9865952640111,,54.0828664491161,2.17285108100195,51.9100153681141,97.988,19.3,2.791,113.989674523008
1990,23.225,2.537,56.8209129739662,1.04,56.8235093360157,2.08791751614381,54.7355918198719,97.974,17.5,2.967,117.583838383838
1989,24.824,2.612,56.693660985882,,58.8734949820081,2.14004828203999,56.7334466999681,97.96,18.5,3.205,117.439786756453
1988,26.662,2.705,56.5888886158685,,60.689695473602,2.16737067124052,58.5223248023615,97.946,19.5,3.482,114.18950617284
1987,28.567,2.816,56.5131754031634,1.04,62.3296358839845,2.17593875557066,60.1536971284139,97.932,20.5,3.777,108.805218855219
1986,30.44,2.942,56.4837019224997,,63.5083016396251,2.19039069373973,61.3179109458854,97.917,21.6,4.074,102.823232323232
1985,32.161,3.081,56.5172842622335,,63.8650946915148,2.23274612475389,61.6323485667609,97.903,23.0,4.357,97.3778900112233
1984,33.637,3.233,56.6463698816693,,65.3540627667869,2.33746580874515,63.0165969580417,97.551,24.8,4.61,92.7132435465769
1983,34.866,3.395,56.8671665689057,,66.566464219699,2.46886717718511,64.0975970425139,97.034,27.2,4.83,88.4942760942761
1982,35.875,3.566,57.1083471076573,1.04,67.7957707289928,2.60200333889816,65.1937673900946,96.414,29.9,5.018,84.6040965207632
1981,36.693,3.745,57.2533546765379,,69.5844428211231,2.71767561326201,66.8667672078611,95.67,33.0,5.177,80.7705387205387
