date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.2106351938357,,57.9256619609197,6.43570755725485,51.4899544036649,35.004,47.3,,30.5957842287695
2017,23.955,6.508,50.2159705601773,1.05,58.4145546541133,6.32319915135975,52.0913555027535,34.368,49.3,2.709,30.125801559792
2016,24.337,6.593,50.2007932399317,1.05,59.0277208324729,6.22143168588276,52.8062891465901,33.736,51.3,2.751,29.6613778162912
2015,24.71,6.691,50.1547656486421,1.05,59.8683140220144,6.13306905071219,53.7352449713022,33.108,53.6,2.796,29.2078162911612
2014,25.091,6.803,50.0716516538316,1.05,60.8626625735629,6.09822722346898,54.7644353500939,32.487,56.1,2.847,28.7684402079723
2013,25.496,6.93,49.9568587415778,1.05,62.1330271761586,6.08901311652488,56.0440140596337,31.872,58.9,2.907,28.3418717504333
2012,25.932,7.07,49.825208273625,1.05,63.6438798692683,6.09866122179921,57.5452186474691,31.264,61.8,2.977,27.9225736568458
2011,26.399,7.225,49.6995382795668,1.05,65.285168914582,6.1190150019282,59.1661539126538,30.66,64.8,3.056,27.5024566724437
2010,26.875,7.394,49.5974984189895,1.05,66.9779997798268,6.14464952379527,60.8333502560315,30.064,68.1,3.143,27.0761048526863
2009,27.329,7.574,49.5248121489355,1.05,68.9843688806744,6.21380622908694,62.7705626515875,29.475,71.5,3.234,26.6404809358752
2008,27.743,7.765,49.4789163550606,1.05,71.1673457741061,6.293505762647,64.8738400114591,28.893,75.0,3.327,26.1985268630849
2007,28.115,7.967,49.4587170623807,1.05,73.5135204552194,6.37820265855976,67.1353177966596,28.316,78.7,3.421,25.758006932409
2006,28.46,8.181,49.4604841710036,,75.9642393179681,6.45816101336781,69.5060783046003,27.748,82.5,3.516,25.3296100519931
2005,28.811,8.408,49.4801775135069,,78.4659072750364,6.52448785125431,71.9414194237821,27.186,86.4,3.615,24.9206065857886
2004,29.21,8.651,49.520089279801,,80.7885821932023,6.60505435910535,74.183527834097,26.242,90.4,3.724,24.5329636048527
2003,29.7,8.912,49.5806614735755,,82.927981357658,6.66583785571079,76.2621435019472,25.126,94.4,3.845,24.1622183708839
2002,30.314,9.193,49.6519453794814,1.05,84.8526545005214,6.70510945122454,78.1475450492969,24.044,98.5,3.983,23.8008925476603
2001,31.067,9.497,49.7205145534296,,86.6521979908323,6.72534646325411,79.9268515275782,22.993,102.6,4.137,23.4383968804159
2000,31.985,9.827,49.775954735249,,88.4279466708951,6.72768857660219,81.7002580942929,21.977,106.7,4.311,23.0662911611785
1999,33.082,10.192,49.8121134085109,,89.8243470347118,6.77448653822795,83.0498604964839,20.991,110.9,4.506,22.6834748700173
1998,34.327,10.589,49.8303172588117,,90.9869461738958,6.80485860860907,84.1820875652868,20.039,115.0,4.717,22.2903032928943
1997,35.669,11.013,49.8372376496641,1.05,91.852913836063,6.81601389460296,85.03689994146,19.12,119.3,4.939,21.881780762565
1996,37.056,11.456,49.8445928846586,,92.2891252762275,6.80465421555263,85.4844710606749,18.234,123.7,5.165,21.4523180242634
1995,38.417,11.904,49.8610227594189,,92.194912061547,6.76790990026372,85.4270021612833,17.378,128.3,5.385,20.9986265164645
1994,39.68,12.342,49.8902094814496,,92.6254495995041,6.80763710064806,85.8178124988561,16.854,133.0,5.589,20.5192590987868
1993,40.792,12.757,49.9285056578583,,92.7131038573539,6.82567219937956,85.8874316579743,16.49,137.8,5.772,20.0170883882149
1992,41.712,13.141,49.9691357064546,1.05,92.524513945602,6.82168101860626,85.7028329269957,16.133,142.8,5.928,19.4989211438475
1991,42.418,13.493,50.0007307214001,,92.1290560342558,6.79808012916133,85.3309759050945,15.782,147.9,6.054,18.9741594454073
1990,42.902,13.817,50.0145944401171,1.05,91.5429961416775,6.75620241754624,84.7867937241313,15.437,153.0,6.151,18.4509185441941
1989,43.18,14.124,50.0060524131732,,91.8625269041759,6.80356370524102,85.0589631989349,15.098,158.2,6.222,17.9326039861352
1988,43.306,14.429,49.9772309955912,,92.1365576455882,6.84188343772877,85.2946742078594,14.766,163.4,6.274,17.421191507799
1987,43.335,14.74,49.9336325671548,1.05,92.3496121270685,6.86690966902134,85.4827024580471,14.439,168.4,6.313,16.9217071057192
1986,43.3,15.057,49.8847979707997,,92.4662085729736,6.87150684959302,85.5947017233805,14.118,173.5,6.342,16.4393327556326
1985,43.227,15.374,49.8388102244943,,92.454309102276,6.84974684878664,85.6045622534894,13.804,178.5,6.361,15.9787608318891
1984,43.134,15.681,49.798832506347,,92.6057922726018,6.86321897230824,85.7425733002936,13.504,183.5,6.369,15.5386308492201
1983,43.029,15.966,49.763117100441,,92.6524508391379,6.85723780597537,85.7952130331625,13.214,188.6,6.363,15.1208968804159
1982,42.921,16.221,49.7308444419355,1.05,92.572421508922,6.82871812060777,85.7437033883143,12.93,193.8,6.345,14.7365294627383
1981,42.827,16.445,49.6996256491561,,92.372069007833,6.7765048287423,85.5955641790907,12.65,199.2,6.315,14.3993327556326
1980,42.763,16.64,49.6672497175543,,92.046173923192,6.69880262321829,85.3473712999737,12.377,204.7,6.277,14.1167417677643
1979,42.739,16.81,49.6343844773115,,90.679026144195,6.55982916145479,84.1191969827402,12.107,210.5,6.233,13.896568457539
1978,42.75,16.965,49.6025672502034,,89.2690650696161,6.40464732630015,82.864417743316,11.843,216.5,6.186,13.7298223570191
1977,42.788,17.114,49.5719008533282,1.05,87.754733022788,6.23310062388485,81.5216323989031,11.584,,6.139,13.5868370883882
1976,42.849,17.263,49.5417820547654,,86.0515365445264,6.04759814919434,80.003938395332,11.331,,6.096,13.4270927209705
1975,42.921,17.417,49.5114502866217,,84.1392048814515,5.8492818058281,78.2899230756234,11.081,,6.059,13.2217374350087
1974,42.988,17.577,49.480351311601,,84.1350782968014,5.82374785450265,78.3113304422987,10.837,,6.029,12.9591204506066
1973,43.037,17.745,49.4481188563787,,83.9441202582652,5.7880937663629,78.1560264919023,10.597,,6.006,12.6485571923744
1972,43.061,17.918,49.41531419206,1.05,83.6214820071901,5.73983367784487,77.8816483293453,10.295,,5.99,12.3086698440208
1971,43.058,18.097,49.3826440919478,,83.2242517347258,5.67250845224853,77.5517432824772,9.955,,5.979,11.968219237435
1970,43.028,18.282,49.3509406422859,,82.7512463581327,5.58111490422722,77.1701314539055,9.625,,5.974,11.648301559792
1969,42.98,18.47,49.3211847745118,,82.8561021256641,5.53857554962884,77.3175265760353,9.304,,5.972,11.3537001733102
1968,42.927,18.661,49.2928198619783,,82.9728766546872,5.47626510490241,77.4966115497848,8.994,,5.973,11.0782149046794
1967,42.882,18.853,49.2663982567372,1.05,83.0291301989415,5.39311841198634,77.6360117869552,8.692,,5.973,10.8185441941075
1966,42.855,19.046,49.2419021505848,,82.8922851750684,5.29122824907643,77.6010569259919,8.4,,5.974,10.5684402079723
1965,42.854,19.241,49.2193356294379,,82.4640753322898,5.1725088605501,77.2915664717397,8.323,,5.973,10.3231975736568
1964,42.883,19.442,49.1988224156979,,82.5594950452175,5.10885459486259,77.4506404503549,8.246,,5.971,10.0829159445407
1963,42.941,19.649,49.1806372264392,,82.4381627710269,5.03597641911445,77.4021863519125,8.17,,5.969,9.84987435008665
1962,43.03,19.865,49.1652195758632,1.05,82.1071920503739,4.95097074642529,77.1562213039486,8.095,,5.966,9.62359185441941
1961,43.152,20.089,49.1524830210935,,81.6211765178446,4.84776365206563,76.773412865779,8.02,,5.964,9.40357019064125
1960,43.308,20.321,49.1430492453175,,81.0077006649216,4.72255672658159,76.2851439383401,7.946,,5.961,
