date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.4938725000996,,42.4456554026782,15.2620287721301,27.0644529713774,62.4450990246255,10.4773180954247,,51.408720555305
2017,13.1496308870028,7.40523087675624,50.4998449740354,1.10201401475148,41.6414310387279,14.512195708625,27.0068730906551,61.5864821123801,10.9977936491986,1.74823863779713,51.131386767709
2016,13.5326804338135,7.37286418297219,50.5052686841256,1.10491695887677,40.8971145890625,13.8145864728865,26.9545275690109,60.7087954239268,11.6922720456193,1.74542959805495,50.8133128443856
2015,13.0679884821682,7.386826774455,50.5109561069099,1.1058811986588,40.2635220493069,13.2068804076199,26.9220439652185,59.8225736921212,12.2525556416492,1.74010316273884,50.4981695189028
2014,13.2964168968734,7.40451451672426,50.5174186415756,1.10854350977829,39.8292706083571,12.7360008860983,26.9526480666142,58.9320780826094,12.9890575015349,1.73369439978804,50.1935976269789
2013,13.1314646591586,7.39515036919959,50.5241441592969,1.1104366150389,39.5442708277038,12.3618422209262,27.0365712566437,58.0378123285694,13.7361503083043,1.72356636405944,49.8888018993992
2012,13.195228458297,7.41155421729041,50.5294447266308,1.1126104070718,39.3976765136977,12.0672474038909,27.1790436559594,57.1401554975382,14.5491753851849,1.71952616023914,49.589800903286
2011,13.0738488738721,7.41158203917546,50.530788774194,1.11460344880672,39.354321274409,11.8216683494371,27.372774294871,56.2335557479902,15.4328866129706,1.70809555463846,49.2953005494076
2010,13.0956730273857,7.4454714378896,50.5267683848952,1.11657957195719,39.3930491760223,11.6032589385575,27.6170753704368,55.3033034216565,16.3930366234934,1.70719119736986,49.0032878677306
2009,13.2515794823438,7.42497399091123,50.5165111706941,1.11902319070011,39.6437001098515,11.4690298124775,27.9909398917464,54.3166117752474,17.3853712288246,1.70404700688997,48.7116489733576
2008,13.2772688828762,7.4463145647587,50.501424463534,1.12122143585902,39.9827471460231,11.3810082384796,28.4035634682337,53.3301132437231,18.5828056362908,1.70223450825416,48.4063365129518
2007,13.2176695111686,7.38193031740559,50.4830274992946,1.12353141909848,40.4525317347097,11.3240671442454,28.9159988820901,52.3440507637772,19.8726040830481,1.69355301157598,48.1058075632182
2006,13.1898945199643,7.35427703448908,50.4649452876349,,41.1327034313972,11.2710546329591,29.6428504812402,51.3654299608729,21.3212313395438,1.68729191711727,47.8099975752714
2005,13.4105852292188,7.24182138344444,50.4497217326264,,42.034451880117,11.1976134341954,30.6231090090315,50.3825210414844,22.9911861617583,1.68850502753962,47.5041357833575
2004,13.4224116175104,7.18287153088342,50.4383042032621,,43.173823841,11.1448352153401,31.8223464320985,49.3854216875097,25.0127882012397,1.69670078255301,47.1997355811967
2003,13.5414815022947,7.22027169687026,50.4304129997504,,44.6020920461193,11.0622236588309,33.3525789044555,48.4003522445484,26.9146479582268,1.69891611567826,46.8984258894489
2002,13.8731925000806,7.16562434061329,50.4255195303114,1.11694252501482,46.1620089346144,10.9506600232079,35.045053074279,47.4316649323505,29.053214979848,1.70391369284754,46.5936612454965
2001,14.252243148575,7.20263010451154,50.4227843113284,,47.5223632482523,10.8217839904894,36.5425620410628,46.4809615046913,31.3090457288888,1.70963947608058,46.2819982036013
2000,14.7498647190555,7.21719814975855,50.4218766007199,,48.4723180120172,10.6813283417135,37.6233526646966,45.6030444289601,33.550164845316,1.72127346009172,45.9498919480496
1999,15.2181830329079,7.20035136840229,50.4226973631277,,49.6305086031306,10.581003567983,38.8783852356095,44.8507404631179,35.6939604434229,1.7327763382157,45.5793800505017
1998,16.0160864940545,7.16320201877302,50.4258631215031,,50.3858533024058,10.4736702100493,39.7230076559922,44.1204219464819,37.7219413236904,1.75625350084119,45.2037511123608
1997,16.7330870075691,7.21150391688586,50.4298373658832,1.10790734584727,50.8837260559164,10.3568941952815,40.3087154861489,43.4046919815181,39.678934186159,1.77850284192674,44.7953095537959
1996,17.169777424272,7.29492122354684,50.4331033509322,,51.5330789553333,10.2243543315313,41.0691744573865,42.7047525963374,41.5467018123814,1.81335955251955,44.3680096222074
1995,17.4610363177847,7.37018437091931,50.4348266298487,,52.635034988774,10.069547013411,42.3297199563298,42.020940607232,43.3361177576571,1.86382805627296,43.9331878268185
1994,18.0549505677178,7.36329826304594,50.4284949698627,,53.1567525437265,9.93348828338495,42.9677411664294,41.3009532487954,45.0565099753707,1.93644175420441,43.4473460054037
1993,18.4565044581635,7.37348760533505,50.4260979650725,,53.8208275006917,9.77516785689735,43.7824065827578,40.63438355674,46.635911234209,2.02454003837196,42.9822670751602
1992,18.8426411404792,7.19415275772497,50.4220074955973,1.09418981338029,54.5347971706376,9.60762092197611,44.6623594516162,39.9770702528924,48.0848642583854,2.14810610294573,42.5069992121111
1991,19.9631496401661,7.18972163931869,50.4235538789108,,55.0407700339714,9.43759030355576,45.3296214282959,39.3916314371166,49.2939849123171,2.28564575550818,42.0567301663237
1990,21.103266142857,7.14070492909406,50.4168362657577,1.08511934702954,55.1456921013123,9.28960334055194,45.5561498112472,38.7604966408223,50.1905378765726,2.42694222736471,41.518894050953
1989,21.6992886880199,7.04154064989768,50.4084319793541,,55.7529208549568,9.1887892312275,46.2564807506673,38.2037819420631,,2.55618889083528,40.9453338321468
1988,22.4733340690235,7.13550393797328,50.3986521234618,,56.3423052125451,9.11821007875297,46.9065620830547,37.6335183614467,,2.66226980370609,40.3471644383016
1987,23.3244137729607,7.20373625364574,50.3879981335928,1.06994789225802,56.9929920598165,9.07113912797432,47.5943093902576,37.046312362205,,2.73695119745931,39.7291315990422
1986,22.9283628569497,7.30900472199275,50.377888159443,,57.7749400276394,9.03294292798261,48.4066098981533,36.4621164370388,,2.77005430670963,39.114482756881
1985,22.1658969161379,7.3870550464082,50.3697303092346,,58.6941014729007,8.99084068329475,49.3616465158877,35.8723425619076,,2.77693180576689,38.5315198309918
1984,21.6312699690332,7.46070987665802,50.364300388887,,60.1303207230647,8.99100941970371,50.7938568290117,35.2733989586248,,2.77797032346464,37.9810789828612
1983,21.9627165519829,7.49273399648859,50.3606818376599,,61.7480178999013,8.99981425165187,52.390933515487,34.6727586147033,,2.77774927094402,37.4469863948896
1982,23.276182544461,7.29567601522625,50.3563150215783,1.06306493552614,63.4919693017207,9.00756854340276,54.1027389572064,34.0941692620411,,2.78088634082345,36.8927852107706
1981,22.481821620237,7.20243659167863,50.3508778033393,,65.3400934455266,8.99547176518492,55.9255634553508,33.4246567953342,,2.79696846786172,36.3380967502847
1980,20.8991735134162,7.26333244402415,50.3446136298655,,67.3093742876636,8.94699465610873,57.892223215672,32.7473756636097,,2.86397630285962,35.8309702972939
1979,20.7261570299747,7.18243826476267,50.3360853666989,,69.1200168084952,8.89827882633707,59.6864312801568,32.0699009824754,,2.96970118518703,35.3363568374141
1978,21.0715637827249,7.2507655425283,50.3249097408394,,70.8325068487573,8.81194503729032,61.4116177350213,31.3951376666981,,3.11368126707514,34.8330698492269
1977,21.5513153317585,7.66161422223011,50.3125920227076,1.06228244015562,72.3820228280455,8.69154532940209,63.0043409363319,30.9111463445482,,3.29469792083829,34.3344606872231
1976,22.2280606232998,7.93741252356189,50.300500648936,,73.7300608537411,8.55241914111847,64.4153328480041,30.6261152617908,,3.50511275680963,33.8347597047039
1975,24.2181010265999,8.01938682420555,50.2887430254355,,74.8701826654035,8.40635443355376,65.6281577353021,30.3543822652705,,3.7382083365802,33.3003072096983
1974,25.4361714808304,8.06416378879113,50.2767947152754,,75.7548967606783,8.3121251066896,66.569619851526,30.0682996554777,,3.99469283230339,32.7315545488749
1973,27.4147692381624,7.93616876962458,50.2643701840653,,76.3389959492689,8.21607085929854,67.2337564510068,29.8008676543444,,4.2516689286788,32.1123964488781
1972,28.6559570744296,8.30791979404755,50.2520406029823,1.06398665583325,76.7039626648156,8.11567577587474,67.6995747930305,29.6140687666573,,4.51236789081446,31.4614013153558
1971,29.3152875001312,8.18215846984248,50.2400070999051,,76.9468712353472,8.00520779009299,68.0641978744571,29.5026834104844,,4.73959477316279,30.788642554761
1970,31.1520582276181,8.37571760773655,50.2272088066025,,77.0498925897782,7.88002579441452,68.3125350666582,29.4116095802891,,4.9638829673127,30.0784230065369
1969,31.7299587552769,8.67536066809354,50.2158653825827,,77.5629441481098,7.80183945124208,68.9145462212651,29.3083376299974,,5.13866313433033,29.3802318733574
1968,32.8499683565843,8.79495189208953,50.2064887026799,,78.2303275343187,7.71499465724299,69.6762175369844,29.1982653202086,,5.28206033663407,28.6971210201785
1967,32.0690689535866,8.96352689061153,50.1990879520525,1.06394427323739,78.8874110481228,7.61290454351859,70.4426131930408,29.0798021613213,,5.38369333831041,28.0470061489071
1966,32.7809727098235,9.23751312533958,50.1918419761386,,79.1165706416687,7.49013007945666,70.8240050534727,28.9643266024173,,5.41426203068561,27.4146052847907
1965,34.7572355825148,9.70654574463514,50.1816343749184,,78.6072229539982,7.34598765111194,70.5281919528015,28.8850374641042,,5.43664160891986,26.7632228680691
1964,35.813212767868,10.9736529212597,50.1755679246736,,78.6836219641829,7.40585904503216,70.5822055289262,28.7818660550856,,5.4159917875641,26.1735600556412
1963,38.657114264859,10.1721785879875,50.1686308486952,,78.1224088073986,7.43981414699697,70.0539312726273,28.2074526558234,,5.37326735298979,25.600190497719
1962,35.0912860270482,10.2669729950696,50.1595059845404,1.06395120042058,77.08337623809,7.44408535038521,69.0818916252727,27.6463381771561,,5.30633465629556,25.0171485708735
1961,23.9034570501543,12.8764597509087,50.1634958655439,,76.0762061359346,7.40209542183839,68.1636803816778,26.9921000191658,,5.21986989825473,24.6881846098148
1960,25.7863065440779,19.8282663377933,50.1840242623374,,75.4866120553977,7.30622348031515,67.6804029807904,26.2285364927078,,5.17262697139055,
