date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.1999768475417,,49.4536851310065,12.5929661309826,36.64274039513,80.5832909863671,16.4,,32.0057333680836
2017,16.6164311339696,6.26180831343685,49.2089792426898,1.04912978942941,49.7179624893944,12.2452652563504,37.240114941276,80.3440502150362,17.0,2.04715125804719,31.7062208823939
2016,16.8603225962493,6.20764985193763,49.2187600353246,1.04913414789973,50.0332796310355,11.9197176511999,37.8657614073358,80.1015736199983,17.9,2.06649428368767,31.4002007478213
2015,17.0980921662426,6.15093950185232,49.2290305345651,1.04913766262154,50.3888145823418,11.6202259596776,38.503662597246,79.8540130312268,17.9,2.08547017164815,31.0881133549573
2014,17.3291896481714,6.10424059299495,49.2399029519654,1.04914084892081,50.8084330770328,11.3414414313656,39.1886961469643,79.6000765092068,18.4,2.10425271794982,30.7704176504932
2013,17.5572223949734,6.0551208085922,49.2513447116833,1.04914385758394,51.285635818145,11.0956838266166,39.8985682730149,79.3403066340881,18.9,2.12322622017097,30.4473647165963
2012,17.7868240746583,6.01304900202393,49.2628347841977,1.04914769015098,51.8242259369655,10.8771385163148,40.642206918715,79.0751681437199,19.5,2.14272541934452,30.1163775064771
2011,18.0238864240353,5.97478716317981,49.2735786353029,1.04915279003174,52.4331388402536,10.6775494228559,41.4361943068779,78.8036068756718,20.2,2.16337451449673,29.7854515829119
2010,18.2745835797578,5.94153312382634,49.2830992479133,1.04915921733213,53.1155200483572,10.4894434117182,42.2912350098522,78.5267610666317,24.4,2.18640224786585,29.4536295919626
2009,18.5511470939069,5.91376700185733,49.2908265947021,1.04916506608264,53.8484881116057,10.322732604568,43.176730115109,78.2506971478403,21.6,2.21300400839271,29.1264534853393
2008,18.8542468543422,5.89019504444754,49.2972586132148,1.04917358961117,54.6370525577038,10.1726718298496,44.1000763967892,77.9698863351563,22.4,2.24323558100905,28.7923905168962
2007,19.1886512220847,5.87199115010029,49.3033421411759,1.04918315652387,55.4593093825693,10.0340945457675,45.0454601334545,77.6821363142558,23.4,2.27724615658705,28.4562872111697
2006,19.5571392825682,5.8597729896235,49.3106177711557,,56.2868373752,9.89987699621185,45.9941973176549,77.3884222612172,24.4,2.31638624972062,28.1173391574218
2005,19.9611605218623,5.85758663844958,49.3202348718177,,57.1025468881402,9.76434368286172,46.9368930011632,77.0909932870146,25.5,2.36036939151369,27.7745740609825
2004,20.3887612307271,5.86057603311597,49.3327801716427,,57.9266167317548,9.63377268337583,47.8857545814058,76.7902254714732,26.7,2.4077373905662,27.4280086549147
2003,20.834898580089,5.8724345365447,49.3479202310412,,58.7535481560087,9.50480127401896,48.8393845315111,76.4835325637777,28.1,2.45890031457456,27.07771680562
2002,21.2980429585975,5.89441558993341,49.3647977100554,1.04923431455365,59.5902777205578,9.37728171617374,49.803294172351,76.1630669350033,29.5,2.51283878667403,26.7227715663627
2001,21.7718741440565,5.9265698575522,49.3820264978652,,60.4486790421695,9.25330319667448,50.7838499849187,75.833931260976,31.1,2.56932518550924,26.3604894934565
2000,22.2488752118111,5.9664916129742,49.3985905264882,,61.3337968709839,9.13304750485015,51.7831408341023,75.4746965043115,32.8,2.62709721383278,25.9926694563709
1999,22.7166828201535,6.01619569436923,49.4140122046708,,62.2655591344419,9.03937868602504,52.809644537552,75.0254218866338,34.8,2.68436241806666,25.6173923566803
1998,23.1814078208937,6.07286518751457,49.4286783101127,,63.220890274337,8.95318787754333,53.8505206709221,74.5721892200751,36.9,2.74232654177252,25.2347850732165
1997,23.6475336211231,6.13481505827781,49.4433790798536,1.0492474409984,64.1889330449972,8.86927792685372,54.8996464714434,74.1016111258768,38.5,2.80147840637018,24.8095183084447
1996,24.1113379226596,6.20541446701733,49.459424059226,,65.1442902657261,8.77935251916516,55.9407076695207,73.6273610913974,40.6,2.86149084499691,24.4170794202752
1995,24.5704066661587,6.27960721784228,49.4776859851047,,66.0649104759957,8.67691301383995,56.9592565938584,73.1618961462176,42.8,2.9237351012621,24.02198473997
1994,25.0325858879382,6.35624887461887,49.4986776857293,,66.9743966463637,8.59288166282995,57.9484079047705,72.6747352462325,45.1,2.98578072765985,23.625535383965
1993,25.4998785493217,6.44276110326002,49.5219990380114,,67.8450587392939,8.49839682592052,58.9072898480567,72.1828593233749,47.4,3.04950227998251,23.2272665076749
1992,25.9703586298202,6.53380039626525,49.5463873922231,1.04923230852231,68.6787827635322,8.39505637249239,59.836443493998,71.6959731763274,49.8,3.11579691850849,22.8274825768298
1991,26.4547020286301,6.63085964099827,49.5699130983838,,69.4910987955395,8.28893073760112,60.7457317290914,71.1959456952056,52.2,3.18480783124776,22.4263998712094
1990,26.9530526667393,6.73514560495116,49.5912072156418,1.04924108424094,70.302509430486,8.18432386068919,61.6508034857554,70.6725041415995,54.6,3.25795065209044,22.0236038670248
1989,27.47070235173,6.84763009121461,49.6093097289122,,71.1474550874009,8.11088392646092,62.5584118272511,70.1120064232893,,3.33538900376316,21.6193031713799
1988,27.999221283848,6.96463709721263,49.6246207457071,,71.9637926980764,8.04357256694134,63.4307464971294,69.5349966587722,,3.41763718232387,21.2144903993524
1987,28.5373913090452,7.08810252004949,49.6387882924697,1.04926438204011,72.7577809544955,7.98109793872215,64.2739405512189,68.9459056294476,,3.50432209780692,20.8088817615792
1986,29.080555828901,7.2169236423642,49.6544002829782,,73.5398771820469,7.92079982171898,65.099558502889,68.3483026816137,,3.59553193550386,20.4021738386041
1985,29.6201694604449,7.35120274089542,49.6733464381501,,74.3128289261356,7.85979084388823,65.9123466322515,67.7387947225439,,3.69077069546507,19.9943853637138
1984,30.1469919900663,7.48664388470166,49.6967657576942,,75.2125667671104,7.83550927983291,66.812961284123,67.1145071751703,,3.78903090014748,19.5855689993656
1983,30.6655618244116,7.6303575742143,49.7238889286868,,76.1360458107014,7.82025350829266,67.7254126284505,66.483951680903,,3.88904073147213,19.1765294299003
1982,31.163647056654,7.77995004389063,49.7524324345635,1.04926934006878,77.0739549136054,7.80850983059535,68.6462193514982,65.8467448389302,,3.99011130864722,18.7688812553694
1981,31.6373529845314,7.93402822160137,49.7788048178169,,77.9868129114071,7.79013375633723,69.5456915003913,65.191368799755,,4.09163309684922,18.3646989879752
1980,32.0826713930582,8.09273339643284,49.8002304237179,,78.8303897283387,7.75574447488557,70.3862441756049,64.5031400180635,,4.19310182101536,17.9656135197499
1979,32.4943756562549,8.25701867400377,49.8152961810556,,79.8285499209187,7.73299176350105,71.3892071802465,63.7969443500607,,4.29372721551934,17.5720425390214
1978,32.883183356695,8.4260738744594,49.8246945884283,,80.8000864898553,7.69617214194968,72.3817462186971,63.0897644354652,,4.3934414067445,17.1844059431896
1977,33.2540332691894,8.60333838887945,49.830343153524,1.04926126208243,81.7348637151014,7.64579339186051,73.3488779331317,62.3760167329478,,4.49263428111516,16.8020908722816
