date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.294194484422,,49.4728780904276,10.466642456262,39.0062356341657,88.593,7.4,,669.494134897361
2017,17.67,4.263,50.2877757236626,1.05,50.0021360068211,10.1194974702633,39.8826385365579,88.429,7.7,2.097,665.872238514174
2016,17.744,4.181,50.2979544645212,1.05,50.406152040823,9.80643429099827,40.5997177498247,88.266,8.0,2.104,656.023558162268
2015,17.737,4.109,50.3288006868849,1.05,50.7501881874148,9.5384366160326,41.2117515713822,88.106,8.3,2.103,638.580449657869
2014,17.617,4.048,50.3845523575454,1.05,50.032462585373,9.38887446107317,40.6435881242998,87.947,8.6,2.091,612.161290322581
2013,17.38,3.995,50.4666315802291,1.05,48.9904400701396,9.29432447335495,39.6961155967846,87.79,9.0,2.069,578.164320625611
2012,17.049,3.952,50.5711478938605,1.05,48.0258002580667,9.25854458492843,38.7672556731383,87.636,9.3,2.038,541.410948191593
2011,16.662,3.92,50.6849452001549,1.05,47.4912686219548,9.28464646814022,38.2066221538146,87.484,9.8,2.002,508.537927663734
2010,16.281,3.9,50.7902583128342,1.05,47.4373220496899,9.37425489702882,38.0630671526611,87.334,10.2,1.966,484.17018572825
2009,15.982,3.895,50.8778053557159,1.05,48.6906152106619,9.31892466341668,39.3716905472452,87.187,10.8,1.938,470.481524926686
2008,15.825,3.907,50.9419496741169,1.05,50.7090193101485,9.32014360044915,41.3888757096994,87.042,11.4,1.925,465.761583577713
2007,15.858,3.936,50.9692078214571,1.05,53.017242486102,9.35083901449499,43.666403471607,86.901,12.2,1.93,466.016031280547
2006,16.105,3.984,50.9490604568298,,55.1545775094377,9.36412985547383,45.7904476539639,86.762,13.1,1.956,465.273998044966
2005,16.579,4.051,50.8763054771247,,56.9566642137123,9.32444435239834,47.632219861314,86.627,14.1,2.002,459.312121212121
2004,17.269,4.136,50.7371573849126,,58.1315238132811,9.27545139371942,48.8560724195617,86.494,15.2,2.066,446.664516129032
2003,18.119,4.237,50.5291932463429,,58.6710016643122,9.20238477900949,49.4686168853027,86.366,16.4,2.142,428.971163245357
2002,19.071,4.352,50.2755125585666,1.05,58.7565590158639,9.12152556739781,49.6350334484661,86.24,17.6,2.225,408.817693059629
2001,20.083,4.48,50.0249185730189,,58.5950256569413,9.05640553266417,49.5386201242771,86.118,18.7,2.313,390.127174975562
2000,21.119,4.621,49.8262713341976,,58.2118679342463,9.01748582989451,49.1943821043518,86.0,19.9,2.405,375.638123167155
1999,22.156,4.776,49.7125217663235,,58.76718143545,8.88321410930202,49.883967326148,85.885,21.0,2.502,366.350537634409
1998,23.173,4.943,49.6790319462712,,59.4391708430999,8.74119927306319,50.6979715700367,85.77,22.2,2.606,361.047898338221
1997,24.143,5.122,49.6992558273027,1.05,60.0686053812346,8.59488041093223,51.4737249703024,85.459,23.3,2.714,357.617204301075
1996,25.032,5.307,49.7264906749813,,60.5078136460748,8.44817974986731,52.0596338962075,85.142,24.5,2.826,352.948680351906
1995,25.795,5.495,49.7252421012595,,60.7349643806312,8.30328988307882,52.4316744975523,84.82,25.6,2.936,344.905180840665
1994,26.397,5.684,49.6843265726595,,62.81449609822,8.40681462430776,54.4076814739122,84.491,26.9,3.042,332.683968719453
1993,26.835,5.869,49.6113986844023,,65.0166153996312,8.53655870850789,56.4800566911234,84.157,28.1,3.14,317.314369501466
1992,27.125,6.048,49.5161620125008,1.05,67.5292564547189,8.69802241179495,58.831234042924,83.818,29.4,3.228,300.697165200391
1991,27.282,6.216,49.4223568470411,,70.5115979396485,8.90011870482184,61.6114792348266,83.472,30.8,3.306,285.601759530792
1990,27.338,6.371,49.3534144455004,1.05,73.9608901345305,9.15027365983019,64.8106164747004,83.12,32.3,3.372,274.002346041056
1989,27.334,6.513,49.3222292236244,,74.6145298625277,9.09975310697737,65.5147767555503,82.763,33.9,3.428,266.514173998045
1988,27.319,6.641,49.3238677802436,,75.4899442220867,9.06840491379034,66.4215393082963,82.4,35.6,3.475,262.431573802542
1987,27.338,6.756,49.3475719436258,1.05,76.4715220433962,9.06044041814059,67.4110816252556,81.446,37.3,3.52,260.797653958944
1986,27.417,6.859,49.3752614273586,,77.5279264661436,9.08384911868923,68.4440773474544,80.454,39.1,3.563,260.104789833822
1985,27.579,6.949,49.3936633293011,,78.7040562258468,9.14438196379417,69.5596742620526,79.422,41.0,3.611,259.237047898338
1984,27.835,7.024,49.3948953320172,,79.1417533666484,9.26418250083016,69.8775708658182,78.353,42.9,3.665,257.874291300098
1983,28.163,7.085,49.3847613642951,,79.6259607875375,9.43517338704153,70.190787400496,77.24,44.7,3.729,256.312023460411
1982,28.539,7.136,49.3839183346456,1.05,80.0870673839361,9.62218974470599,70.4648776392301,76.089,46.5,3.802,254.754545454545
1981,28.948,7.18,49.4220982238362,,80.3652771211658,9.76209015823577,70.60318696293,74.899,48.3,3.885,253.597458455523
1980,29.364,7.218,49.5179085706516,,80.339149993487,9.80907488145981,70.5300751120272,73.672,49.9,3.976,253.072238514174
1979,29.755,7.253,49.6809037438955,,80.5351875762565,9.7482236714205,70.786963904836,72.403,51.5,4.072,253.265102639296
1978,30.104,7.288,49.8968890367403,,80.6478604621076,9.59083046246236,71.0570299996453,71.099,53.1,4.168,253.881231671554
