date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.2831045658477,,60.3011770144939,7.85647099437536,52.4447060201185,28.153,81.1,,69.437812911726
2017,27.17,14.656,49.2539439989443,1.027,60.9115137936553,7.84064050324375,53.0708732904115,27.73,84.1,3.171,68.8870882740448
2016,27.501,15.157,49.2108348702508,1.027,61.4575681934191,7.81314193941959,53.6444262539995,27.317,87.4,3.197,68.3465415019763
2015,27.799,15.75,49.1463620155502,1.027,61.8229773709497,7.76986005088059,54.0531173200691,26.908,92.5,3.218,67.8201910408432
2014,28.068,16.433,49.0566924139983,1.027,62.8488387846408,7.80574845832742,55.0430903263134,26.502,93.0,3.235,67.306884057971
2013,28.318,17.177,48.945442212284,1.027,63.7100392868326,7.81943552214041,55.8906037646922,26.101,94.7,3.25,66.8155138339921
2012,28.559,17.936,48.8232187983254,1.027,64.3767482952464,7.81074482170142,56.566003473545,25.704,96.5,3.265,66.3698945981555
2011,28.797,18.669,48.7051806249448,1.027,64.9345871011394,7.78567418828577,57.1489129128536,25.31,97.8,3.282,66.0008893280632
2010,29.042,19.325,48.602583215364,1.028,65.484371462713,7.75145264585958,57.7329188168534,24.798,100.2,3.302,65.7305994729908
2009,29.306,19.858,48.5221354330234,1.028,66.5527933416744,7.70745546679834,58.845337874876,24.293,107.2,3.328,65.5510869565217
2008,29.59,20.236,48.4617010462325,1.029,67.7466927682823,7.67026197006418,60.0764307982181,23.796,115.9,3.361,65.4522068511199
2007,29.887,20.434,48.4129756216387,1.029,69.0079769452842,7.63712979675717,61.370847148527,23.304,118.0,3.402,65.4453886693017
2006,30.188,20.433,48.3631358442721,,70.1951745195474,7.60470745204027,62.5904670675071,22.82,121.5,3.449,65.5447628458498
2005,30.469,20.204,48.3040305794005,,71.1784828243866,7.56949869693963,63.6089841274469,22.249,122.3,3.502,65.7481554677207
2004,30.695,19.734,48.2237619724889,,72.7642679045892,7.55250476924601,65.2117631353432,21.689,122.7,3.558,66.0718050065876
2003,30.851,19.054,48.1267665995328,,74.3449586455612,7.52041807934006,66.8245405662211,21.137,122.6,3.616,66.4805006587615
2002,30.935,18.209,48.0423503028822,1.03,75.8641244217872,7.46809703319087,68.3960273885963,20.597,121.8,3.674,66.8586627140975
2001,30.96,17.244,48.0082898683426,,77.3425535362405,7.39210428655805,69.9504492496825,20.067,120.7,3.732,67.0533596837945
2000,30.952,16.21,48.0461234599482,,78.8611963122709,7.2927500118783,71.5684463003926,19.548,118.2,3.792,66.9566534914361
1999,30.947,15.158,48.1823826131388,,80.7436713391847,7.42167924285162,73.3219920963331,19.038,115.0,3.857,66.5260540184453
1998,30.986,14.136,48.3984172405438,,82.5120584911056,7.54255306512727,74.9695054259784,18.538,111.7,3.928,65.7943346508564
1997,31.107,13.189,48.6128937518991,1.029,84.2235870188928,7.65240931543933,76.5711777034535,18.049,108.2,4.007,64.8235836627141
1996,31.332,12.354,48.7081591526417,,85.8874598657852,7.74670829765581,78.1407515681294,17.571,104.3,4.094,63.7118247694335
1995,31.682,11.661,48.5961219805351,,87.4890015750831,7.81902838605829,79.6699731890248,16.955,100.9,4.189,62.5361660079051
1994,32.163,11.117,48.2232798928504,,89.7873242911999,7.94153814152958,81.8457861496703,16.319,97.5,4.291,61.3084321475626
1993,32.759,10.7,47.6179552934113,,92.0190687543665,8.06017363778429,83.9588951165822,15.703,94.5,4.397,60.0209486166008
1992,33.443,10.391,46.8823150519221,1.029,94.1639213533088,8.1812516885856,85.9826696647232,15.106,92.2,4.506,58.7050395256917
1991,34.2,10.183,46.178783312119,,96.2150761871732,8.30255518671825,87.9125210004549,14.527,90.7,4.614,57.395882740448
1990,35.013,10.073,45.6372006101809,1.029,98.1937724876896,8.41494723935801,89.7788252483316,13.967,90.1,4.721,56.1181488801054
