date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.2317089771769,,79.7863446042014,5.8492212516756,73.9371233525258,51.151,70.9,,50.0309073920266
2017,33.426,7.729,50.2107513380902,1.054,80.8364916652726,5.82782908665078,75.0086625786218,50.697,73.4,4.387,48.8188122923588
2016,33.843,7.957,50.1894353957497,1.054,81.8170575035408,5.81171571170973,76.005341791831,50.254,76.1,4.461,47.6203073089701
2015,34.297,8.213,50.1682717946688,1.054,82.7077182278753,5.80340892517254,76.9043093027028,49.82,78.9,4.54,46.4309593023256
2014,34.789,8.485,50.1470808173766,1.054,83.7888666949408,5.87689469472829,77.9119720002125,49.397,81.9,4.621,45.2606416112957
2013,35.316,8.763,50.1260610916695,1.054,84.7684964906314,5.97332027413871,78.7951762164927,48.985,85.1,4.706,44.106457641196
2012,35.872,9.046,50.1057146352869,1.054,85.5836382148936,6.08020512811308,79.5034330867805,48.583,88.7,4.793,42.9366590531561
2011,36.451,9.338,50.0868960030826,1.054,86.1621735338739,6.17362840437176,79.9885451295021,48.193,92.6,4.881,41.7093334717608
2010,37.053,9.662,50.0698085526463,1.054,86.4857857732653,6.23297232873128,80.2528134445341,47.813,96.7,4.971,40.4002906976744
2009,37.674,10.044,50.0553124306597,1.054,86.8578482244405,6.29062483667938,80.5672233877611,47.445,101.2,5.062,38.9756333056478
2008,38.309,10.501,50.0432250337665,1.054,86.861200453705,6.31701341951657,80.5441870341884,47.088,106.4,5.154,37.4570182724253
2007,38.95,11.036,50.0312977427785,1.054,86.641625926493,6.31670372279286,80.3249222037001,46.742,112.4,5.246,35.9417670265781
2006,39.588,11.637,50.0168958951535,,86.3684251774558,6.30707136299514,80.0613538144607,46.396,119.5,5.338,34.5640676910299
2005,40.213,12.276,49.9980423316265,,86.058596516586,6.30078774300788,79.7578087735781,46.051,128.0,5.429,33.4106727574751
2004,40.821,12.913,49.9734983515401,,85.9992134489551,6.34514168299383,79.6540717659613,45.706,137.9,5.52,32.5545161960133
2003,41.406,13.512,49.9444111333727,,86.1597071352213,6.38611953563194,79.7735875995893,45.361,149.1,5.61,31.946200166113
2002,41.958,14.053,49.9130995954346,1.054,86.2959507025988,6.42079557037845,79.8751551322204,45.017,161.1,5.699,31.402917358804
2001,42.468,14.532,49.882732415956,,86.1645561403365,6.44287713907038,79.7216790012661,44.673,173.7,5.785,30.6678467607973
2000,42.914,14.973,49.8541485939531,,85.7497696432519,6.44796741552445,79.3018022277275,44.331,186.6,5.866,29.5728405315615
1999,43.273,15.419,49.8272776166904,,86.5565451017464,6.38962137419772,80.1669237275486,43.988,199.4,5.939,28.0285714285714
1998,43.544,15.907,49.800633333757,,86.9641033638939,6.36113493822897,80.602968425665,43.646,211.7,6.003,26.1366382890365
1997,43.737,16.454,49.7737091664123,1.054,87.3224476714363,6.36100166127537,80.9614460101609,43.304,223.6,6.059,24.1507682724253
1996,43.871,17.049,49.7478338147078,,87.9068675201781,6.38568048984136,81.5211870303368,42.964,234.5,6.11,22.4302117940199
1995,43.982,17.658,49.7261398855652,,88.6048124800525,6.43096841798435,82.1738440620682,45.96,244.4,6.158,21.2277927740864
1994,44.115,18.229,49.7113251456966,,89.0124977996832,6.48686708183276,82.5256307178504,48.981,252.7,6.21,20.6238891196013
1993,44.306,18.712,49.7043811886573,,90.2063914075588,6.50841625458629,83.6979751529725,52.009,258.9,6.269,20.5222072259136
1992,44.576,19.074,49.7036388670731,1.054,91.5798158306047,6.49617773370763,85.0836380968971,55.019,262.7,6.337,20.7809800664452
1991,44.931,19.304,49.7046037504271,,92.622767404028,6.44892964743938,86.1738377565886,58.0,263.8,6.415,21.1808450996678
1990,45.364,19.403,49.7053591256298,1.054,93.0883351471012,6.36641831998586,86.7219168271154,55.422,261.9,6.499,21.5522425249169
1989,45.853,19.387,49.7044524168629,,94.1207098977619,6.41324321684173,87.7074666809202,52.814,257.9,6.587,21.8690926079734
1988,46.357,19.298,49.7023342337889,,94.8395431430371,6.41361806246633,88.4259250805708,50.195,252.6,6.673,22.1563226744186
1987,46.839,19.185,49.6998112674801,1.054,95.1464335040727,6.37245839359963,88.7739751104731,47.567,247.0,6.752,22.3558554817276
1986,47.279,19.077,49.6969098892994,,94.9812690775822,6.29570376687116,88.6855653107111,44.956,241.9,6.82,22.4089389534884
1985,47.659,19.008,49.6942336407308,,94.3929416219811,6.18885455367391,88.2040870683071,42.373,238.2,6.875,22.277346345515
1984,47.97,19.0,49.6919732135796,,94.8726301568083,6.18060272273573,88.6920274340726,39.834,236.3,6.917,21.9234946013289
1983,48.218,19.063,49.6890481968004,,94.7001409219837,6.1711336127797,88.529007309204,38.194,236.2,6.946,21.3582537375415
1982,48.412,19.2,49.6866261836654,1.054,94.1345399474627,6.15566415169458,87.9788757957681,37.173,237.5,6.964,20.6549314784053
1981,48.555,19.42,49.6855378688702,,93.4083988585955,6.12874970643406,87.2796491521614,36.163,239.8,6.973,19.9213662790698
1980,48.652,19.725,49.6866417591882,,92.5798093741523,6.0849159061691,86.4948934679832,35.167,242.6,6.973,19.237967192691
1979,48.711,20.113,49.6895919244297,,92.3689198809493,6.08794568955905,86.2809741913903,34.181,246.0,6.964,18.6279900332226
1978,48.744,20.564,49.6959364565497,,92.1451678235312,6.08151286751924,86.0636549560119,33.209,249.7,6.95,18.074273255814
1977,48.76,21.06,49.7048438234086,1.054,91.8197678175278,6.06404119022707,85.7557266273008,32.252,253.9,6.93,17.5678986710963
1976,48.765,21.588,49.716891081902,,91.2606331055641,6.03600148747269,85.2246316180914,31.311,258.1,6.907,17.0871677740864
1975,48.761,22.133,49.7325133993229,,90.3715836464656,5.9946544482627,84.3769291982029,30.382,262.6,6.88,16.615988372093
1974,48.746,22.686,49.7517169058683,,90.214574859199,6.01362054130163,84.2009543178974,29.47,267.5,6.849,16.1574958471761
1973,48.715,23.24,49.7749550306267,,89.916777863614,6.02595487243286,83.8908229911812,28.581,272.3,6.815,15.722238372093
1972,48.671,23.79,49.8021453077412,1.054,89.4487798485506,6.02803894411997,83.4207409044307,27.713,277.0,6.777,15.3090427740864
1971,48.618,24.332,49.834138396648,,88.785142514756,6.01528952333899,82.7698529914171,26.86,282.1,6.736,14.916299833887
1970,48.57,24.867,49.8700677503873,,87.8701796175884,5.9828268846971,81.8873527328913,26.025,287.2,6.695,14.5424626245847
1969,48.54,25.405,49.9104281009879,,87.7687363106967,6.0039188851239,81.7648174255728,25.207,292.6,6.655,14.1871054817276
1968,48.535,25.952,49.9562961963448,,87.5970169613563,6.01164133221392,81.5853756291424,24.407,297.8,6.617,13.8494393687708
1967,48.557,26.507,50.0076744086101,1.054,87.221169360922,6.002267283728,81.218902077194,23.622,302.3,6.583,13.5281872923588
1966,48.603,27.059,50.0659621283152,,86.4185115082101,5.97053816234606,80.4479733458641,22.856,306.2,6.552,13.2211794019934
1965,48.666,27.593,50.1325190506175,,85.043470506933,5.9124347942396,79.1310357126934,22.108,309.2,6.524,12.9267234219269
1964,48.733,28.088,50.2085959085479,,84.4516433887339,5.90202368079093,78.549619707943,21.378,311.8,6.5,12.644321013289
1963,48.789,28.527,50.2922480021749,,83.3905498168098,5.8710113237858,77.519538493024,20.664,313.7,6.476,12.3733596345515
1962,48.819,28.901,50.3850765996001,1.054,82.0114669058856,5.82066383244276,76.1908030734428,19.969,314.8,6.453,12.1122093023256
1961,48.811,29.205,50.4848971902401,,80.6542319164213,5.75663357129527,74.897598345126,19.291,314.9,6.429,11.8594476744186
1960,48.761,29.444,50.5908434682722,,79.4920054233154,5.68276813721951,73.8092372860959,18.632,314.4,6.406,
