date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.6604907818633,,83.6578997395383,6.00362713615819,76.4124618491381,32.5722038899212,68.1,,51.673738313444
2017,34.7830274687089,7.82646324890207,49.6479913932586,1.03739545354038,84.5483009993089,6.02163324514528,77.2959564621104,32.1289921646015,70.3,4.58138759050257,50.3575487295414
2016,35.1942076611908,8.01482840067742,49.640319678084,1.0373875291166,85.3788975484748,6.03662271205339,78.1308469627604,31.7016512701478,72.7,4.65850966034834,49.0879222378413
2015,35.6059508751726,8.22361348040956,49.6383484991188,1.03733379391053,86.1408528086592,6.04010431085114,78.9118954655778,31.2873622959038,75.5,4.73756767304717,47.863709429896
2014,36.0190334890679,8.45406569248873,49.6431111139604,1.03728275971903,86.9794644452917,6.06200278943915,79.7365747035822,30.8863850291928,78.3,4.81705663333869,46.6876826965429
2013,36.4325944594031,8.7047953497413,49.6542783910477,1.0372252560683,87.7663615155867,6.07446453719877,80.5200367277292,30.5512274079951,81.4,4.89773865576672,45.5531211042048
2012,36.8483860585831,8.97473387903102,49.669473372829,1.03720901127203,88.4762410427332,6.07534043070572,81.2356056675486,30.2309749978618,84.7,4.97950518468773,44.4542593738086
2011,37.2689049909985,9.26497387635833,49.6850017029126,1.03719302469475,89.0714500525865,6.06407043886352,81.8469750487492,29.9140076042247,88.3,5.06177364335403,43.3686624498674
2010,37.693711560663,9.57821428477749,49.6978098034603,1.03711484786341,89.5215496800861,6.03948775962386,82.3294923181104,29.5727082436299,93.9,5.14400481831324,42.2840735027409
2009,38.120453715551,9.91813715523593,49.7069508011799,1.03709403905043,90.1187811949862,6.04869392829863,82.9337829623915,29.1716611751618,96.3,5.22482673854827,41.1956740538458
2008,38.5444069276743,10.284568552817,49.7126119156648,1.03701067989148,90.6097542535369,6.04995419260238,83.4398600735833,28.7625181633735,100.7,5.30400591389263,40.1038766208747
2007,38.9607281262756,10.6737780396105,49.714127088709,1.0369853274328,90.9946530436954,6.04226260467362,83.8518263967598,28.3499675411264,105.3,5.38138843936474,39.0184569112147
2006,39.3647752535726,11.0787622491404,49.7111015006692,,91.2779031526751,6.02565510823615,84.1752748309653,28.0642999337459,110.2,5.45634627940864,37.9514910739204
2005,39.7548785334618,11.4928994123509,49.70341853496,,91.453318643779,5.99926296028567,84.4034846947503,27.7145288425662,115.2,5.5291048605057,36.9121931566545
2004,40.1347483213328,11.910338191666,49.6895004124242,,91.9149997632042,6.02282131530379,84.8370113198892,27.3792315368561,120.5,5.59681348417064,35.9007881911964
2003,40.5090722664732,12.3267107001933,49.6693409675525,,92.3122757279584,6.0435545878859,85.2056429722024,27.0682048359614,126.2,5.66313079358044,34.9151613042641
2002,40.8821651392898,12.7359329140854,49.6467355051509,1.03744258028885,92.6331532119471,6.05849851133657,85.4996324388571,26.7562909511353,131.9,5.72882142227219,33.9579749657919
2001,41.2551952673674,13.1345514969846,49.627507990904,,92.8402564762228,6.06292056331193,85.6902055827193,26.4588422172194,137.7,5.79392616230766,33.0333521343831
2000,41.6252610481222,13.5202781974037,49.6161073169455,,92.886656809378,6.05208730268299,85.7396179121411,26.1508335317653,143.3,5.8589100649963,32.1424284266012
1999,41.9863303983939,13.8923869845553,49.6159263995943,,93.2284758747236,6.08557540198404,86.0404346973098,25.8701144806419,148.6,5.92256436837534,31.2891996920456
1998,42.3307455972182,14.2465650343215,49.6258450830376,,93.4822082177043,6.10652793926382,86.2712409308213,25.5991713110661,154.1,5.98448079231735,30.4701586727193
1997,42.6524829113624,14.5767124255718,49.6401628084821,1.03764101571725,93.6179327283469,6.11491087743406,86.4005616204784,25.3302459998133,158.3,6.04357465910287,29.6763873515991
1996,42.9488776772352,14.8792971306424,49.649663908149,,93.5827651897441,6.11058217373077,86.3703588794717,25.0503110767484,162.2,6.09882117959812,28.8944385069044
1995,43.2215446172942,15.1543845071843,49.6472058928805,,93.3259704974184,6.09165192503609,86.1281416550752,24.7829623013711,167.2,6.1501988201283,28.1151487359877
1994,43.4769376870219,15.4066692548486,49.6287983886746,,93.7240888027609,6.09216110584652,86.5057220689939,24.5079859194995,171.9,6.19601720569924,27.334316629027
1993,43.7239474798341,15.6399995920329,49.5963867500919,,93.972911433214,6.0890987510316,86.7247410181846,24.2205605208166,173.5,6.23945259529539,26.5560764230989
1992,43.9698033948146,15.8457207757034,49.5559755559383,1.03695191260241,94.0824495004852,6.07873187125851,86.8039872130283,23.9113599246546,176.6,6.28180632755017,25.7898013898971
1991,44.2172196207986,16.0055492169243,49.5177594145263,,94.0560634369021,6.05654964965341,86.7782172911639,23.5930040402566,179.7,6.32472737438038,25.0491895685195
