date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.9892831683306,,56.4790545284011,8.60062583638282,46.9425050595644,40.5078897764183,49.1,,150.081518176415
2017,21.9391254677828,7.30323375754266,50.9933628450858,1.07301398849867,56.8804237698146,8.41922555613058,47.5184920671834,40.0360142653164,50.7,2.73678813427833,148.021887424185
2016,22.2465380079247,7.33323049832329,50.9973560681294,1.07310947926825,57.2926027843228,8.24831638640376,48.1027584973266,39.5731870618384,52.4,2.76520958615093,145.957034088322
2015,22.5614788738079,7.37797855570096,51.0013737085191,1.07324743507014,57.7230906548963,8.09067741479817,48.7039987582372,39.1176455874562,54.2,2.79620549445908,143.883379216285
2014,22.8780000542466,7.43188454059764,51.0055363389009,1.07343587321849,58.2850026402281,7.99490300050603,49.3689705824248,38.6682805830304,56.1,2.8279393988048,141.801481039274
2013,23.2067294371755,7.50144768971943,51.0095586869431,1.07365421827665,58.8792354801254,7.92275275746243,50.0499176317509,38.2269032945861,58.1,2.86242069460277,139.720796082827
2012,23.5483071235659,7.5889962764949,51.0135142528164,1.07389120638275,59.4930094369559,7.86590223144605,50.7404410223396,37.7917650095363,60.3,2.90031406689324,137.63573614723
2011,23.9125605538721,7.69038476734812,51.0167692853602,1.07404962460637,60.0990573881616,7.81297858934399,51.4221917111394,37.3635339549483,62.6,2.94163877787546,135.557323015846
2010,24.297935115338,7.81773584723257,51.019102389367,1.07463765714747,60.6750911898431,7.75442598199078,52.0816694791844,36.9380450630453,65.0,2.98787456364518,133.4748369323
2009,24.6875714317833,7.94517640751924,51.0203226062899,1.0747363861889,61.3809951963835,7.74327128018723,52.8166055995247,36.5129937160364,67.7,3.03756057921433,131.400985248626
2008,25.0640402152999,8.10200694498423,51.0203427601932,1.0753418962257,62.0856816820845,7.7297485756691,53.5562841636894,36.0941086684558,70.8,3.08772947707608,129.353549414053
2007,25.4109463308115,8.24452302171786,51.0193986061209,1.07551377931418,62.7886521042031,7.70916305374619,54.3047176445398,35.6811766079327,73.3,3.13468707794575,127.316741791883
2006,25.747557592344,8.38504937449496,51.017782346705,,63.4900271295524,7.67557525651517,55.0663042428079,35.274774910247,76.3,3.1826072278379,125.291525382125
2005,26.0711526898649,8.53245692711749,51.0156844744655,,64.1858637952253,7.62370109700421,55.8410291945585,34.8732612598115,79.3,3.23130171566909,123.27522545331
2004,26.4128876586457,8.65082619470544,51.0131648869497,,65.029215463253,7.61762624210771,56.7043782473177,34.4737930749439,82.9,3.28316823347288,121.264932203313
2003,26.7188649474003,8.78184430795627,51.0102524548911,,65.8652227669911,7.59093811309481,57.5758714494097,34.0809767651676,85.6,3.33213333969527,119.249349467748
2002,27.0466045632829,8.89840637277748,51.0071194209231,1.08103761809293,66.68458994865,7.54417219448149,58.4475347006784,33.6950291342363,88.9,3.38497315172522,117.245012271299
2001,27.3584729800627,9.00410101239257,51.0039047175066,,67.4754812446193,7.48352868888106,59.3062047666333,33.3142229209203,92.1,3.43750478724646,115.242084203323
2000,27.7054002831825,9.12215138540461,51.0009524679107,,68.225593607352,7.41249342143423,60.1397724374045,32.983802585578,95.4,3.49549856519604,113.237492337052
1999,28.0712455074726,9.22197721464191,50.998340709985,,69.281536527322,7.38230362645978,61.2337377012051,32.6589414891647,98.5,3.55649495607045,111.144878649339
1998,28.4684447559211,9.33348679151396,50.9960334125895,,70.3217081705476,7.35223503250025,62.3186676735546,32.3427275795501,101.7,3.6214344780343,109.130040564923
1997,28.8946879916503,9.46781683602647,50.9940892248471,1.0797143278257,71.3071499910512,7.31709694998373,63.3584317125967,32.0251974026726,104.5,3.69159293237203,107.1065329334
1996,29.3526452659807,9.61401311464355,50.9922928197655,,72.1895078968634,7.26853476758146,64.3091001856847,31.7106123825349,107.2,3.76532640561647,105.083368192699
1995,29.8473129122353,9.77034785912035,50.9905478924176,,72.9391387542499,7.19907458327299,65.1462389517429,31.4014955544493,109.8,3.84358690103762,103.06812437904
1994,30.3331216756797,9.91754849798213,50.9890573605069,,73.8472151725549,7.18364755014448,66.0802196478034,31.095933855002,112.2,3.92157459191404,101.064492094474
1993,30.8872186231503,10.0779666405746,50.9879762675703,,74.6221911608079,7.15299477815158,66.8928476752326,30.7835583419886,114.6,4.00920512090758,99.0303458321862
1992,31.4594432033673,10.2399802483828,50.9868820756507,1.07647950835232,75.2668557516241,7.10560110638609,67.5895744677428,30.4589224248091,117.0,4.09987268063008,97.0212404933297
1991,32.0387671066472,10.4186004131008,50.9843003310518,,75.8033831444752,7.04552692466501,68.1926429676527,30.1310019099966,119.5,4.19292044138987,95.0059395849998
1990,32.5949416757497,10.5989167177629,50.9789574849542,1.07373273150171,76.241187709825,6.97586346225565,68.7118810582985,29.7946686810305,122.1,4.28439807020785,92.998132814797
