date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.4607410251488,,42.983721263996,20.2796018191529,22.7041194448431,90.981,2.4,,250.093827160494
2017,10.4,7.1,50.3784333534939,1.046,43.2085127434194,20.2019158955935,23.0065968478258,90.727,2.5,1.41,245.405761316872
2016,10.4,6.8,50.2863969230025,1.046,43.4344579441556,20.1414594474702,23.2929984966853,90.46,2.6,1.41,239.511934156379
2015,10.7,7.0,50.1888869871776,1.046,43.6206987844267,20.0986881087637,23.5220106756631,90.179,2.6,1.47,234.404938271605
2014,10.9,6.9,50.0862019216897,1.046,44.0882578426091,20.1162405204923,23.9720173221168,89.884,2.7,1.5,228.937860082305
2013,11.3,7.0,49.9800941473107,1.046,44.5956266848334,20.1605198800359,24.4351068047975,89.574,2.8,1.55,223.604938271605
2012,11.3,7.3,49.8735059479519,1.046,45.1232445374982,20.2297066074816,24.8935379300166,89.249,2.8,1.57,218.496296296296
2011,10.9,7.4,49.7710432264226,1.048,45.6812503337465,20.3308516647977,25.3503986689488,88.906,2.9,1.52,213.311522633745
2010,11.6,7.4,49.6755202898265,1.049,46.2780752983541,20.4687103252464,25.8093649731077,88.547,3.0,1.63,208.622633744856
2009,11.3,7.3,49.5883480754668,1.051,46.7464395527294,20.606816366118,26.1396231866114,88.178,3.1,1.59,204.848971193416
2008,11.5,7.4,49.5116429029075,1.052,47.3244031198464,20.810834441319,26.5135686785274,87.8,3.2,1.61,201.090534979424
2007,11.4,8.1,49.446534868198,1.054,47.9916013541429,21.0585870295803,26.9330143245626,87.409,3.3,1.61,197.527983539095
2006,11.7,8.0,49.3914447897494,,48.6883043750452,21.3121045958895,27.3761997791557,87.009,3.5,1.65,194.500823045267
2005,11.5,7.8,49.3471632506858,,49.349986354369,21.5373007336533,27.8126856207157,86.598,3.7,1.63,191.42304526749
2004,11.9,7.8,49.3130037935293,,49.524428138709,21.5130170252768,28.0114111134322,86.177,3.9,1.66,188.51646090535
2003,11.7,9.0,49.2927834175764,,49.6157158947857,21.4470284237726,28.1686874710131,85.743,4.1,1.62,185.855967078189
2002,12.0,8.4,49.2796246340655,1.049,49.602167374707,21.3384477653978,28.2637196093093,85.299,4.3,1.63,183.611111111111
2001,12.4,8.4,49.2683957409978,,49.4895972643091,21.192463306868,28.297133957441,84.843,4.6,1.66,181.697530864198
2000,13.1,8.6,49.2510995033318,,49.2930564870451,21.0112098109799,28.2818466760652,84.216,4.8,1.76,179.547325102881
1999,13.0,8.8,49.2272696707114,,49.2026466378064,21.0025752382009,28.2000713996056,83.448,5.1,1.74,
1998,12.7,9.2,49.198502681834,,49.043519763047,20.9699211443371,28.0735986187099,82.893,5.3,1.68,
1997,13.1,9.4,49.1624581229061,1.053,48.7960098759826,20.9006158299515,27.8953940460312,82.779,5.6,1.71,
1996,13.7,9.4,49.1283795371486,,48.4028489334413,20.7722787884868,27.6305701449545,82.825,6.0,1.77,
1995,13.3,9.3,49.0970120912911,,47.8061925775881,20.5606597699486,27.2455328076394,82.893,6.3,1.7,
1994,13.5,9.4,49.0682967435735,,47.1721613862326,20.382938000862,26.7892233853706,82.482,6.8,1.72,
1993,13.5,9.8,49.0441317298872,,46.4343212923904,20.1451544568681,26.2891668355223,81.857,7.2,1.7,
1992,13.1,10.3,49.0169827566384,1.047,45.6751556394217,19.8683565368557,25.806799102566,81.528,7.7,1.64,
1991,12.9,9.7,48.9794386524345,,44.9898095280912,19.593804792519,25.3960047355722,81.13,8.2,1.6,
1990,12.9,9.9,48.9287023940489,1.049,44.410407684744,19.3472505861886,25.0631570985553,80.947,8.7,1.6,
1989,12.4,10.6,48.8591837166942,,43.9835054695405,19.2039098146274,24.779595654913,80.891,9.2,1.52,
1988,12.3,10.3,48.7765892044756,,43.6865636037644,19.101136564758,24.5854270390064,80.836,9.7,1.51,
1987,11.4,10.8,48.6916426823616,1.052,43.5485432194366,19.0483012293098,24.5002419901268,80.78,10.2,1.4,
1986,11.7,10.8,48.6255703055916,,43.6031484275406,19.0539123383585,24.5492360891821,80.725,10.7,1.43,
1985,11.2,11.0,48.5894647325298,,43.8414196448534,19.1157030952745,24.7257165495789,80.669,11.2,1.38,
1984,11.5,11.1,48.5908851084071,,44.3927187798354,19.2998098424296,25.0929089374058,80.613,11.6,1.42,
1983,11.4,11.3,48.6229164442473,,45.2298672513644,19.5706920247543,25.6591752266101,80.557,12.1,1.43,
1982,11.8,11.3,48.6785775912835,1.045,46.2345674073244,19.8689379815809,26.3656294257435,80.501,12.5,1.49,
1981,12.1,11.2,48.7447159642303,,47.190798408905,20.0962394864003,27.0945589225046,80.444,12.9,1.55,
1980,11.4,11.3,48.8141673625456,,47.9238262367269,20.1780041759081,27.7458220608188,80.042,13.4,1.5,
1979,11.2,11.0,48.8827085119226,,48.8389645228905,20.3953386302201,28.4436258926704,79.513,13.9,1.48,
1978,11.2,11.6,48.954802259887,,49.5110024449878,20.4507533205577,29.0602491244301,78.975,14.5,1.48,
1977,11.2,11.3,49.022601215167,1.049,49.9983396151228,20.3662809039135,29.6320587112093,78.426,15.1,1.5,
1976,10.9,12.5,49.0731028757649,,50.4412341209932,20.1933422859097,30.2478918350835,77.867,15.9,1.48,
1975,11.1,12.2,49.1016543120593,,50.9315751630414,19.9665297300934,30.965045432948,77.297,16.7,1.55,
1974,11.1,12.2,49.1016259005097,,51.658180699836,19.9498530617824,31.7083276380536,76.717,17.7,1.58,
1973,10.8,12.0,49.0769089373826,,52.3119515661467,19.8750907265513,32.4368608395955,76.127,18.8,1.58,
1972,11.8,11.9,49.0394200009273,1.04,52.8497340777393,19.7426331154799,33.1071009622593,75.528,19.9,1.75,
1971,13.0,12.8,49.0088594871315,,53.1975339573006,19.5413303745593,33.6562035827413,74.916,21.1,1.95,
1970,13.0,12.2,48.9993287642196,,53.2835301508105,19.2596408928418,34.0238892579687,74.374,22.3,1.97,
1969,13.3,12.4,49.0164944544507,,53.2280032688641,18.9662217379461,34.261781530918,73.902,23.5,2.02,
1968,14.0,12.2,49.0568116511677,,52.9852275988357,18.6306261985779,34.3546014002578,73.425,24.8,2.12,
1967,14.8,12.3,49.1117001860972,1.048,52.5422571126735,18.2557101744927,34.2865469381808,72.941,26.0,2.24,
1966,15.6,12.1,49.1641673410083,,51.9030244577085,17.8483039743776,34.0547204833309,72.452,27.3,2.34,
1965,16.0,12.2,49.2085655439787,,51.0879275140378,17.4068402246044,33.6810872894334,71.958,28.7,2.42,
1964,16.0,11.8,49.2329545454545,,50.5201037911318,17.1214034765437,33.3987003145882,71.459,30.1,2.34,
1963,15.8,12.1,49.2455164456127,,49.8063287511671,16.8309097464247,32.9754190047424,70.953,,,
1962,16.0,12.6,49.2617688237257,1.043,48.9691751078662,16.5391778480631,32.4299972598032,70.443,,2.37,
1961,16.1,11.4,49.3038010572143,,48.0508011270449,16.2402867142343,31.8105144128106,69.927,,,
1960,16.0,11.8,49.3891952890316,,47.0723252763725,15.9195240771969,31.1528011991756,69.556,,2.29,
