date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.0217151415458,,31.8187699563829,13.8201473381055,17.9986226182774,100.0,,,20777.5002607232
2017,11.2,3.866,47.9988049690159,1.05,30.002589256257,12.7376791076254,17.2649101486317,100.0,,1.211,20479.7699938293
2016,11.31,3.8,47.9803336683942,1.05,28.3587466487936,11.7629440348525,16.595802613941,100.0,,1.207,20159.0792003315
2015,11.36,3.743,47.9728214744234,1.05,26.9139804892033,10.9031542735727,16.0108262156306,100.0,,1.203,19805.4278801043
2014,11.317,3.7,47.9812270208909,1.05,25.9408627963102,10.1993218660846,15.7415409302256,100.0,,1.196,19478.8120651133
2013,11.165,3.671,48.0030067478627,1.05,25.2428405950516,9.604296727563,15.6385438674886,100.0,,1.183,19055.1816980769
2012,10.904,3.657,48.0257500837711,1.05,24.8230136477003,9.11609729325405,15.7069163544463,100.0,,1.161,18864.1805418385
2011,10.544,3.657,48.0281682470004,1.05,24.6395438294791,8.73783771552699,15.9017061139521,100.0,,1.131,18422.4748576286
2010,10.1,3.668,47.9962468530234,1.05,24.6367783618554,8.47463122061922,16.1621471412361,100.0,,1.093,18121.8516772827
2009,9.591,3.687,47.9206916400235,1.05,25.4109686949064,8.50288273693239,16.908085957974,100.0,,1.048,17844.0675081791
2008,9.06,3.709,47.8054546301472,1.05,26.51477203528,8.65057850590292,17.8641935293771,100.0,,0.999,17645.1707718425
2007,8.555,3.73,47.676529819387,1.05,27.9393715004463,8.87339730585085,19.0659741945955,100.0,,0.953,17277.7735211679
2006,8.122,3.75,47.5690759896639,,29.6969267176735,9.11636238518857,20.580564332485,100.0,,0.911,17265.6999340014
2005,7.812,3.766,47.5087136516983,,31.7753974210275,9.35198198812854,22.423415432899,100.0,,0.879,17244.928865108
2004,7.674,3.78,47.5080576759966,,33.9049030631367,9.54660579008938,24.3582972730473,100.0,,0.862,16842.7502868304
