date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.8760333867013,,77.4776203059341,5.30075689474877,72.1768634111853,37.191,53.6,,45.1398556204881
2017,32.897,6.185,49.8693592787411,1.03,78.2610468798527,5.22337756767694,73.0376693121758,36.522,55.2,4.13,43.9507390855964
2016,33.138,6.324,49.8622339107196,1.03,79.1244034314456,5.15564459912263,73.968758832323,35.856,56.6,4.184,42.788552767274
2015,33.392,6.472,49.8545478103563,1.03,80.1069430327836,5.10432698038882,75.0026160523948,35.193,58.1,4.241,41.6536404262633
2014,33.673,6.63,49.8462752931901,1.03,81.2870380837553,5.10188280440019,76.1851552793551,34.534,59.6,4.302,40.5463853557924
2013,33.989,6.8,49.8375589944785,1.03,82.6042155095684,5.12964987075254,77.4745656388158,33.878,61.2,4.369,39.4658869027157
2012,34.348,6.98,49.8287460741863,1.03,83.9855111243575,5.1796371935481,78.8058739308094,33.227,63.0,4.442,38.4098196100001
2011,34.753,7.173,49.8204467721396,1.029,85.2903175777242,5.23526895428067,80.0550486234436,32.58,65.0,4.52,37.373932398869
2010,35.204,7.375,49.8131350571398,1.028,86.414133731503,5.28255811924397,81.1315756122591,31.938,67.3,4.603,36.37177150325
2009,35.697,7.583,49.8071599094079,1.027,87.6227262196001,5.3525397198947,82.2701864997054,31.301,70.0,4.689,35.3700811638064
2008,36.222,7.796,49.8024801970107,1.026,88.6492997565146,5.41830313421567,83.2309966222989,30.67,72.8,4.777,34.3853784778347
2007,36.769,8.017,49.7989247444622,1.025,89.5009599605426,5.47647031347985,84.0244896470628,30.043,75.9,4.866,33.4173573614885
2006,37.334,8.249,49.7960542397048,,90.2454927927913,5.52499097908629,84.720501813705,29.425,79.2,4.956,32.4659851428965
2005,37.923,8.498,49.7934854441268,,90.9282467791762,5.56052397821863,85.3677228009576,28.814,82.8,5.047,31.5313202875125
2004,38.547,8.771,49.7911474655496,,91.6143134613948,5.62228758016579,85.992025881229,28.211,86.8,5.141,30.6135381916979
2003,39.206,9.074,49.789228502647,,92.185566613572,5.66937790065314,86.5161887129189,27.936,91.2,5.24,29.7127299927778
2002,39.893,9.412,49.7882210460502,1.02,92.6113470211855,5.70032548965047,86.911021531535,27.663,96.2,5.342,28.8288286274375
2001,40.591,9.786,49.7887052360403,,92.8206984120359,5.71615384359983,87.104544568436,27.391,101.5,5.447,27.9618461326822
2000,41.275,10.199,49.7912196040213,,92.745011483304,5.71650572600434,87.0285057572997,27.121,107.3,5.551,27.1121608143894
1999,41.918,10.656,49.7959826531272,,93.0309268402109,5.75936803409718,87.2715588061137,26.853,113.3,5.653,26.2793978058259
1998,42.498,11.148,49.8030392892978,,93.1680622383262,5.78882333045014,87.3792389078761,26.586,119.5,5.748,25.4647848815215
1997,42.998,11.666,49.8123204436062,1.016,93.1792802207878,5.80414857668183,87.375131644106,26.321,125.5,5.835,24.6721704439935
1996,43.409,12.2,49.8237931819991,,93.0989768705208,5.80659973585278,87.292377134668,26.058,131.2,5.912,23.9066753791657
1995,43.725,12.74,49.83723306828,,92.922288627515,5.79661655131044,87.1256720762046,25.796,136.4,5.979,23.171922825601
1994,43.95,13.277,49.8527307603296,,93.3006346435493,5.82253650309925,87.47809814045,25.536,141.0,6.033,22.4688637067098
1993,44.104,13.8,49.8702730447292,,93.7211854970071,5.84880728628094,87.8723782107262,25.251,145.4,6.078,21.796368263576
1992,44.21,14.296,49.8893534995949,1.016,94.1222995470972,5.87187741640234,88.2504221306948,24.681,149.8,6.116,21.1530350448808
1991,44.284,14.754,49.9092466437335,,94.4083039958406,5.88550230557125,88.5228016902693,24.119,154.4,6.149,20.5365391890498
1990,44.339,15.153,49.9293581397899,1.016,94.5061794852961,5.88415322319632,88.6220262620998,23.566,159.5,6.179,19.9446865219933
1989,44.384,15.475,49.9494127647732,,95.1819478672231,5.94805983013165,89.2338880370914,23.021,164.8,6.208,19.3772706950511
1988,44.429,15.72,49.9692304770573,,95.7494133269945,6.00388553576248,89.745527791232,22.487,170.1,6.237,18.8334336417099
1987,44.483,15.898,49.9890164619709,1.016,96.1731352666021,6.05195576127271,90.1211795053294,21.959,175.0,6.27,18.3095814561337
1986,44.563,16.021,50.0090367989465,,96.4599287689192,6.09584256363571,90.3640862052834,21.442,178.5,6.307,17.8012174570967
1985,44.689,16.115,50.0297958174165,,96.6226451332183,6.1381620838826,90.4844830493357,20.933,180.6,6.353,17.3049059394023
1984,44.88,16.21,50.0510741939188,,97.2278050280541,6.24369980894,90.9841052191141,20.434,181.3,6.41,16.8189152938749
