date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,51.4214794180151,,44.2312438474242,9.62275546921929,34.6084883782049,76.036,7.8,,95.9628214883579
2017,16.867,5.014,51.4402490559693,1.06,44.4622095466933,9.29463121229902,35.1675783343943,75.447,7.9,2.019,94.6736508902755
2016,16.957,4.942,51.4612908107936,1.06,44.7583986472209,8.9795125811821,35.7788860660388,74.84,8.0,2.037,93.3946248668391
2015,17.024,4.877,51.4855307718138,1.06,45.0645499959841,8.66844080356402,36.3961091924201,74.213,8.0,2.056,92.1350235884949
2014,17.071,4.818,51.5148155769691,1.06,45.6572365946009,8.3732616046888,37.2839749899121,73.577,8.0,2.074,90.9041515751027
2013,17.106,4.767,51.547326653234,1.06,46.3271449031341,8.08583013891481,38.2413147642193,72.93,8.0,2.092,89.693720894841
2012,17.142,4.722,51.5756863972503,1.06,47.0783566436344,7.81249565175549,39.2658609918789,72.275,8.0,2.11,88.4740800486988
2011,17.19,4.683,51.5896045654593,1.06,47.9577680119151,7.56725824906778,40.3905097628474,71.609,8.0,2.129,87.2042459290823
2010,17.258,4.649,51.5815107670767,1.06,49.0297020350074,7.3593362226998,41.6703658123076,70.912,7.9,2.149,85.8561406178664
2009,17.345,4.619,51.5476128065878,1.06,50.1437664414901,7.30275814810937,42.8410082933808,70.075,7.9,2.169,84.4164967280475
2008,17.461,4.591,51.4902425293462,1.06,51.1689112954611,7.23826182209894,43.9306494733622,69.225,7.9,2.191,82.8975985390352
2007,17.619,4.565,51.4158432030518,1.06,52.0495592757739,7.12898842180263,44.9205708539712,68.36,7.9,2.217,81.3281692284279
2006,17.839,4.541,51.3349080759397,,52.8169165230664,6.96747494544203,45.8494415776244,67.483,8.0,2.249,79.750299802161
2005,18.164,4.52,51.2562739350537,,53.534331228965,6.77909367534877,46.7552375536162,66.594,8.1,2.293,78.1939156901537
2004,18.639,4.505,51.1823098469841,,54.810274440969,6.69452605898334,48.1157483819857,65.694,8.3,2.355,76.672202100137
2003,19.276,4.499,51.1123709103362,,56.1852539273142,6.62458864243673,49.5606652848775,64.78,8.5,2.438,75.1752214274844
