date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,62.7350185377659,,31.3219385988143,4.86330392975737,26.458634669057,39.808,8.6,,1718.98666666667
2017,14.891,2.883,61.8400960519583,1.072,31.8797571764456,4.98293061994394,26.8968265565016,39.38,9.0,1.906,1654.67333333333
2016,15.641,2.965,60.7644504263888,1.074,32.634059941704,5.11805642720667,27.5160035144973,38.954,9.5,1.947,1585.04333333333
2015,16.421,3.058,59.6523738552782,1.075,33.6122582047381,5.26295693650617,28.3493012682319,38.529,10.0,1.991,1516.38333333333
2014,17.2,3.157,58.542864892947,1.077,34.7613412473204,5.42651268261855,29.3348285647018,38.106,10.6,2.038,1450.05
2013,17.939,3.256,57.4089491616778,1.078,36.2492787452791,5.64381819135543,30.6054605539236,37.685,11.3,2.084,1385.31
2012,18.603,3.353,56.2977209734386,1.08,38.1040620784603,5.90468508809746,32.1993769903628,37.267,12.1,2.129,1324.12333333333
2011,19.168,3.445,55.2564698956354,1.077,40.250869898561,6.19286683179995,34.058003066761,36.849,12.9,2.171,1268.31666666667
2010,19.585,3.529,54.3299701965931,1.074,42.5452306157288,6.49325340837341,36.0519772073554,36.434,13.9,2.206,1219.11333333333
2009,19.812,3.603,53.5955924174639,1.07,44.4858743202911,6.60452185289668,37.8813524673944,36.021,14.9,2.231,1177.99333333333
2008,19.865,3.671,53.0927534881554,1.067,46.7561712437347,6.70045165342757,40.0557195903072,35.61,16.2,2.245,1144.84
2007,19.787,3.738,52.7705178236846,1.064,49.3995827835824,6.78065827479228,42.6189245087901,35.2,17.7,2.254,1117.23
2006,19.629,3.809,52.5144355993636,,52.4755563832759,6.84793742434119,45.6276189589347,34.794,19.5,2.262,1091.62333333333
2005,19.471,3.889,52.2358919162463,,55.9930888396474,6.90481536073719,49.0882734789102,33.75,21.7,2.279,1065.36
2004,19.398,3.985,51.9020770083369,,59.6967831306757,6.89343799702427,52.8033451336514,32.49,27.1,2.313,1037.55
2003,19.492,4.102,51.5328018607048,,63.9172298760939,6.86844727493285,57.0487826011611,31.252,27.4,2.372,1008.94333333333
2002,19.823,4.246,51.1545456090555,1.057,68.6285524309576,6.83430969058455,61.794242740373,30.042,30.9,2.465,980.62
2001,20.439,4.423,50.8237603428464,,73.776820126855,6.79372401444569,66.9830961124093,28.859,34.9,2.596,954.353333333333
2000,21.385,4.635,50.5876963163395,,79.3047239496095,6.74868280035681,72.5560411492527,27.706,39.2,2.771,931.326666666667
1999,22.68,4.887,50.4584640357997,,83.4532760112408,6.62177479392887,76.831501217312,27.134,43.7,2.993,911.756666666667
1998,24.271,5.175,50.4170314217065,,87.6061357839198,6.48590097487683,81.1202348090429,26.755,48.3,3.259,894.85
1997,26.094,5.497,50.4468685092254,1.062,91.5883032102997,6.35306761162708,85.2352355986726,26.379,53.0,3.56,879.473333333333
1996,28.099,5.854,50.5201058731837,,95.1429410391742,6.21230715947507,88.9306338796991,26.008,57.7,3.888,863.943333333333
1995,30.239,6.247,50.6126447997985,,98.1312564318458,6.06776436835376,92.0634920634921,25.638,62.4,4.237,847.13
1994,32.474,6.677,50.7156592190907,,100.088539025588,5.97396952647719,94.1145694991106,25.586,67.1,4.6,828.626666666667
1993,34.747,7.142,50.8347211001006,,101.16334027081,5.88801087884843,95.2753293919619,25.649,71.7,4.969,808.683333333333
1992,36.991,7.637,50.964358723669,1.083,101.517361377652,5.80589033033955,95.711471047312,25.713,76.3,5.332,787.55
1991,39.137,8.154,51.1075419055205,,101.467041976868,5.71997299169582,95.7470689851717,25.776,81.0,5.68,765.836666666667
1990,41.126,8.683,51.2630008200431,1.071,101.224526600541,5.6131650135257,95.6113615870153,25.84,85.8,6.003,743.86
1989,42.92,9.214,51.428162326445,,100.693356568812,5.54314476135742,95.1502118074545,25.806,90.8,6.295,721.7
1988,44.507,9.739,51.5956660803577,,100.021929615469,5.45475348251828,94.5671761329507,25.727,96.0,6.555,699.283333333333
1987,45.869,10.254,51.7593979036961,1.053,99.170075634951,5.35134445785142,93.8187311770996,25.648,101.5,6.78,676.76
1986,46.974,10.755,51.908163577259,,97.8128748097604,5.24305310581856,92.5698217039419,25.57,107.2,6.967,654.213333333333
1985,47.751,11.242,52.0343990714361,,95.6914975995044,5.12415466418874,90.5673429353157,25.491,113.4,7.106,631.79
1984,48.134,11.713,52.1230749037452,,95.0982693497791,5.07671624591878,90.0215531038604,24.954,119.7,7.189,609.5
1983,48.136,12.178,52.1783779183569,,94.2082644628099,5.03030303030303,89.1779614325069,24.257,126.6,7.219,587.48
1982,47.816,12.648,52.2069603000312,1.057,93.1903229108611,4.98868276481762,88.2016401460435,23.574,133.7,7.203,566.17
1981,47.257,13.133,52.2368927060633,,92.4013764430925,4.93734365274173,87.4640327903508,22.905,141.4,7.151,546.08
1980,46.59,13.649,52.281845695042,,92.0846632765756,4.86910931223224,87.2155539643434,22.25,149.7,7.081,527.573333333333
1979,45.966,14.211,52.3545760588742,,92.1040758008723,4.82403368927658,87.2800421115957,21.607,158.6,7.013,510.92
1978,45.513,14.825,52.4480083885625,,92.426084482268,4.76991127551152,87.6561732067565,20.978,168.3,6.961,495.933333333333
1977,45.326,15.495,52.5455488331893,1.062,92.8670489398586,4.70729430590745,88.1597546339512,19.958,178.4,6.936,482.103333333333
1976,45.451,16.22,52.591364726137,,93.1181820679801,4.63275904706949,88.4854230209106,18.596,189.2,6.944,468.543333333333
1975,45.898,16.997,52.5612455834274,,92.9409934374293,4.53863996379271,88.4023534736366,17.304,200.5,6.981,454.723333333333
1974,46.627,17.819,52.4185856383703,,94.0423031727379,4.56081081081081,89.4814923619271,16.085,212.4,7.04,440.346666666667
1973,47.521,18.67,52.1918559122944,,94.9335979239811,4.58098000305297,90.3526179209281,14.936,224.5,7.103,425.67
1972,48.474,19.533,51.9299212789934,1.058,95.4618200256699,4.5793785355496,90.8824414901203,13.858,236.2,7.159,411.18
1971,49.429,20.395,51.7296295985851,,95.4168714168714,4.57657657657658,90.8402948402948,12.842,247.3,7.201,397.673333333333
1970,50.348,21.249,51.6786529285665,,94.6021867115223,4.55340622371741,90.0487804878049,11.893,257.7,7.227,385.636666666667
1969,51.214,22.09,51.8208949920947,,92.5861302131445,4.53830100242909,88.0478292107154,11.698,267.7,7.237,375.273333333333
1968,52.03,22.916,52.1407186990982,,89.9815016510209,4.51740054976402,85.4641011012568,11.516,277.3,7.237,366.303333333333
1967,52.785,23.721,52.5748736986072,1.058,86.944270507201,4.48410213594935,82.4601683712517,11.336,286.4,7.231,358.26
1966,53.448,24.493,53.0243795717642,,83.7142657440414,4.43838680366254,79.2758789403788,11.393,295.6,7.218,350.453333333333
1965,54.004,25.224,53.4125206893194,,80.4793196752996,4.37150788909583,76.1078117862038,11.458,304.7,7.201,342.393333333333
1964,54.446,25.911,53.7079369515957,,78.3385853406683,4.41524684434475,73.9233384963236,11.404,313.6,7.179,333.903333333333
1963,54.765,26.546,53.9378716424031,,76.148429035753,4.42759118815457,71.7208378475984,11.345,,7.152,325.17
1962,54.94,27.122,54.1168784640998,1.058,73.9716234051914,4.42513565038862,69.5464877548028,11.288,,7.118,316.35
1961,54.933,27.626,54.2749761719088,,71.7834217136478,4.39668806400595,67.3867336496418,11.23,,7.075,307.75
1960,54.707,28.044,54.4546192961179,,69.5048571159106,4.36480241441102,65.1400547014996,11.173,,7.021,
