date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.4228935971414,,41.3784280248856,16.2219992491419,25.1564287757437,40.793,15.5,,623.30197044335
2017,10.7,8.0,49.4645697063734,1.042,41.4608145490829,15.4922944582966,25.9685200907864,40.841,14.7,1.44,622.962068965517
2016,10.4,8.1,49.5001862315453,1.042,41.5323005231262,14.7802757894501,26.7520247336761,40.91,14.4,1.4,622.400492610837
2015,10.1,7.7,49.5288842731431,1.042,41.5514542992188,14.0900652035481,27.4613890956707,41.0,14.3,1.36,621.972906403941
2014,10.6,7.7,49.5482963786564,1.042,41.4549872504356,13.3167602083457,28.1382270420898,41.111,14.4,1.43,621.149753694581
2013,10.9,7.5,49.5600808629201,1.042,41.3405336935759,12.5945664904757,28.7459672031002,41.222,14.6,1.44,620.026108374384
2012,11.5,7.4,49.5654130191809,1.042,41.2929065646622,11.9284468695505,29.3644596951117,41.332,14.7,1.54,618.661083743842
2011,11.7,7.3,49.5674116798846,1.042,41.4821233095685,11.3357049174031,30.1464183921654,41.444,14.9,1.55,616.947783251232
2010,12.0,7.3,49.5674115932251,1.042,41.989418926699,10.8299862938877,31.1594326328113,41.555,15.1,1.57,615.960591133005
2009,12.3,7.4,49.5669600223795,1.042,42.4980094836538,10.4492683924282,32.0487410912256,41.666,15.4,1.59,614.497044334975
2008,13.2,7.2,49.5659513484638,1.042,43.3327380918093,10.1737913236827,33.1589467681265,41.777,15.8,1.67,612.867487684729
2007,13.7,6.9,49.564061626239,1.042,44.3380990805007,9.96801488524598,34.3700841952547,41.889,16.0,1.74,610.655172413793
2006,14.3,7.4,49.5617174325314,,45.1689977306977,9.78505742664177,35.3839403040559,42.0,15.9,1.77,607.879802955665
2005,15.3,7.0,49.5593325750198,,45.5927588508137,9.59231789555287,36.0004409552608,42.112,15.7,1.88,605.051231527094
2004,15.7,6.9,49.5555529963773,,46.1241298096083,9.51120940457855,36.6129204050297,42.223,15.6,1.92,601.479310344828
2003,15.9,7.0,49.5520235038776,,46.2568224335114,9.40531523017878,36.8515072033326,42.335,15.7,1.87,597.71921182266
2002,16.6,6.9,49.5522984177966,1.042,46.1702272236392,9.27763122450317,36.892595999136,42.447,16.1,1.94,593.409359605911
2001,16.5,6.7,49.5633259095527,,46.274323276737,9.1448428661911,37.1294804105459,42.559,17.1,1.91,589.303940886699
2000,17.0,6.7,49.588194544643,,46.8373395225235,9.01754442397602,37.8197950985474,42.67,18.6,1.99,584.666502463054
1999,17.3,6.8,49.6296693266506,,47.1309105021345,8.79667997846743,38.334230523667,42.793,20.2,2.05,578.949261083744
1998,16.7,6.8,49.6849716637547,,47.6713925577714,8.55967004872661,39.1117225090448,42.916,21.6,1.97,571.635960591133
1997,17.4,7.0,49.7473012396232,1.042,48.3149492392343,8.30035390457493,40.0145953346594,43.038,22.6,2.04,565.657142857143
1996,18.3,6.8,49.8052457546377,,48.698360247307,8.01859391698301,40.679766330324,43.161,22.7,2.12,558.618719211823
1995,18.3,6.7,49.8503556379333,,48.5558114296302,7.72691177638371,40.8288996532465,43.284,22.2,2.14,552.934482758621
1994,19.6,6.7,49.8805363031416,,49.0306311711304,7.60482802859963,41.4258031425308,43.407,21.6,2.25,548.2
1993,20.3,6.8,49.8964139944875,,49.2926321918675,7.48984081333353,41.8027913785339,43.53,21.2,2.21,540.578325123153
1992,21.1,6.5,49.8981483875495,1.042,49.5026641759666,7.37532138992094,42.1273427860456,43.653,21.2,2.37,534.207389162562
1991,20.7,6.6,49.8882943525705,,49.9537640284141,7.24994045367296,42.7038235747412,43.777,21.9,2.3,527.224630541872
1990,21.3,6.6,49.8682128180674,1.042,50.8185675886265,7.10279921198714,43.7157683766394,43.9,23.1,2.32,521.564039408867
1989,20.8,6.8,49.8389896565081,,51.6224363227277,6.99382698243286,44.6286093402948,43.584,24.9,2.23,517.862068965517
1988,20.1,6.6,49.7999041699566,,52.6828261658607,6.8619817583627,45.820844407498,43.269,27.1,2.14,513.910837438424
1987,19.3,6.5,49.7521782685677,1.042,53.9271340471461,6.71312838081768,47.2140056663284,42.953,28.6,2.05,510.385221674877
1986,18.6,6.6,49.6959770463159,,55.2264939848149,6.56236320548235,48.6641307793325,42.639,28.8,1.99,506.581280788177
1985,19.0,6.8,49.6338716473512,,56.4972565809853,6.4198151834211,50.0774413975642,42.325,28.4,2.02,502.72315270936
1984,20.1,6.6,49.564864387366,,58.115308374689,6.32573077217466,51.7895776025143,42.012,29.0,2.16,498.631034482759
1983,21.0,6.5,49.4926999258977,,59.7932256762599,6.2464605729764,53.5467651032835,41.701,31.4,2.325,493.443842364532
1982,22.6,6.6,49.4213202897393,1.042,61.4581503243732,6.17187550835822,55.286274816015,41.917,34.8,2.412,488.926600985222
1981,25.5,6.8,49.3582776710484,,63.0696229374323,6.08712139482048,56.9825015426118,42.134,37.8,2.532,482.986206896552
1980,27.2,7.2,49.3082577411471,,64.6227122456631,5.98053917726049,58.6421730684026,42.351,40.3,2.672,475.881280788177
1979,27.5,7.2,49.2710856084679,,65.0665471095147,5.67149239647793,59.3950547130368,42.569,42.8,2.818,467.925123152709
1978,27.1,7.1,49.2475085784235,,66.1047982718677,5.39614301932049,60.7086552525472,42.787,46.1,2.954,459.851724137931
1977,26.0,7.8,49.2455512078662,1.042,68.034585201896,5.16644265192121,62.8681425499747,43.005,50.7,3.071,453.881280788177
1976,25.8,7.7,49.2745760917746,,70.7068500580003,4.98180900586029,65.72504105214,43.224,57.4,3.169,446.555172413793
1975,25.3,8.1,49.3405766969769,,73.7138939955754,4.81919733275169,68.8946966628237,43.443,65.3,3.255,439.408866995074
1974,27.3,7.3,49.451930652264,,76.2702711383958,4.83516086420596,71.4351102741899,43.662,72.5,3.341,432.533004926108
1973,23.0,7.8,49.6022746974583,,78.5335320663416,4.83462083145817,73.6989112348834,43.881,77.2,3.444,426.01921182266
1972,25.3,7.9,49.7694728024834,1.042,80.6820109589971,4.82870205438784,75.8533089046092,44.1,79.8,3.575,419.730541871921
1971,26.1,7.7,49.9204377353816,,83.1927930445109,4.8193349675735,78.3734580769374,43.326,81.4,3.741,413.413793103448
1970,27.5,7.9,50.031520320019,,86.4008611448985,4.80693068189768,81.5939304630008,42.556,83.3,3.952,406.896551724138
1969,27.7,8.3,50.0903509602788,,88.6935537067232,4.83622968258614,83.857324024137,41.79,87.1,4.213,400.199507389163
1968,31.6,9.2,50.1019216836036,,91.0949953328068,4.85435963715564,86.2406356956511,41.028,92.7,4.516,393.306896551724
1967,31.0,8.6,50.0792584871568,1.042,93.4546666008588,4.86476481911061,88.5899017817482,40.269,95.9,4.847,386.166009852217
1966,36.0,9.0,50.0409324808982,,95.2560787919115,4.86582720840339,90.3902515835081,39.516,92.6,5.187,378.725615763547
1965,36.0,8.8,50.0048454564885,,96.057499785196,4.85457116001989,91.2029286251761,38.767,86.4,5.51,370.935960591133
1964,38.9,8.7,49.9735003940967,,97.0893509051784,4.88400226963718,92.2053486355412,38.025,83.7,5.785,362.749261083744
1963,40.4,9.7,49.9429194306719,,97.3466973038711,4.90003102154213,92.446666282329,37.286,87.1,5.993,354.118719211823
1962,38.8,9.3,49.9140782746918,1.042,97.0549340476298,4.90225318507181,92.152680862558,36.555,93.3,6.124,344.999507389163
1961,39.7,9.8,49.8879316692438,,96.6474282313927,4.89020226354923,91.7572259678435,35.829,98.5,6.178,335.348275862069
1960,44.208,9.813,49.8623536987235,,96.3920627166907,4.86280723910738,91.5292554775833,35.111,102.1,6.167,
