date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,50.4035507246921,,58.0781613236224,8.46345174577015,48.983342232916,61.5905475175283,23.6521521478456,,44.3111694561864
2017,24.1156872866611,5.22746392450521,50.4126157613147,1.05613888529895,57.8773891964625,8.26366400821989,48.918124355079,61.2705251900232,24.2028274851225,2.91607097848174,43.5763129202665
2016,24.5488393013484,5.25181311619752,50.4182922912426,1.05647707670137,57.6144305387167,8.08284836778875,48.7766580520343,60.9416846531516,24.8416185940601,2.94138968212105,42.8506758252235
2015,24.8988025259389,5.27495289521783,50.4181818586517,1.05681487640196,57.2456067632025,7.92483745114147,48.5240595280933,60.6016305470766,25.4162340543796,2.96005395162476,42.1214955421037
2014,25.1352689092196,5.29531039489053,50.4100486643749,1.05744985161687,57.129822752049,7.7783720202202,48.4696014408439,60.2416638836733,26.1114554954614,2.96815088853115,41.3879987886544
2013,25.2525814604447,5.31291739790305,50.3951027977462,1.0577508872382,57.0522534895446,7.66227058267209,48.4270804814452,59.9402257031459,26.7962332352329,2.96619756617759,40.6545093259537
2012,25.2588911131754,5.3273334861074,50.3787757869826,1.05802528778295,57.0627111233443,7.57135548008149,48.4498006341883,59.6375022268567,27.5601067527971,2.95570379203489,39.9251047298548
2011,25.1688901018337,5.33868140671609,50.3692121027202,1.05802423969563,57.2277273192076,7.49837086461155,48.6098328813074,59.3424433747814,28.3060773877079,2.93891668115044,39.2088680149237
2010,25.0011666383935,5.34891314538736,50.3723948519795,1.05785879709782,57.583081873248,7.43850820419691,48.9488198466865,59.0509548191829,29.1685755281569,2.91852688792685,38.5102466301289
2009,24.777947186895,5.36110447679472,50.3920150342376,1.05776432281023,58.0418892861822,7.39751975698809,49.4110120904003,58.6889096996447,30.251977478387,2.89812604029311,37.8301137908808
2008,24.5333347153741,5.3789781925806,50.4259158018659,1.05762727923592,58.6897470141181,7.37999763225582,50.055611498072,58.3442960456208,31.5546860788857,2.88092431975232,37.1559692496356
2007,24.3231683756772,5.4062247592158,50.4671052645706,1.05767246046848,59.5322363039438,7.37985996669309,50.8944167198376,58.0053149979868,33.0055697146078,2.87025526713713,36.5086359008769
2006,24.1467672722007,5.44137291970035,50.5046585350549,,60.567002968144,7.38640402202543,51.9355615896726,57.6536014565401,34.5160510047192,2.86973296881806,35.8765555387162
2005,24.0373735115162,5.48158540983918,50.5302666159784,,61.7797087219662,7.38982666007164,53.1737904045712,57.2716628621338,36.1535743869548,2.88207481766614,35.2574065825749
2004,24.0122380356517,5.52616626485069,50.539930237495,,63.3109449438963,7.42038140214384,54.7269805881251,56.8891047563787,37.8573513576768,2.90827854882882,34.6497141858897
2003,24.0635387345671,5.57479982156094,50.5359109827013,,65.0587203440235,7.44703716428097,56.5187988686285,56.5354723776762,39.6309587907274,2.94857896396158,34.0527696890817
2002,24.1943524634306,5.62734548363109,50.5236536908446,1.0569752113604,66.979007619852,7.46722059756128,58.50292370979,56.1739008038648,41.496824385682,3.00158712721918,33.4644067404448
2001,24.4112430663912,5.68602942367245,50.5121682003236,,68.9897420180194,7.48041951851351,60.588883999177,55.8095571237963,43.4494611634299,3.06966347036665,32.8841960957619
2000,24.7291269363737,5.75214314112142,50.5082702717537,,71.028068187083,7.48436072418032,62.7081493293515,55.4468294851353,45.4677045438277,3.15375403304489,32.3092980747206
1999,25.1554218439566,5.8258323735242,50.5147750853595,,73.2559163548366,7.48426580641481,65.005475283339,55.0848325610292,47.5050936615274,3.25512738697141,31.7390023530936
