date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,51.7950263593643,,55.1284292159861,7.98095664200525,46.0273163466468,65.3719743231147,21.9,,39.997702909805
2017,23.0569826964749,4.92403605926632,51.7755182646412,1.054229424749,54.9555440783037,7.78828801794283,46.0019521805681,65.0525795492706,22.4,2.83934240905478,39.3154159055365
2016,23.4905524088547,4.94507578483836,51.7532665037192,1.05451854605384,54.7410423458504,7.61451797583538,45.9243234774596,64.7195475050848,23.0,2.86693254727559,38.6331304159517
2015,23.853313588448,4.96719513677753,51.7319131796091,1.05482405901041,54.4429880271538,7.4634830738397,45.757667525935,64.3709008106138,23.6,2.88941191962938,37.9403091435777
2014,24.1206813786384,4.98383234495222,51.7133230391471,1.05537065897733,54.4232672444845,7.33268998922977,45.8155754077253,64.0000695782906,24.2,2.90421783225064,37.2373830304589
2013,24.2775592457655,5.00179570514822,51.696159239393,1.05563501670248,54.4601523694922,7.23340190841579,45.9024733215717,63.674322747088,24.9,2.91027189309739,36.5286593235899
2012,24.3502233935804,5.02138810774578,51.6769562304385,1.05585258710294,54.6050141891733,7.16176612098859,46.072252925567,63.3402890474028,25.6,2.91069081182113,35.8149282096288
2011,24.3333872450499,5.03798410332275,51.6502625148865,1.05582713326806,54.9218380431138,7.11181474807787,46.3913299845297,63.0020017003942,26.3,2.90410088188368,35.0995115046893
2010,24.2648123425588,5.05412601867331,51.6120730611692,1.05563434651386,55.4438709571204,7.07935778331679,46.8948779869782,62.656620837851,27.1,2.8962032246914,34.3843723811798
2009,24.1400902352961,5.07780342395186,51.5609627771496,1.05552654270413,56.0755719002505,7.06623756072908,47.5437401215883,62.2380088218529,28.1,2.8860976153419,33.6685474867801
2008,24.0051417608025,5.11215930448581,51.498990883221,1.05536413088443,56.9225364376503,7.08014801038865,48.4009584433373,61.8161742029379,29.3,2.87954451122429,32.9429878070507
2007,23.8896153355805,5.15532843746517,51.4290562934607,1.05539033031964,57.9857062225563,7.11576776724486,49.4740358209602,61.3951815478624,30.7,2.87710576327913,32.2398271891967
2006,23.8036375740662,5.19941918731736,51.3568729896015,,59.2438325641566,7.1588040166333,50.7523690834553,60.9667334117206,32.1,2.88404932748164,31.5605166695914
2005,23.765553599204,5.24961968942766,51.287325047828,,60.662015977023,7.19696072075723,52.2067346563047,60.5241601948569,33.6,2.90193658262278,30.9128549884332
2004,23.8065890398293,5.29894393898144,51.2211634166079,,62.2598949349641,7.24599579318746,53.812737147429,60.0981861917883,35.2,2.9340631337687,30.2994533255657
2003,23.9079825624913,5.35457673150442,51.1588120324845,,64.0464063431466,7.28825087447479,55.6272985303016,59.7163394884012,36.9,2.97930687298262,29.7173257426686
2002,24.058745598396,5.40752049135158,51.1049117618817,1.05478159945395,65.9862225830974,7.32212360656691,57.6138326747823,59.3429523958217,38.7,3.03453627815567,29.1604277474669
2001,24.2986253722846,5.46575848404198,51.0651401259601,,68.0173266064365,7.34880313670933,59.7032944909655,58.9717104798247,40.5,3.10612227869571,28.6201721857254
2000,24.6448598373945,5.53544410079814,51.0433634239008,,70.0918103326509,7.36729148844103,61.8419370907053,58.5956742955636,42.4,3.19350623784889,28.0883465983743
1999,25.0792350190923,5.61095463348355,51.0433591559672,,72.1894563314085,7.36741748416665,63.9829382111109,58.2232717464666,44.4,3.29749301162849,27.5636780759381
1998,25.6334823889726,5.69528737478912,51.0635686646216,,74.2914658720608,7.35823424167528,66.1300568513141,57.853947087212,46.4,3.41902936494233,27.047477118361
1997,26.2711175881482,5.78922093040575,51.0956125814955,1.05264936952477,76.3891149865267,7.34012803407208,68.2754258425467,57.4951185198961,48.6,3.55527318447534,26.5352839104777
1996,27.0102987292159,5.89868618458984,51.1269637007727,,78.4903405461181,7.31367191883692,70.4269482951865,57.15744071853,50.7,3.7067544891451,26.014134817949
1995,27.8492216220791,6.03301775091539,51.1475138365648,,80.5961353808597,7.27747080461431,72.5822240683794,56.8316518492975,52.9,3.87393108922263,25.484642155662
1994,28.8483936586626,6.21204410307144,51.1135896371791,,82.6985048242734,7.27032289755734,74.7356617484019,56.2517561713938,55.2,4.06526547224147,24.7976808818617
1993,29.9135143982003,6.39555375015892,51.1043518878116,,84.4593263217146,7.22531347430723,76.5448669214283,55.8470360722147,57.6,4.26100960622546,24.2385327246409
1992,31.0594460423213,6.60406543396911,51.0837280823545,1.05167095163129,86.0192063060133,7.17604319017415,78.1530780970161,55.4209021251603,60.0,4.46609481780231,23.6638787662844
1991,32.1749213623702,6.81849760856799,51.1041249874374,,87.0664468512093,7.07167180118744,79.2529211066537,55.3185367553234,62.5,4.66390040838002,23.2532478846416
1990,33.4143421430474,7.11168295160298,51.0802296426835,1.05105838879967,88.0888248067234,6.99772484024568,80.3482288596568,54.9404442331794,65.1,4.87766383340296,22.6447469898621
1989,34.5518775545327,7.46306266051656,51.0568024507661,,88.8209401347527,6.97309138132941,81.1165761670698,54.4727674245629,,5.07442848323197,21.8642642276169
1988,35.7475612325322,7.85175849651204,51.0270135383626,,89.3732103489358,6.92879676179908,81.7293294438351,54.102595834693,,5.2760689305776,21.2506896794382
1987,36.8686561561811,8.29571050496486,50.9975549409714,1.05050249246216,89.6786857114643,6.884021683379,82.1042761460372,53.6974314432277,,5.464518550551,20.6275938583122
1986,37.8923460786595,8.76954379389371,50.9731779953318,,89.7643789757216,6.8428894462072,82.2605875682808,53.2152226461043,,5.63592648448943,20.0022486622847
1985,38.781805083189,9.24420959867923,50.9574788598076,,89.6218287591653,6.80712697950384,82.181805961069,52.640411137265,,5.7869164617901,19.380752754932
1984,39.5101102170047,9.70330598054978,50.9541557862516,,89.8891264575777,6.82604173434414,82.4414599680622,52.0585123211543,,5.91239533685394,18.7639849709119
1983,40.0887194854161,10.1238511905584,50.96242958587,,90.0639565296919,6.86046514221676,82.5899238369883,51.4599836046789,,6.01611717766708,18.1569583021192
1982,40.5337267546039,10.4912479382552,50.97613314949,1.05007117846683,90.171517755523,6.90039249802078,82.6635551040415,50.8503585838848,,6.10130948247658,17.5621877513644
1981,40.8515237050558,10.8041376946899,50.9845050626084,,90.2149014658593,6.9355801802471,82.6772917347815,50.2340654774335,,6.17093423602312,16.989801741101
1980,41.1026624843967,11.0985930000446,50.9789056258948,,90.1789589356162,6.95809122159529,82.6245908431253,49.609534245942,,6.22712556872193,16.4461805076148
1979,41.2801687770199,11.3803402626769,50.9548260495631,,90.509111352979,7.02237502837482,82.8948726804805,48.9830524975853,,6.27400553983792,15.9328947473907
1978,41.4168819999184,11.6894769812239,50.9141508624649,,90.8506752981174,7.08062428754091,83.1904577494168,48.3638687126132,,6.31517711971688,15.450160739625
1977,41.5698357523145,12.0364714026874,50.8625701229162,1.05260920730088,91.1605305764045,7.12883840164659,83.4720410963423,47.7388486244447,,6.35390812930949,14.9971183558505
1976,41.7468172086261,12.4285125698912,50.8103919086592,,91.4136916250424,7.16066878821419,83.719690250855,47.0911565075976,,6.39459188965399,14.5669849094487
1975,41.9259375320041,12.8788679288328,50.7660179764788,,91.5963072452368,7.17085473687532,83.9222576090055,46.3895589412251,,6.44016271386736,14.1558945434042
1974,42.1656312802257,13.3553289766996,50.7325695053346,,92.0060782355443,7.20820929948256,84.3229365093867,45.6759157817304,,6.49064155591857,13.7632858047626
1973,42.4524262493011,13.8470714340032,50.7085936632307,,92.3513520655999,7.22383113050526,84.683560465402,44.9358651799579,,6.54860451067425,13.3876012695268
1972,42.806205913572,14.3438349734978,50.6929202055603,1.05278667188026,92.6029072842222,7.21690557407865,84.9718646681706,44.1626104826803,,6.61154227648753,13.0242180172043
1971,43.2090539343011,14.8234087748508,50.682156100376,,92.7123937512822,7.19409870883579,85.1242168327725,43.402951001694,,6.67312874768462,12.6763278453128
1970,43.5846388806562,15.2985231615876,50.6738035571633,,92.6459532135403,7.15542679322331,85.1046578698737,42.65394451843,,6.7343288422579,12.3347348674137
1969,44.0078959058374,15.760683403623,50.6677193115863,,93.0767466793967,7.17575837854013,85.5110690624126,41.8881656287171,,6.79071358016501,11.9990166814089
1968,44.4262018802366,16.2220539638987,50.6648824924163,,93.4454731724904,7.19003102505555,85.8492273791014,41.1380522028177,,6.84017915493813,11.6714556125944
1967,44.8193789512254,16.6895742113784,50.6645812276951,1.05277152825153,93.6491261127551,7.19215559931244,86.0295908562852,40.3986900211776,,6.87997501714397,11.3523866787455
1966,45.266546158054,17.1743482480197,50.665920274152,,93.4766187061459,7.17055460131795,85.8760422369365,39.6629376313548,,6.91171909524799,11.0373400069658
1965,45.6518800484621,17.6686543264862,50.6679031003065,,92.725388325097,7.11924971020725,85.2029930936524,38.8704752372081,,6.93159185747648,10.7374233828333
1964,46.0124469222042,18.1689702006971,50.6702016109894,,92.3440738725325,7.12257845750533,84.8680066811469,38.0319975927331,,6.9406583186395,10.4461380315991
1963,46.3416563408861,18.6740395348559,50.6725047021534,,91.5030037478911,7.10299088586272,84.1178941923743,37.2254724329175,,6.94057702633039,10.1638025809107
1962,46.6767272772512,19.1815634898415,50.6739224524453,1.05273466277577,90.2896570248425,7.06143207641819,83.0118680280092,36.4471685764495,,6.9338322820066,9.89156986247436
1961,47.009106029464,19.6973686675548,50.673560902898,,88.8936158431739,7.00017114764978,81.7194732843758,35.6785978551331,,6.92168822748528,9.6257984174619
1960,47.3690831095182,20.2183951225793,50.6707647118007,,87.404741778672,6.92071451250331,80.3341640997348,34.9190997799602,,6.90680550832027,
