date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,47.964436876072,,37.6076817579593,15.7829887077258,21.8246930502335,42.629,15.8,,123.51980353224
2017,10.274,11.528,47.9999812793449,1.058,36.4726854372576,14.8880824281799,21.5846030090777,42.557,16.0,1.259,123.635210924165
2016,10.445,11.452,48.031572943815,1.058,35.5039940243186,14.1141139995521,21.3898800247664,42.511,16.2,1.259,123.731285052426
2015,10.609,11.398,48.0572038504387,1.058,34.8451926342008,13.5505435947634,21.2946490394374,42.49,16.3,1.261,123.806319016268
2014,10.759,11.386,48.0770519616626,1.059,34.7631563191787,13.42589119052,21.3372651286587,42.496,16.4,1.265,123.886055665865
2013,10.886,11.424,48.0912043803234,1.059,34.9809926314679,13.4917419792394,21.4892506522285,42.527,16.6,1.27,123.918445520075
2012,10.984,11.513,48.0973079176526,1.059,35.3967775776982,13.6488504553522,21.747927122346,42.558,16.8,1.273,124.03801791128
2011,11.049,11.642,48.0931523519385,1.058,35.8756686941228,13.7802897063853,22.0953789877376,42.589,17.0,1.276,124.097535469028
2010,11.062,11.788,48.0773551243365,1.058,36.3554061441077,13.8345013865049,22.5209047576028,42.62,17.2,1.275,124.169310140482
2009,11.003,11.922,48.0482194696054,1.057,36.8224886493058,13.9019527184874,22.9205359308183,42.651,17.4,1.268,124.120304939604
2008,10.878,12.018,48.0078222445261,1.057,37.3683256692848,13.9483503024898,23.419975366795,42.682,17.7,1.256,124.277091238208
2007,10.704,12.059,47.9629570892338,1.056,38.0207016968446,13.9662560412105,24.0544456556341,42.713,18.1,1.241,124.513871967139
2006,10.51,12.042,47.9224188329542,,38.8186274832469,13.945560715186,24.873066768061,42.744,18.7,1.227,124.802763950291
2005,10.345,11.979,47.8925279662712,,39.7458661463233,13.8703132166707,25.8755529296526,42.775,19.7,1.219,125.150102690848
2004,10.263,11.894,47.8756764097178,,41.4664850027144,14.0350319383913,27.4314530643231,42.99,21.1,1.224,125.49865933071
2003,10.305,11.815,47.8696113077592,,43.3633680822164,14.1164907001005,29.2468773821159,43.389,23.0,1.247,125.853415543247
2002,10.494,11.759,47.8696471327079,1.063,45.3412772881225,14.1258995417597,31.2153777463628,43.789,25.4,1.29,126.164362572692
2001,10.832,11.729,47.8689650609957,,47.2469427144155,14.092748475412,33.1541942390035,44.189,28.3,1.354,126.456872235958
2000,11.298,11.715,47.8624366145338,,48.9806168407084,14.0358747882212,34.9447420524872,44.589,31.3,1.435,126.739979802904
1999,11.847,11.698,47.8485790382256,,50.6388415145168,14.1250207040577,36.5138208104591,44.992,34.1,1.527,126.90959390333
1998,12.426,11.656,47.8293517844993,,52.0544888712758,14.1895604624328,37.864928408843,45.394,36.4,1.623,127.064806762445
1997,13.001,11.575,47.8068586393908,1.052,53.2514585106102,14.2162164655793,39.0352420450309,45.797,38.0,1.719,127.071947699691
1996,13.565,11.452,47.7840010657461,,54.3190854661657,14.1627361963706,40.1563492697951,46.2,38.6,1.811,127.498453088608
1995,14.153,11.29,47.7628909538354,,55.3073990275269,13.992083971098,41.315315056429,46.294,38.4,1.901,127.753988945667
1994,14.821,11.093,47.7438692848245,,56.1960959441927,13.9670210356775,42.2290749085152,46.387,37.4,1.994,128.227403829447
1993,15.607,10.881,47.725967164285,,56.8356573346414,13.8343373047235,43.0013200299179,46.481,35.9,2.093,128.564977246674
1992,16.52,10.675,47.7075966847042,1.058,57.1816890542421,13.6082189143097,43.5734701399324,46.575,34.5,2.199,129.097432681924
1991,17.53,10.49,47.6867137380964,,57.1661217053033,13.3213563470248,43.8447653582785,46.669,33.5,2.309,129.027763263316
1990,18.574,10.354,47.66201923143,1.059,56.7584922513548,12.9977219971269,43.7607702542278,46.762,33.3,2.414,128.749085588881
1989,19.574,10.293,47.6324729120236,,56.3474490638901,12.6965970953601,43.65085196853,46.856,33.7,2.506,128.226564949316
1988,20.45,10.313,47.5986375891936,,55.7157243525353,12.3760390089162,43.3396853436191,46.488,34.9,2.578,127.495036053924
1987,21.142,10.407,47.5618135389853,1.061,54.9210555267954,12.0542449551526,42.8668105716428,45.714,36.5,2.625,126.554498902707
1986,21.622,10.559,47.5234373934958,,54.0581391817813,11.7691061764808,42.2890330053005,44.944,38.4,2.646,125.474622914272
