date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.4409870612278,,49.6658433997157,22.4124206693713,27.2534227303444,66.813,2.5,,46.2710037174721
2017,11.775,10.592,49.4382237321193,1.074,48.8051318957458,21.647734472692,27.1573974230538,66.477,2.8,1.738,46.2730855018587
2016,11.804,10.484,49.4352520680854,1.076,48.0934487362241,20.9431497183544,27.1502990178697,66.141,3.1,1.73,46.2678810408922
2015,11.837,10.372,49.4306627089258,1.078,47.6699310259709,20.3532723501013,27.3166586758695,65.806,3.5,1.723,46.2571747211896
2014,11.893,10.276,49.4269528444905,1.08,47.3647538943911,19.9090894009522,27.4556644934388,65.471,3.9,1.719,46.2312267657993
2013,11.987,10.208,49.4239568797877,1.082,47.2647749093237,19.588459806083,27.6763151032406,65.137,4.5,1.72,46.1863940520446
2012,12.125,10.177,49.4167887514758,1.084,47.3117896715755,19.3712554951054,27.94053417647,64.804,5.1,1.728,46.1413382899628
2011,12.305,10.18,49.4038584869601,1.086,47.4142788199802,19.22536533876,28.1889134812202,64.472,5.7,1.741,46.1025278810409
2010,12.513,10.21,49.3816066213984,1.088,47.5159857586835,19.1286124242388,28.3873733344447,64.14,6.4,1.76,46.054126394052
2009,12.729,10.25,49.3475221251724,1.091,48.0024415932593,19.1861355802375,28.8163060130218,63.808,7.2,1.78,45.969814126394
2008,12.93,10.283,49.3055019056448,1.093,48.566275446564,19.3259038436532,29.2403716029108,63.475,8.0,1.8,45.8713011152416
2007,13.1,10.293,49.2623726099743,1.095,49.1226371008162,19.4949624575362,29.62767464328,63.139,8.9,1.817,45.7899628252788
2006,13.235,10.273,49.2334061110635,,49.5564547506031,19.6013442533655,29.9551104972376,62.803,9.7,1.83,45.7267657992565
2005,13.333,10.223,49.2238654873229,,49.7952773571148,19.5689972614231,30.2262800956917,62.465,10.6,1.84,45.6699628252788
2004,13.4,10.152,49.2412259382869,,49.8731820314333,19.3085855031668,30.5645965282665,62.127,11.4,1.847,45.6024535315985
2003,13.453,10.069,49.2803066696413,,49.7722591597806,18.8939280524856,30.878331107295,61.568,12.2,1.852,45.5217100371747
