date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,48.4463096842707,,68.1980160472224,6.11571065534746,62.082305391875,50.032,39.6,,2.97374558175127
2017,29.105,8.23,48.4315267105992,1.011,68.2126396665157,6.17154643274968,62.041093233766,49.005,41.4,3.447,2.91829489001445
2016,29.534,8.423,48.4164417627491,1.011,68.2832905020079,6.23400961867156,62.0492808833363,47.961,42.9,3.496,2.86416815459923
2015,29.904,8.669,48.4016379102173,1.01,68.4821277809802,6.30345799344385,62.1786697875363,46.9,44.9,3.54,2.81177227951269
2014,30.192,9.009,48.387235828217,1.01,68.7655055994608,6.44832506120583,62.3171805382549,45.826,45.3,3.577,2.76139634879569
2013,30.391,9.458,48.3733197940816,1.009,69.2812230939937,6.60394661848344,62.6772764755102,44.756,46.6,3.604,2.71290796681607
2012,30.499,10.012,48.3592182713779,1.009,69.9656937528556,6.7639838613501,63.2017098915055,43.693,48.0,3.623,2.66586986359606
2011,30.52,10.652,48.3444599104742,1.009,70.6088820681581,6.91619466506344,63.6926874030946,42.637,47.6,3.632,2.61961277314191
2010,30.448,11.342,48.3281946049723,1.009,71.0454980634141,7.04993146471765,63.9955665986965,41.616,48.3,3.631,2.5736666302275
2009,30.28,12.039,48.3099067340881,1.009,71.8561558878276,6.9718776271304,64.8842782606972,40.601,50.7,3.62,2.52771684339662
2008,30.041,12.687,48.2901386035504,1.009,72.6479666024818,6.88735096881361,65.7606156336682,39.597,54.1,3.601,2.48198569155462
2007,29.769,13.234,48.2704349230208,1.009,73.4889318897495,6.79857440042332,66.6903574893262,38.598,61.2,3.579,2.43718981160952
2006,29.508,13.647,48.2524382164623,,74.5762711864407,6.71173688298186,67.8645343034588,37.61,67.4,3.56,2.3944381688105
2005,29.321,13.89,48.2379550083681,,76.0601375912628,6.62786958804369,69.4322680032191,36.632,73.1,3.552,2.35435873143121
