date,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)","Population, male (% of total population)",Sex ratio at birth (male births per female births),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population),"Mortality rate, under-5 (per 1,000 live births)","Fertility rate, total (births per woman)",Population density (people per sq. km of land area)
2019,,,,,,,,,,,
2018,,,49.1622306025282,,54.5734840373697,24.1944965437292,30.3789874936405,86.538,5.7,,18.5541756864532
2017,12.43,6.95,49.168093178498,1.055,53.9542071417744,23.6003491499906,30.3538579917838,86.466,5.8,1.81,18.2062967604724
2016,12.65,6.64,49.1711890180104,1.055,53.3970799245631,23.0093380966233,30.3877418279398,86.4,5.9,1.87,17.8238578101857
2015,13.27,6.87,49.1699582644115,1.055,52.9473235799199,22.4024547717621,30.5448688081577,86.341,6.0,1.99,17.4535718354791
2014,12.68,6.88,49.1642733193184,1.056,52.4464551137019,21.7989269895163,30.6475281241855,86.281,6.0,1.92,17.1269606167635
2013,13.2,6.65,49.1544906638657,1.056,51.9708381300686,21.1868648423962,30.7839732876724,86.221,6.0,2.01,16.8702290076336
2012,13.87,6.82,49.140711054497,1.056,51.5095272171342,20.5944139347108,30.9151132824234,86.161,6.0,2.1,16.7411036420949
2011,14.0,6.86,49.1228816608784,1.056,51.0272017704353,20.06990518429,30.9572965861453,86.1,6.1,2.09,16.6495765447571
2010,14.68,6.53,49.1014539846135,1.056,50.4896178870506,19.6430337976431,30.8465840894076,86.16,6.1,2.17,16.5231096426266
2009,14.53,6.73,49.0758760938886,1.056,50.3176072723716,19.2055800498892,31.1120272224823,86.22,6.2,2.13,16.340435228438
2008,15.1,6.85,49.047136196062,1.056,50.2703228988153,18.8703233221319,31.3999995766834,86.28,6.3,2.19,16.1778891800539
2007,15.15,6.75,49.0194058840844,1.056,50.3272549449486,18.6110723569759,31.7161825879727,86.34,6.4,2.18,16.0411682047776
2006,14.14,6.75,48.9976783865384,,50.4528758841075,18.3860202435089,32.0668556405986,86.4,6.5,2.01,15.8922942539212
2005,13.96,6.54,48.9860962292699,,50.620440788594,18.1695129420484,32.4509278465456,86.341,6.6,1.97,15.6997455470738
2004,14.2,6.95,48.9858031806032,,51.0345729684511,18.103456557838,32.931116410613,86.281,6.7,1.98,15.5235274011621
2003,13.94,6.95,48.9962392536786,,51.4433029621922,18.0598545509517,33.3834484112405,86.221,6.9,1.93,15.2945197675743
2002,13.67,7.1,49.0164770809058,1.047,51.8438344711847,18.0372862466827,33.806548224502,86.161,7.0,1.89,14.9956325244009
2001,14.36,7.16,49.0450342008746,,52.26643656999,18.0352003967834,34.2312361732066,86.1,7.2,1.97,14.7373817933235
2000,14.66,6.91,49.0797337750376,,52.7456354441687,18.0490993723402,34.6965360718285,86.021,7.4,1.98,14.6507918423151
1999,14.87,7.33,49.1218995277267,,52.9380894044383,17.9850902211503,34.952999183288,85.941,7.6,1.97,14.5649614522806
1998,14.51,6.87,49.170977828612,,53.0804276140238,17.931355766939,35.1490718470849,85.861,7.8,1.89,14.488625574418
1997,15.23,7.26,49.2194635102489,1.057,53.1132230946493,17.8718024822533,35.241420612396,85.781,8.1,1.96,14.3606395503399
1996,15.34,7.57,49.2574015051574,,53.0115853386037,17.7859158001682,35.2256695384355,85.7,8.4,1.96,14.1734077703088
1995,15.77,7.49,49.2784644103033,,52.818281283151,17.6620475336659,35.1562337494852,85.553,8.7,1.99,13.9508564049979
1994,15.95,7.48,49.2777522636998,,52.7640158874576,17.5480700249993,35.2159458624584,85.404,9.1,2.0,13.7480536250047
1993,16.53,7.6,49.2578566312608,,52.6403768450847,17.4069509868938,35.2334258581908,85.254,9.5,2.05,13.5665185522768
1992,17.28,7.85,49.2303024040347,1.063,52.492286222801,17.251097372782,35.241188850019,85.103,10.0,2.12,13.412707455091
1991,17.4,8.0,49.2129670872397,,52.3793164184779,17.0946390174061,35.2846774010718,84.95,10.6,2.16,13.2737077968934
1990,17.5,8.1,49.2187718407675,1.058,52.3326596135001,16.9438403128451,35.388819300655,84.742,11.2,2.18,12.6459306520831
1989,17.5,8.2,49.2540515258159,,52.3620223620085,16.7261561424404,35.6358662195681,84.506,11.8,2.12,12.5297178230982
1988,17.3,8.4,49.3141325863309,,52.5913670669591,16.5066271331375,36.0847399338216,84.268,12.4,2.1,12.4697125061714
1987,16.8,8.4,49.3890056968947,1.051,52.959312374457,16.2923342831784,36.6669780912786,84.025,12.9,2.03,12.4355322623524
1986,16.3,8.3,49.4638185407792,,53.3626834005198,16.0877043879122,37.2749790126076,83.78,13.4,1.96,12.3288139455395
1985,15.9,8.4,49.5276042045949,,53.7711120950728,15.8914969135437,37.8796151815291,83.673,13.8,1.93,12.3318521894345
1984,16.0,8.2,49.576846866237,,54.6132441040855,15.7902326936271,38.8230114104584,83.633,14.2,1.93,12.2558960920588
1983,15.8,8.1,49.6146756010762,,55.4423277528665,15.7146251246847,39.7277026281817,83.592,14.5,1.92,12.1503171167065
1982,15.8,8.0,49.6448371149527,1.056,56.2917055609065,15.652346158322,40.6393594025845,83.552,14.8,1.95,11.986251946375
1981,16.2,8.0,49.6733624597647,,57.317195344873,15.5826535754434,41.7345417694295,83.511,15.2,2.01,11.8677604344689
1980,16.2,8.5,49.7047616323599,,58.6401255707763,15.487707925636,43.1524176451402,83.428,15.6,2.03,11.8221867760434
1979,16.8,8.1,49.7398176443027,,59.6287617244219,15.291603599015,44.3371581254069,83.328,16.1,2.12,11.8073753370552
1978,16.3,7.9,49.7767627433797,,60.7452415556217,15.0596434269658,45.6855981286559,83.229,16.6,2.07,11.8537085564544
1977,17.3,8.3,49.8128686660223,1.052,61.8183062858233,14.7906454269551,47.0276608588682,83.128,17.1,2.229,11.8499107515856
1976,17.7,8.1,49.8453953484781,,62.6105090145453,14.4989709088989,48.1115381056464,83.028,17.7,2.273,11.8130720443584
1975,18.3,8.1,49.8726084482625,,63.0252874000822,14.2023044883641,48.822982911718,82.774,18.3,2.331,11.7090121909536
1974,19.6,8.3,49.8937109140664,,64.190497186928,14.2045340389589,49.9859631479691,82.46,18.8,2.57,11.4834225817478
1973,20.5,8.6,49.9097815891553,,65.1199047185719,14.2129245510264,50.9069801675454,82.141,19.4,2.696,11.2464395579355
1972,21.8,8.5,49.9243434537546,1.05,65.8721209857165,14.2153418717006,51.6567791140159,81.819,19.9,3.0,11.0284455584672
1971,22.6,8.5,49.9420896560108,,66.5477734670074,14.2043126124475,52.34346085456,81.491,20.3,3.194,10.835137290646
1970,22.1,8.8,49.9660267152428,,67.2291146560936,14.1808885091638,53.0482261469298,81.106,20.8,3.158,10.6744901446964
1969,22.3,8.6,49.9978373375029,,67.691150251948,14.0838068697249,53.6073433822231,80.695,21.2,3.269,10.5305533401694
1968,22.7,8.9,50.03655701268,,68.0267903709723,13.9956698601601,54.0311205108122,80.277,21.6,3.332,10.4367475599104
1967,22.5,8.4,50.0781077717048,1.05,68.2357387772848,13.9098798430846,54.3258589342003,79.852,22.0,3.354,10.3456002430595
1966,22.5,8.9,50.117712783807,,68.4171537580884,13.820158315464,54.5969954426243,79.421,22.5,3.41,10.162546048384
1965,22.9,8.7,50.1518474680096,,68.6642329162076,13.7223483873783,54.9418845288293,78.891,23.1,3.54,9.98215031711671
1964,24.2,8.8,50.1790325730778,,69.3679458682908,13.9101958140818,55.457750054209,78.317,23.8,3.733,9.81884470775891
1963,25.5,8.9,50.2000643430957,,70.1650031925261,14.116678428605,56.0483247639211,77.73,24.7,3.989,9.61528236679199
1962,26.2,8.9,50.2168988112347,1.056,70.9148627757483,14.3371540127463,56.577708763002,77.133,25.8,4.107,9.42615168432646
1961,27.1,9.0,50.2332034137713,,71.277941408603,14.5592974751775,56.7186439334255,76.525,26.9,3.975,9.1895484410011
1960,26.5,8.8,50.2508430628185,,71.0059849931758,14.7674533461094,56.2385316470664,75.998,27.9,4.03,
